Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,6.121,8.721,8.159,2.314,4.903,4.385,6.26,5.902,4.084,2.545,3.467,2.88
1981,6.513,9.912,8.383,5.822,2.637,4.707,8.067,2.799,2.369,2.718,3.233,2.333
1982,5.998,9.872,8.187,6.948,4.946,4.048,3.144,4.019,2.783,4.223,5.964,8.126
1983,4.529,4.712,14.919,7.493,2.938,3.597,6.862,7.156,2.093,2.48,1.213,4.003
1984,3.789,10.519,6.951,7.444,3.538,3.556,4.944,5.034,4.086,1.846,4.129,6.059
1985,5.648,1.663,5.51,5.857,5.052,5.116,7.145,4.108,1.764,3.183,1.957,8.312
1986,1.844,7.363,14.505,9.856,4.65,3.211,5.127,5.515,2.879,2.732,7.959,5.915
1987,1.399,7.722,7.709,10.534,9.028,7.024,4.12,3.875,2.274,8.773,0.315,2.395
1988,5.074,7.951,12.679,4.21,2.655,4.372,6.149,4.238,4.225,2.239,0.636,5.848
1989,4.447,8.277,7.923,5.524,8.428,4.259,6.713,4.627,2.168,1.56,4.948,4.426
1990,8.223,9.361,9.814,6.029,0.791,4.941,4.514,5.33,2.66,2.238,1.276,11.973
1991,5.044,10.278,9.195,9.747,6.26,1.187,5.245,4.583,5.307,2.472,1.475,3.578
1992,10.065,7.277,14.571,5.841,5.912,3.389,6.015,5.557,7.13,3.247,1.981,4.16
1993,5.303,5.872,10.782,2.321,5.039,4.233,9.275,1.751,3.481,1.491,4.39,1.466
1994,8.097,7.87,5.996,10.631,3.759,4.733,7.81,6.067,2.699,3.297,0.816,9.491
1995,2.724,8.011,8.631,9.912,4.977,5.443,16.214,5.559,2.523,3.293,1.233,4.61
1996,5.665,6.865,12.443,7.457,9.208,7.794,4.954,6.303,1.241,6.494,1.999,2.596
1997,2.45,2.816,9.563,3.906,4.692,4.888,4.975,7.32,2.482,4.182,5.089,4.457
1998,6.497,9.846,5.693,6.056,5.181,5.616,4.174,4.349,3.613,1.607,0.098,0.337
1999,8.125,6.032,10.57,7.254,3.136,3.268,5.693,4.57,2.317,0.77,4.631,0.012
2000,6.409,4.061,4.429,1.947,2.24,4.599,7.205,4.988,3.129,1.184,2.673,3.324
2001,1.79,3.705,3.758,5.096,2.132,5.106,6.739,2.956,2.796,1.071,3.723,3.032
2002,3.938,5.531,5.006,6.709,2.289,4.483,3.829,5.176,3.757,2.014,1.455,3.636
2003,2.426,10.651,7.941,9.414,6.386,3.111,4.285,3.564,3.95,1.26,3.286,4.985
2004,6.007,4.908,2.55,6.539,2.047,3.52,3.69,4.267,1.828,4.121,1.857,4.712
2005,4.429,14.492,6.715,6.777,4.766,4.004,5.178,2.935,2.052,1.571,3.026,1.408
2006,10.332,8.688,4.726,6.567,1.885,4.298,5.353,6.558,4.395,1.903,5.531,5.884
2007,2.069,6.602,7.808,1.68,4.246,5.827,4.46,2.644,3.623,0.82,0.551,3.229
2008,10.86,5.868,1.454,5.915,3.223,3.821,3.85,4.949,3.801,1.941,2.332,7.749
2009,8.544,9.915,6.127,8.376,3.438,6.445,3.986,4.256,1.923,1.934,3.314,3.659
2010,2.558,12.812,4.112,5.431,7.004,5.917,9.89,6.916,2.196,1.233,0.708,1.774
2011,2.76,14.789,6.691,6.081,1.703,2.608,4.8,5.201,4.746,2.254,1.424,2.493
2012,4.712,9.81,6.03,5.961,3.662,1.795,4.133,5.467,6.144,2.495,2.262,5.546
2013,2.675,8.39,3.699,5.065,4.98,2.145,3.43,10.225,2.075,2.207,1.555,3.543
2014,3.344,8.008,10.75,5.394,6.594,1.862,4.161,5.716,9.239,2.683,3.167,1.672
2015,3.506,8.782,7.877,6.571,3.224,6.059,7.846,3.35,3.922,4.622,5.073,3.6
2016,3.768,3.051,10.318,8.085,3.219,2.966,6.164,5.284,2.364,0.703,1.378,1.221
2017,10.717,7.834,6.094,9.111,3.448,4.81,4.982,4.086,2.444,0.842,1.631,3.568
2018,1.981,4.3,5.053,6.305,4.099,5.505,6.458,3.548,3.484,3.423,3.958,2.008
2019,9.189,9.756,5.513,4.748,3.785,6.479,4.756,4.585,1.393,2.948,9.221,3.301
2020,7.399,3.101,6.421,4.86,5.057,3.559,4.666,5.884,2.117,0.518,5.776,4.416
2021,5.773,4.655,7.648,6.623,2.791,3.553,6.332,2.596,2.521,3.767,0.525,1.923
2022,5.773,4.655,2.414,3.006,4.856,6.27,7.086,5.369,2.771,2.437,3.239,2.541
2023,8.295,4.981,4.052,8.303,5.537,2.754,7.179,3.525,1.893,2.809,2.464,0.635
