Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.001,0.004,0.304,2.267,2.366,0.989,0.796,0.453,2.675,2.823,4.349,0.681
1981,0.376,0.023,0.663,0.471,2.688,1.802,1.017,1.051,5.183,9.615,2.269,1.392
1982,0.064,0.001,0.261,0.505,1.236,0.937,0.448,0.595,2.068,2.348,4.738,2.086
1983,0.075,0.01,0.004,0.106,1.625,2.547,1.712,1.246,2.05,3.561,2.217,11.757
1984,1.903,8.932,2.105,1.663,0.512,0.688,2.356,0.154,3.924,4.717,2.937,2.472
1985,0.98,0.17,0.363,0.904,0.618,1.638,0.605,0.527,3.147,1.797,5.933,0.928
1986,2.577,2.388,0.654,0.336,0.76,0.579,0.379,0.901,1.813,3.163,3.916,1.669
1987,0.211,0.1,0.165,0.577,0.724,0.891,0.394,0.93,2.943,7.223,2.756,4.102
1988,0.031,0.223,0.681,3.601,1.403,1.589,2.31,2.603,3.533,1.347,3.651,0.556
1989,0.205,0.0,0.342,0.968,0.829,1.164,2.431,0.556,3.6,7.395,3.77,1.307
1990,2.301,0.285,1.069,0.691,1.684,0.471,1.027,0.989,1.19,10.363,3.117,2.075
1991,1.415,0.339,0.38,1.331,1.043,5.073,1.699,0.574,3.888,4.125,3.619,0.966
1992,0.257,0.013,0.0,1.289,1.957,1.056,1.568,1.54,4.833,2.377,5.767,1.314
1993,0.023,0.52,0.277,0.487,1.39,1.378,1.287,0.811,1.717,6.6,7.825,2.917
1994,0.449,2.623,0.178,1.868,1.978,0.906,0.87,0.749,2.091,7.792,6.611,0.552
1995,1.231,0.197,0.514,1.756,2.621,1.692,1.596,2.59,0.888,3.332,4.694,0.104
1996,0.278,0.219,0.014,3.221,1.089,3.059,1.457,1.859,3.607,5.688,2.978,5.098
1997,0.366,0.027,0.458,1.218,2.032,0.976,1.746,0.798,3.059,6.195,7.421,3.775
1998,0.247,0.152,0.01,0.533,2.4,1.532,1.715,3.116,2.771,2.163,5.564,5.234
1999,0.143,1.161,0.031,0.497,3.033,0.507,1.697,0.935,1.864,7.205,4.63,0.783
2000,0.648,2.473,0.097,1.445,1.419,0.875,0.214,5.343,5.497,1.846,3.219,2.962
2001,0.492,0.214,0.145,3.038,0.798,1.342,0.94,0.693,2.915,3.767,3.99,3.431
2002,0.409,2.799,0.08,0.257,1.553,1.043,0.515,0.852,0.554,5.724,4.635,0.631
2003,0.075,0.475,1.28,1.808,0.69,2.158,1.37,0.914,0.664,6.284,9.169,0.482
2004,0.255,0.559,0.462,1.294,6.79,0.953,1.076,0.371,2.992,7.769,7.009,0.615
2005,0.667,0.465,1.363,4.292,1.702,1.264,2.41,1.442,1.473,9.362,9.401,2.892
2006,0.518,0.049,1.99,1.385,1.581,0.94,0.26,0.996,3.538,7.884,9.664,0.515
2007,0.482,0.301,0.032,1.759,1.632,4.241,1.815,2.431,2.168,9.88,1.833,5.87
2008,0.136,0.749,4.735,0.796,1.536,1.025,1.589,2.879,1.612,6.489,6.503,2.334
2009,0.426,0.012,1.399,0.973,1.074,2.173,2.093,2.129,2.82,2.226,10.269,3.553
2010,0.38,0.001,0.018,2.83,1.166,3.278,1.983,2.284,4.483,6.893,11.272,5.572
2011,0.215,0.769,0.075,2.723,0.619,2.135,1.571,1.475,1.349,8.469,6.682,1.717
2012,0.207,0.136,0.314,0.852,1.532,0.791,0.829,1.754,0.791,6.574,0.971,0.639
2013,0.019,1.165,1.347,0.572,1.089,1.756,0.87,2.158,2.83,4.241,3.184,0.99
2014,0.4,0.292,0.349,0.175,3.067,0.466,0.718,5.737,3.718,10.104,3.996,5.103
2015,0.297,0.185,0.875,2.915,4.985,1.82,0.716,1.396,5.732,3.644,11.641,5.188
2016,0.636,0.095,0.072,0.152,2.245,2.075,2.464,0.304,0.324,2.269,0.765,1.15
2017,1.585,0.048,2.705,0.073,1.53,1.424,1.164,2.531,5.719,3.582,6.231,1.517
2018,0.5,0.433,0.66,0.408,2.651,1.365,1.053,1.599,3.27,5.42,6.831,2.325
2019,0.136,0.273,0.021,1.475,0.731,1.257,1.53,2.469,2.874,7.787,6.288,1.932
2020,0.344,0.1,0.084,1.061,0.657,2.341,3.587,1.895,5.127,1.267,3.613,10.539
2021,0.541,0.681,0.138,1.54,2.892,1.12,1.733,2.284,2.132,7.115,13.54,1.145
2022,0.541,0.681,0.198,2.708,1.71,1.945,2.799,4.362,2.446,4.847,6.811,3.19
2023,0.12,0.574,0.758,1.873,2.665,1.361,1.594,1.478,3.463,3.656,11.379,1.972
