Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.0,0.005,0.003,0.013,0.003,7.163,6.185,6.896,0.471,0.012,0.019,0.724
1981,0.355,0.0,0.03,0.01,0.162,1.869,4.764,5.889,2.956,1.058,0.416,0.04
1982,0.094,0.026,0.063,0.23,2.093,0.296,7.218,7.581,0.355,0.112,6.31,0.033
1983,0.013,0.0,0.017,0.909,0.173,2.982,8.142,9.303,3.816,0.796,0.0,0.0
1984,0.017,0.005,0.0,0.006,0.0,0.803,8.461,14.605,1.772,0.0,0.0,0.0
1985,0.0,0.0,0.003,0.004,0.079,0.18,4.586,3.176,0.371,4.143,0.0,0.081
1986,0.0,0.022,0.054,0.021,0.309,5.021,5.0,3.728,0.391,0.1,0.0,0.001
1987,0.315,0.0,0.072,0.005,0.118,1.517,0.518,4.668,0.149,0.0,0.0,0.608
1988,0.026,0.0,0.004,0.345,0.082,4.488,8.322,8.974,2.549,0.014,0.0,0.0
1989,0.131,0.006,0.014,0.003,0.01,1.81,7.696,9.126,1.638,0.0,0.003,0.015
1990,0.0,0.964,0.041,0.005,1.161,0.94,16.737,12.844,4.903,0.775,0.575,0.161
1991,0.0,0.05,0.003,0.037,0.003,0.43,6.092,5.508,2.248,0.0,0.063,0.0
1992,0.031,0.006,0.0,0.0,0.008,1.916,7.936,4.401,5.953,0.417,0.31,0.0
1993,0.0,0.131,0.036,0.107,0.206,1.081,16.104,5.343,1.826,1.097,0.225,0.0
1994,1.142,0.005,0.0,0.255,0.209,5.16,7.071,15.383,5.51,0.076,0.037,0.0
1995,0.599,0.0,0.035,0.014,0.152,0.178,18.202,3.103,1.952,1.063,0.0,0.35
1996,0.099,0.006,0.005,0.023,0.026,2.745,9.35,6.285,2.498,0.496,0.023,0.003
1997,0.068,0.008,0.004,0.425,0.175,5.311,5.776,8.729,2.402,1.244,0.053,0.209
1998,0.0,0.013,0.008,0.173,0.028,2.521,4.367,4.112,4.071,2.243,0.252,0.0
1999,0.009,0.223,0.0,0.003,0.234,5.57,4.861,1.329,0.736,1.71,0.0,0.0
2000,0.0,0.009,0.0,0.041,0.487,0.554,10.042,3.27,0.363,0.051,0.0,0.082
2001,0.0,0.0,0.023,0.051,0.185,2.845,13.137,6.612,0.592,1.029,0.0,0.0
2002,0.003,0.415,0.072,0.031,0.026,4.753,2.003,7.946,1.813,0.003,0.028,0.108
2003,0.17,2.047,0.0,0.075,0.01,2.817,13.616,6.533,1.944,0.066,0.0,0.0
2004,0.041,0.0,0.0,0.005,0.255,2.989,5.049,9.455,1.321,1.527,0.0,0.072
2005,0.015,0.0,0.064,0.059,0.106,1.985,6.005,3.43,8.083,0.039,0.0,0.0
2006,0.0,0.0,0.489,0.008,0.062,3.25,11.113,24.918,5.873,0.013,0.0,0.013
2007,0.061,0.238,0.003,0.308,0.124,4.563,14.002,14.141,3.522,0.035,0.0,0.004
2008,0.0,0.015,0.106,0.099,0.015,2.276,4.771,6.466,2.93,0.489,0.377,0.227
2009,0.012,0.0,0.093,0.009,0.095,0.574,15.99,5.467,1.102,0.136,0.044,0.003
2010,0.044,0.033,0.0,0.0,0.049,1.048,14.911,10.266,5.057,0.193,2.603,0.053
2011,0.0,0.04,0.0,0.037,0.197,1.36,7.264,12.136,4.339,0.0,0.0,0.0
2012,0.009,0.0,0.0,0.048,0.384,0.608,7.367,9.646,6.569,0.021,0.0,0.0
2013,0.003,0.027,0.003,0.288,0.021,4.246,8.121,5.624,5.0,1.081,0.03,0.04
2014,0.281,0.157,0.001,0.026,0.07,0.412,6.355,6.708,8.26,0.152,0.062,0.0
2015,0.158,0.073,1.164,0.772,0.059,4.56,16.546,2.292,1.486,0.003,0.013,0.0
2016,0.018,0.013,0.049,0.0,0.294,2.057,9.491,15.954,0.61,2.294,0.0,0.0
2017,0.032,0.0,0.008,0.066,0.112,2.933,42.527,5.94,2.508,0.0,0.0,0.754
2018,0.0,0.031,0.006,0.04,0.158,2.25,9.061,7.158,4.74,0.046,0.0,0.008
2019,0.0,0.013,0.024,0.227,0.106,4.081,4.563,15.244,11.319,3.417,0.744,0.023
2020,0.027,0.0,0.276,0.075,0.018,3.45,4.14,13.938,2.111,0.706,0.039,0.229
2021,0.351,0.0,0.012,0.149,3.757,7.125,5.629,2.42,9.522,0.577,0.982,0.243
2022,0.351,0.0,0.109,0.003,0.015,1.174,9.901,10.745,2.727,0.807,0.0,0.001
2023,0.479,0.0,0.551,0.65,0.805,6.309,10.732,2.495,10.284,0.0,1.632,0.019
