Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.058,0.026,0.22,0.259,1.156,7.516,5.183,4.107,5.078,2.002,0.932,1.357
1981,1.08,0.015,0.588,0.203,0.538,2.037,5.302,4.158,7.926,2.599,0.413,0.188
1982,0.058,0.084,0.109,0.175,0.384,2.359,5.078,3.976,5.755,4.18,1.733,0.033
1983,0.093,0.749,0.088,0.126,0.778,5.222,5.407,7.055,10.562,6.03,0.465,0.203
1984,0.398,1.756,0.042,0.452,0.021,3.68,7.784,1.88,4.501,3.304,0.828,0.543
1985,0.809,0.118,0.134,0.058,0.353,6.793,4.467,3.329,2.925,4.238,1.043,0.913
1986,2.778,1.049,0.041,0.264,0.476,1.978,2.202,6.051,3.211,3.395,3.304,0.292
1987,0.469,0.021,0.724,0.173,0.345,2.577,4.599,4.001,1.576,4.39,7.654,0.474
1988,0.081,0.427,0.346,0.443,0.577,2.948,10.537,5.794,14.443,0.903,0.502,1.881
1989,0.042,0.022,1.342,0.085,0.023,4.655,13.959,6.471,7.776,2.348,1.714,0.193
1990,0.037,1.125,1.801,0.592,17.988,6.347,6.146,12.045,5.415,5.871,2.27,0.322
1991,0.805,0.091,0.048,0.337,0.342,7.405,6.605,2.814,6.909,3.813,7.51,0.215
1992,0.057,0.242,0.005,0.192,0.453,1.197,4.107,4.903,1.823,3.232,3.552,0.004
1993,0.018,0.036,0.395,0.332,1.98,2.871,5.482,3.268,6.497,3.566,0.888,0.35
1994,0.13,1.849,0.036,0.487,0.304,1.532,3.963,5.801,1.419,8.998,4.251,0.05
1995,1.638,0.142,0.139,0.189,4.28,4.596,5.15,5.029,4.702,6.157,0.716,0.09
1996,0.145,0.216,0.024,0.793,0.278,7.676,6.072,6.811,6.226,3.502,0.812,1.385
1997,1.006,0.117,0.331,1.893,0.237,2.147,3.152,1.88,15.344,1.612,2.413,1.442
1998,0.371,0.685,0.706,0.5,0.397,6.476,6.226,5.394,5.598,11.379,1.519,0.001
1999,0.012,0.042,0.185,0.041,1.009,4.254,3.013,5.873,3.816,4.982,0.091,0.084
2000,0.066,1.314,0.07,0.139,1.264,18.933,5.196,8.92,4.977,1.761,0.585,0.008
2001,0.064,0.01,0.166,4.274,0.247,3.054,2.31,4.491,7.534,4.594,3.228,0.109
2002,0.677,0.008,0.142,0.236,0.865,2.539,2.503,6.556,0.682,4.406,0.827,0.026
2003,0.111,0.095,1.396,0.379,0.113,2.598,11.26,5.994,5.294,6.302,0.154,4.967
2004,0.272,0.191,0.277,0.482,2.714,4.746,8.544,2.276,4.213,6.593,1.115,0.026
2005,0.209,0.076,0.224,0.932,1.223,2.374,7.475,3.772,12.803,6.404,0.883,0.281
2006,0.0,0.0,1.111,1.097,4.939,6.767,4.303,8.011,9.898,7.102,2.346,0.157
2007,0.027,0.959,0.111,0.375,0.685,11.747,5.25,6.806,10.81,5.824,0.888,0.36
2008,0.185,1.823,2.567,0.56,0.102,2.863,5.85,10.212,5.701,2.335,2.875,0.111
2009,0.028,0.003,0.095,0.05,0.966,1.262,3.087,6.782,10.768,0.53,3.803,0.201
2010,0.677,0.04,0.031,0.072,2.547,6.002,10.078,8.605,9.702,6.746,5.105,3.185
2011,0.022,1.021,0.031,2.168,0.151,1.092,8.232,7.874,2.119,2.543,0.281,0.288
2012,0.39,0.006,0.1,0.184,0.332,2.982,6.404,4.112,5.711,2.809,4.891,0.057
2013,0.138,0.466,0.006,0.834,0.206,4.444,7.99,5.768,6.721,7.266,2.602,0.131
2014,0.182,0.165,0.019,0.088,1.8,1.393,9.798,6.718,6.739,2.706,1.224,0.277
2015,0.135,0.012,0.201,1.599,0.7,10.761,1.887,5.881,6.705,1.872,12.424,0.322
2016,0.438,0.017,0.026,0.028,4.957,10.972,7.197,5.08,11.747,2.186,0.191,0.404
2017,0.008,0.006,0.394,0.142,0.375,5.423,6.151,7.341,5.472,4.009,0.821,0.032
2018,0.017,0.004,0.081,0.263,0.509,4.421,6.476,9.538,3.132,1.25,0.664,1.581
2019,0.104,0.203,0.276,0.276,0.057,3.404,6.239,7.852,9.705,9.803,0.331,0.227
2020,0.516,0.489,0.406,0.373,0.273,7.411,8.126,9.646,12.285,9.903,3.526,0.028
2021,0.738,0.018,0.004,0.276,2.083,3.177,8.765,6.35,6.085,2.753,8.659,0.196
2022,0.738,0.018,0.162,0.094,1.427,1.945,11.085,4.331,9.128,6.217,1.29,1.469
2023,0.134,0.0,3.449,0.963,2.069,1.79,12.167,1.007,6.108,0.819,2.164,6.455
