Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.088,0.232,0.98,1.818,3.754,10.858,12.895,14.752,7.467,2.353,0.257,1.278
1981,1.483,0.053,2.621,2.637,5.703,4.475,5.101,7.835,7.091,3.601,0.283,0.669
1982,0.247,0.353,0.524,1.333,3.087,3.152,8.551,15.146,5.508,3.132,0.471,0.046
1983,0.342,1.831,0.447,0.742,4.421,7.812,9.429,9.283,10.418,6.942,0.672,0.255
1984,0.722,1.305,0.454,2.051,0.572,6.942,7.972,5.024,4.29,3.401,0.285,0.617
1985,2.267,0.215,0.942,2.069,3.801,6.669,7.784,5.316,6.839,4.952,0.77,0.268
1986,2.19,2.765,0.628,2.456,3.378,6.787,6.234,15.498,3.443,2.58,3.732,0.427
1987,0.363,0.242,1.965,1.656,4.241,4.599,15.081,6.085,3.662,4.079,4.046,0.272
1988,0.045,1.542,0.433,3.866,2.24,4.496,13.575,6.52,9.128,2.741,0.1,0.608
1989,0.058,0.097,1.062,0.521,1.965,15.316,9.283,12.393,8.114,3.891,0.313,0.906
1990,0.131,2.527,3.587,2.306,21.753,7.287,13.168,16.84,7.135,9.288,4.431,0.801
1991,1.004,0.12,0.848,2.026,4.869,7.985,11.515,7.112,6.489,6.131,4.591,0.255
1992,0.148,0.775,0.023,1.353,3.095,8.157,8.881,8.186,5.309,4.256,2.373,0.0
1993,0.088,0.072,1.432,2.642,3.319,3.342,11.278,4.746,6.901,3.731,0.919,0.013
1994,0.122,1.197,0.511,3.811,3.27,5.827,14.523,10.544,6.327,6.159,2.527,0.033
1995,1.687,0.38,2.531,5.527,9.816,3.87,10.367,13.078,4.797,4.962,1.602,0.059
1996,0.709,0.59,0.417,3.311,1.589,11.227,11.42,8.016,6.288,3.083,0.682,0.404
1997,1.115,0.091,2.147,6.048,2.91,2.772,7.622,6.17,9.205,2.755,1.761,2.274
1998,1.045,2.529,1.496,2.773,2.971,7.696,8.847,6.172,4.977,4.447,3.971,0.0
1999,0.008,0.442,0.448,0.922,4.385,9.144,7.125,10.065,5.093,3.116,0.63,0.12
2000,0.147,2.442,0.129,2.418,5.155,10.524,7.604,13.364,4.892,2.433,0.615,0.241
2001,0.317,0.023,2.205,4.661,1.066,6.136,10.331,9.038,7.9,5.158,2.35,0.089
2002,2.155,0.046,0.53,2.704,1.37,6.89,5.119,10.735,3.242,4.12,0.299,0.08
2003,0.154,1.25,2.07,2.632,0.487,5.639,18.006,13.907,5.611,6.759,0.317,4.001
2004,0.875,0.487,0.326,4.406,4.048,14.324,8.822,13.467,4.439,4.653,1.087,0.036
2005,1.038,0.148,0.467,5.374,3.108,6.115,7.993,7.243,19.031,9.223,0.772,0.942
2006,0.003,0.008,1.289,1.213,6.2,6.769,8.495,17.679,9.517,3.582,3.759,0.09
2007,0.066,0.368,0.354,4.664,4.496,16.935,7.573,9.295,10.918,8.079,0.327,0.16
2008,0.223,3.875,4.927,2.614,1.272,7.604,8.634,10.434,7.429,2.163,1.689,0.187
2009,0.055,0.152,1.186,0.797,4.225,2.688,14.219,5.776,10.076,2.859,2.559,0.062
2010,1.085,0.385,1.308,1.362,6.836,6.968,18.354,15.202,9.355,9.303,5.124,3.047
2011,0.068,0.872,0.411,6.593,2.292,5.276,9.028,10.256,6.144,2.203,0.126,0.27
2012,0.48,0.094,0.281,3.902,2.899,8.312,13.395,15.001,9.803,3.179,5.02,0.037
2013,0.308,0.807,0.255,3.958,1.285,15.071,15.251,6.733,9.507,9.082,1.262,0.321
2014,0.202,0.211,1.146,3.541,5.021,5.003,11.391,8.778,11.258,11.265,0.364,0.709
2015,0.122,0.173,1.586,2.529,4.164,19.451,5.17,10.114,15.202,2.799,2.176,0.523
2016,0.272,0.543,0.77,0.476,5.188,15.81,10.222,8.162,11.533,3.929,0.427,0.557
2017,0.111,0.048,1.078,1.26,4.026,11.255,9.471,11.173,8.477,5.32,1.496,0.05
2018,0.01,0.04,0.331,4.514,5.14,10.258,10.323,12.962,7.189,1.269,0.358,2.259
2019,0.291,0.185,0.74,2.346,1.921,6.53,12.38,12.719,10.104,8.59,0.736,0.458
2020,0.78,1.007,2.697,3.367,2.711,8.242,12.875,10.897,12.633,8.155,4.198,0.008
2021,0.73,0.08,0.238,4.632,4.238,6.342,8.286,10.977,14.02,6.37,3.347,1.006
2022,0.73,0.08,0.127,2.162,2.783,6.262,12.563,8.098,12.215,5.147,0.59,0.65
2023,0.166,0.006,3.17,3.419,6.172,4.005,13.202,4.135,11.706,0.971,2.216,2.898
