Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.257,292.603,297.772,305.389,307.808,304.614,301.895,301.644,301.516,299.729,295.145,290.419
1981,289.352,292.784,297.377,303.221,306.15,306.441,301.968,302.319,301.507,298.314,293.207,289.409
1982,289.834,290.724,295.669,302.488,305.589,304.549,304.699,301.959,301.58,299.487,294.219,290.232
1983,287.68,290.895,297.401,301.398,305.337,307.061,303.137,302.836,301.566,298.319,292.945,289.657
1984,288.753,289.999,298.305,304.049,307.761,304.247,302.219,301.605,300.733,298.859,292.912,290.112
1985,289.228,291.883,299.438,304.269,307.079,307.096,301.483,302.149,301.324,298.145,293.716,290.905
1986,288.822,291.352,298.04,303.369,304.836,305.603,302.044,302.087,301.142,298.392,294.821,289.71
1987,288.602,293.217,298.751,303.721,305.396,309.691,303.64,302.983,301.193,298.676,293.923,289.088
1988,289.018,292.576,297.782,303.611,307.469,305.191,302.155,302.08,302.81,298.85,294.601,290.733
1989,287.728,291.607,297.035,302.883,306.932,305.444,302.243,302.155,301.367,298.915,294.007,289.426
1990,289.672,291.74,295.702,303.076,305.839,306.274,301.377,302.156,300.962,298.439,294.415,290.048
1991,288.226,293.305,298.714,303.168,307.789,305.402,304.55,301.491,301.45,298.648,293.181,289.796
1992,288.945,290.229,298.01,304.16,305.934,307.707,303.52,302.198,301.455,298.937,294.287,289.594
1993,288.696,292.762,296.112,302.931,306.2,306.392,304.034,302.777,300.627,299.739,294.82,289.782
1994,290.307,291.354,298.532,302.888,307.476,305.898,302.783,302.115,301.254,298.469,294.239,289.682
1995,287.977,292.637,297.349,304.155,308.166,307.671,303.257,302.026,301.225,299.98,293.94,290.662
1996,289.108,291.154,298.661,303.133,307.616,305.66,302.759,301.642,301.842,298.609,293.535,288.356
1997,288.045,291.714,297.47,301.667,306.168,306.343,302.482,301.97,301.331,298.154,294.563,288.956
1998,287.619,292.198,295.92,304.086,307.268,307.398,303.129,302.32,301.979,300.761,295.477,289.799
1999,287.628,292.653,298.596,305.644,307.239,305.372,302.971,301.965,301.383,299.516,294.4,289.654
2000,288.651,290.798,297.372,304.589,306.766,303.998,302.427,302.686,300.812,300.223,294.888,289.292
2001,287.779,292.149,297.533,303.218,305.935,303.717,302.273,302.867,302.264,299.866,294.765,289.322
2002,288.927,292.411,298.225,303.958,305.896,306.069,305.926,302.434,301.161,299.076,294.553,290.35
2003,285.34,292.488,296.895,304.121,306.543,306.153,302.902,302.361,301.106,298.941,294.265,289.799
2004,287.254,291.812,300.014,304.443,307.206,304.468,302.757,302.421,302.7,299.615,294.783,290.537
2005,289.625,293.521,300.008,303.971,306.938,308.459,302.644,302.911,302.235,299.8,294.077,289.606
2006,289.414,295.719,297.776,304.218,306.094,306.238,302.677,302.511,302.329,300.323,295.523,291.107
2007,289.252,292.366,296.541,304.435,305.916,306.184,302.979,302.475,302.075,299.067,294.806,289.692
2008,289.148,290.736,298.573,304.254,306.028,302.77,301.576,302.41,302.761,301.051,295.112,291.314
2009,290.179,293.429,298.781,304.869,306.332,308.24,303.725,303.14,302.462,298.571,294.276,290.348
2010,286.996,292.949,300.88,306.859,307.289,308.722,304.315,302.971,302.029,299.701,296.014,290.046
2011,287.095,292.54,298.62,303.453,307.077,304.914,303.267,302.264,301.684,299.86,295.135,289.102
2012,288.283,292.281,297.57,304.272,307.829,309.939,303.366,302.481,301.807,299.174,293.541,289.402
2013,287.025,291.9,297.736,303.709,307.862,304.717,303.199,302.241,302.611,298.932,293.109,290.091
2014,287.791,290.454,296.872,303.595,306.634,307.78,303.887,303.406,302.761,300.409,295.214,288.449
2015,287.392,292.903,296.811,302.707,307.515,307.058,303.286,303.218,303.557,300.767,296.724,289.895
2016,289.522,293.695,298.729,305.807,306.21,306.945,302.978,302.612,302.023,299.925,294.263,289.528
2017,289.143,293.245,298.264,305.449,307.35,307.319,302.289,302.979,303.43,301.413,294.954,290.261
2018,287.032,293.364,299.47,304.25,306.941,307.558,303.711,302.448,302.397,300.044,294.908,289.301
2019,288.759,292.455,297.817,304.752,308.543,307.967,303.539,303.233,301.885,299.424,295.758,288.39
2020,288.195,291.067,296.36,302.294,304.713,303.106,303.159,303.095,302.887,300.982,293.953,289.59
2021,287.553,291.43,299.108,303.34,302.946,302.959,303.629,302.622,302.553,300.034,293.735,290.046
2022,287.553,291.43,299.567,306.21,306.534,307.114,304.665,302.995,302.313,299.583,294.461,290.099
2023,288.114,293.329,298.092,302.845,304.889,307.825,304.461,303.04,302.946,299.775,295.74,290.827
