Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.408,298.722,302.758,307.592,309.652,302.018,299.776,298.81,300.346,300.842,297.561,293.581
1981,292.74,297.978,300.725,306.381,308.217,305.411,299.53,299.145,299.29,299.181,295.113,293.041
1982,294.407,296.251,300.218,304.638,306.006,305.23,301.141,299.029,299.556,299.032,295.98,294.521
1983,293.58,296.35,301.3,305.254,308.153,306.26,300.816,299.654,299.25,298.206,294.531,292.021
1984,293.468,295.224,302.257,306.307,309.728,304.699,300.607,298.402,299.401,299.226,294.822,293.91
1985,294.843,297.192,303.387,305.913,308.765,303.981,299.774,298.849,300.139,297.2,294.581,293.847
1986,293.211,295.596,300.857,306.115,307.985,304.031,299.657,298.991,301.449,300.252,296.53,293.839
1987,293.873,296.389,300.731,305.852,306.312,305.322,301.304,300.069,301.14,299.223,296.792,292.775
1988,295.268,298.699,302.573,306.3,309.662,304.617,299.983,299.838,299.869,298.819,295.252,293.196
1989,293.888,296.703,300.252,306.021,309.502,302.708,300.284,298.668,300.273,299.776,297.024,293.044
1990,294.754,295.957,299.907,305.901,304.398,301.311,299.309,299.175,299.326,298.265,296.284,293.423
1991,292.966,297.505,302.013,305.481,309.176,303.173,299.962,298.901,301.151,300.307,295.586,292.997
1992,294.023,295.581,302.375,306.16,308.247,305.81,302.131,298.948,299.74,298.878,295.432,292.672
1993,294.083,295.665,299.335,305.804,308.952,304.949,300.263,299.199,299.145,299.031,295.23,291.661
1994,294.154,295.552,302.327,304.267,309.127,302.745,298.842,298.523,299.168,299.053,296.079,292.86
1995,292.243,297.141,300.505,304.893,306.928,306.771,300.304,300.127,300.325,299.716,296.659,295.002
1996,296.237,298.166,303.305,306.047,309.218,306.601,300.987,299.259,300.115,298.068,295.095,292.532
1997,292.057,294.767,301.448,303.634,307.299,304.435,300.308,299.67,299.61,297.935,296.829,293.733
1998,293.787,295.276,299.195,305.601,308.622,305.17,300.961,300.201,299.95,299.584,295.514,292.024
1999,292.12,297.024,301.469,307.009,307.159,302.559,299.864,299.264,298.658,298.662,296.134,292.851
2000,293.967,295.161,300.053,307.019,306.127,302.166,299.671,299.995,300.089,300.032,296.821,293.205
2001,294.042,297.673,301.492,304.935,308.314,302.014,299.955,299.287,301.065,298.757,296.659,294.047
2002,293.337,297.647,301.655,306.315,308.199,303.858,301.307,298.475,300.001,299.261,295.557,294.555
2003,294.322,297.176,300.615,305.087,308.25,304.689,300.217,299.327,299.093,299.165,297.181,293.506
2004,293.399,295.902,302.392,306.386,307.529,303.618,301.275,298.942,300.567,298.307,296.225,293.346
2005,293.412,297.351,301.334,305.285,308.78,306.808,299.836,299.745,299.935,298.448,294.075,292.251
2006,293.147,297.598,298.487,304.029,306.588,304.535,299.858,299.011,300.001,299.267,296.841,294.822
2007,294.092,297.213,301.235,305.896,307.935,304.44,300.589,299.714,300.095,298.676,296.05,294.528
2008,294.11,296.046,301.718,306.256,308.102,302.953,300.681,299.701,299.63,299.168,296.926,294.984
2009,296.038,299.077,302.752,307.016,308.6,306.49,300.002,300.179,301.174,298.868,296.659,294.711
2010,293.199,297.74,303.339,307.306,309.577,305.533,300.366,299.917,300.236,300.25,298.707,293.884
2011,293.171,297.068,301.685,304.248,308.225,303.438,300.326,299.522,299.815,300.096,297.112,294.382
2012,293.438,297.199,301.646,306.542,308.839,305.111,299.879,299.013,299.893,298.865,295.901,294.556
2013,293.751,297.206,302.132,306.108,309.811,301.735,299.002,298.614,300.238,299.111,295.839,293.425
2014,294.721,295.809,299.692,304.908,307.081,306.679,300.873,300.387,300.095,300.249,297.653,293.465
2015,292.503,297.305,299.654,303.25,308.595,303.826,301.804,299.908,300.884,300.614,298.249,295.235
2016,294.428,299.005,302.717,307.948,308.272,305.335,299.926,299.979,300.277,298.744,295.087,293.452
2017,293.96,298.374,302.211,307.076,309.391,303.927,300.639,300.448,300.787,299.892,296.238,294.077
2018,293.862,296.948,301.999,306.267,309.871,303.593,299.68,299.37,299.973,299.659,297.059,293.119
2019,292.861,297.16,302.264,306.88,309.848,307.203,300.981,299.491,299.411,299.363,297.157,294.056
2020,292.883,295.942,299.905,305.144,308.299,302.116,301.263,299.548,300.918,300.239,296.885,294.645
2021,292.731,295.962,301.608,304.963,305.996,302.076,300.999,300.153,299.858,299.295,297.725,294.29
2022,292.731,295.962,302.663,307.247,308.823,304.97,299.403,300.165,300.149,298.945,295.487,295.579
2023,294.688,297.138,300.428,303.525,305.991,305.944,300.493,300.089,300.202,300.023,297.033,294.241
