Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,297.404,300.683,303.666,306.166,307.046,302.02,301.514,301.035,301.626,301.442,298.409,297.286
1981,297.486,300.451,302.801,306.16,305.865,302.74,301.825,300.28,299.906,299.558,297.516,296.229
1982,296.647,300.919,303.925,305.707,305.534,303.115,301.967,301.623,301.297,301.262,298.389,296.769
1983,297.024,301.276,304.628,307.066,306.737,303.401,302.09,300.699,300.121,300.042,297.667,296.849
1984,298.177,299.192,303.202,305.324,307.29,302.71,300.916,301.306,301.294,300.154,297.623,297.899
1985,298.054,301.475,304.167,306.81,306.495,302.36,301.53,301.673,301.926,300.034,297.718,297.798
1986,296.264,299.862,303.839,306.441,306.992,302.935,302.069,300.887,301.578,301.218,298.745,298.056
1987,297.934,299.297,302.936,306.674,306.603,303.868,303.048,301.509,302.457,299.951,297.857,296.531
1988,296.899,301.248,304.559,305.111,306.447,303.902,301.186,300.369,300.086,300.813,298.246,296.671
1989,296.954,299.867,301.875,305.992,306.665,302.288,300.636,300.739,300.892,301.562,298.647,297.354
1990,298.336,300.679,303.857,306.961,303.489,302.352,301.108,300.347,302.07,299.865,298.722,296.935
1991,298.329,300.827,304.439,305.973,306.623,302.033,300.306,300.135,301.284,300.07,296.957,295.997
1992,295.955,300.143,303.574,305.955,305.795,303.064,302.025,300.598,302.186,300.308,298.395,295.693
1993,297.362,299.116,303.544,306.525,306.872,304.234,302.19,301.126,301.086,299.629,297.577,295.394
1994,296.844,300.362,304.024,305.786,306.826,303.095,301.137,301.273,302.557,299.536,296.901,296.248
1995,297.403,300.928,303.882,306.413,304.598,304.724,301.618,301.41,300.993,299.804,299.843,297.697
1996,298.28,300.181,304.389,305.597,307.245,302.748,301.661,300.3,300.145,298.992,298.111,295.916
1997,296.512,300.091,303.286,304.503,306.553,304.072,302.529,301.73,301.569,300.367,299.475,298.415
1998,299.08,301.23,304.674,306.722,307.307,304.517,302.205,301.18,300.534,299.41,298.473,296.287
1999,296.507,299.969,303.631,305.653,304.063,302.567,301.881,301.229,301.223,300.129,299.034,296.681
2000,298.262,300.563,303.674,306.49,304.908,301.76,300.839,300.296,300.81,299.754,298.247,296.183
2001,297.261,300.895,304.192,305.086,306.732,303.27,302.328,301.21,301.573,299.583,298.431,296.525
2002,297.63,299.663,304.067,306.811,305.943,302.616,302.654,300.893,302.298,300.863,298.33,297.678
2003,297.972,301.265,304.283,306.599,308.031,304.784,302.346,301.798,302.095,300.882,299.136,297.329
2004,297.735,300.436,304.467,306.624,303.216,302.577,301.166,301.63,300.774,300.019,298.256,297.147
2005,298.742,301.327,304.35,305.84,306.354,303.652,301.302,301.009,300.661,299.534,296.958,296.575
2006,297.506,299.875,302.935,305.882,305.531,302.349,301.724,301.616,302.151,301.417,298.712,297.131
2007,297.92,300.188,304.338,306.023,306.22,302.18,301.86,300.696,300.079,299.946,297.761,297.432
2008,297.39,300.288,301.503,305.116,305.741,303.241,302.464,300.545,300.784,300.428,298.614,296.969
2009,297.37,301.37,303.842,306.694,305.998,303.248,301.899,302.041,300.86,300.731,298.77,297.072
2010,298.059,300.959,304.763,307.265,307.016,303.474,300.862,300.997,300.921,300.879,298.988,296.909
2011,297.626,299.91,303.628,305.198,306.108,303.131,301.605,300.87,301.921,301.264,299.086,297.909
2012,298.032,300.689,304.142,306.089,306.267,304.218,302.045,301.753,301.786,300.582,299.063,298.126
2013,298.923,300.499,304.146,306.848,306.918,302.692,300.197,300.833,300.384,300.457,298.548,297.359
2014,297.812,300.081,303.336,306.968,305.984,304.669,301.885,302.027,301.593,301.714,299.386,297.436
2015,298.241,300.212,304.043,305.225,306.876,303.031,303.618,302.285,301.85,301.71,298.544,297.981
2016,298.334,301.798,305.2,308.637,306.841,302.247,301.613,302.241,300.728,302.314,300.566,298.708
2017,298.985,301.499,305.508,308.496,307.487,303.45,302.945,301.891,301.465,300.669,300.175,298.19
2018,298.499,300.59,304.374,307.158,306.518,303.095,302.336,301.517,302.496,302.489,300.461,299.094
2019,297.914,301.832,305.768,307.923,308.493,305.035,302.656,301.421,301.143,300.293,300.165,297.787
2020,299.051,300.672,304.44,306.562,307.496,303.52,301.527,301.068,300.647,300.399,298.7,296.781
2021,298.632,300.35,303.764,306.017,305.326,302.945,301.155,301.425,301.298,301.715,298.704,297.944
2022,298.632,300.35,304.417,306.757,304.104,303.579,301.225,301.231,301.035,300.189,298.985,298.927
2023,298.536,301.589,303.188,306.718,306.477,305.573,301.391,303.312,302.456,303.584,300.541,298.317
