Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.357,293.298,299.455,305.211,303.079,301.291,300.924,301.078,300.639,298.25,294.332,291.339
1981,289.762,293.552,297.375,300.52,300.662,302.197,300.614,301.129,300.767,298.406,294.375,289.998
1982,291.403,292.403,296.205,301.697,304.794,302.318,302.752,300.662,301.144,298.926,293.818,290.087
1983,289.614,292.716,298.854,301.892,303.296,304.733,301.998,301.082,300.723,298.53,294.925,290.011
1984,289.685,291.675,299.067,303.908,303.607,300.741,300.603,300.601,300.079,299.287,293.621,290.082
1985,291.06,292.76,300.165,303.966,303.425,303.291,300.366,301.126,300.391,298.264,293.976,291.417
1986,290.02,293.264,298.995,302.195,302.225,303.334,300.655,301.257,299.877,297.578,295.284,291.183
1987,289.836,293.922,298.27,302.272,303.858,304.23,301.117,301.214,301.031,299.293,294.615,290.791
1988,289.985,293.836,298.235,302.867,304.23,301.267,301.3,301.092,301.387,298.67,294.892,292.094
1989,288.702,293.076,297.517,303.514,304.188,301.862,300.888,300.895,300.523,299.091,294.216,290.042
1990,289.762,293.185,296.443,302.151,302.861,302.329,300.57,301.218,300.452,297.123,295.158,290.813
1991,289.079,294.276,298.349,302.698,304.656,302.64,301.642,301.206,300.493,298.527,293.607,290.36
1992,289.208,291.688,299.453,303.959,302.864,302.837,301.315,300.946,300.42,298.972,294.846,290.193
1993,289.364,294.032,297.075,300.79,302.299,302.328,301.749,300.925,299.992,299.321,294.919,290.913
1994,290.639,292.352,298.813,302.359,304.341,302.224,301.234,300.941,300.272,299.086,294.991,290.731
1995,289.124,292.572,297.903,303.735,305.233,303.398,301.249,301.172,300.489,299.159,295.032,290.971
1996,290.362,293.099,299.341,302.66,305.938,301.695,301.741,300.693,301.063,298.279,294.041,289.969
1997,288.85,292.07,298.563,299.9,304.405,303.55,301.062,301.019,300.544,298.144,295.678,290.21
1998,288.599,293.269,295.477,300.851,303.628,305.32,301.631,301.588,300.813,300.062,296.387,291.262
1999,289.589,294.606,299.047,303.616,302.289,302.194,301.147,300.919,300.114,299.086,294.663,291.744
2000,290.026,291.802,297.735,301.318,302.771,302.041,301.41,301.624,300.306,299.664,295.319,290.525
2001,288.511,293.393,297.647,302.047,301.473,300.963,301.218,301.49,301.055,299.565,296.399,290.385
2002,290.819,293.819,298.985,302.46,302.206,302.015,302.596,301.002,300.546,298.898,295.092,290.611
2003,287.517,293.435,297.289,303.572,304.254,302.878,301.66,301.679,300.958,298.943,294.181,290.627
2004,289.076,292.977,299.767,302.29,305.228,302.376,301.515,301.228,300.608,298.281,294.227,291.668
2005,289.93,294.429,299.549,302.596,304.602,305.578,301.351,301.872,301.595,298.733,293.561,290.604
2006,289.889,296.041,298.694,302.75,302.812,302.873,301.538,301.048,300.911,299.757,295.134,291.441
2007,289.744,293.264,297.063,302.859,304.494,303.254,301.272,301.626,300.878,299.356,295.513,290.512
2008,290.081,291.972,299.63,302.948,303.073,301.196,301.244,301.398,301.046,299.035,295.395,291.873
2009,291.169,294.513,299.258,304.135,302.729,304.898,301.944,301.66,301.561,298.425,295.301,290.641
2010,288.689,294.256,300.988,305.349,303.963,304.719,302.263,302.276,301.357,299.918,296.551,290.618
2011,288.626,293.835,299.157,301.108,303.286,302.469,301.908,301.012,300.893,299.458,294.696,289.983
2012,289.916,293.472,298.498,302.755,305.587,305.798,301.637,301.661,301.344,298.789,293.739,289.556
2013,288.675,293.236,298.611,302.633,303.375,302.282,302.103,301.263,301.458,298.828,294.042,290.584
2014,289.023,291.967,297.196,303.49,304.634,304.183,301.818,301.668,301.333,299.089,293.833,289.506
2015,289.788,294.215,298.336,301.44,304.72,303.623,301.509,301.955,302.245,299.999,296.151,291.491
2016,289.934,295.339,300.038,306.123,303.585,304.101,301.73,301.891,301.38,300.101,295.409,291.358
2017,290.63,294.343,298.506,303.373,303.649,304.019,301.355,301.815,302.23,299.843,294.679,291.708
2018,287.558,294.27,298.97,301.085,302.576,303.562,301.947,301.98,301.842,299.327,295.652,290.471
2019,290.421,294.043,299.49,302.736,304.866,304.713,302.522,302.044,301.11,298.967,295.63,290.304
2020,289.594,291.834,296.79,300.778,301.793,302.235,302.159,302.136,301.948,300.823,295.323,290.639
2021,289.483,291.704,299.512,303.092,301.494,302.149,302.041,301.872,301.167,300.172,294.887,291.876
2022,289.483,291.704,299.237,304.331,303.012,303.942,302.786,301.933,301.59,299.742,295.199,291.671
2023,290.636,294.655,299.163,303.431,303.981,305.657,302.944,301.96,301.692,299.66,296.072,291.874
