Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,293.954,297.048,299.66,301.551,301.029,297.93,296.999,296.734,297.514,296.36,294.723,293.894
1981,294.426,296.951,298.967,301.678,300.621,298.142,297.524,296.483,296.415,295.818,293.871,292.332
1982,292.946,296.993,299.896,301.203,300.46,298.414,297.58,297.054,297.455,297.003,294.637,292.767
1983,293.52,297.958,300.669,302.621,301.467,298.921,297.836,296.596,296.182,296.134,294.281,293.614
1984,294.486,295.399,298.376,300.578,302.142,297.886,296.553,296.752,296.821,296.076,293.652,293.213
1985,294.216,297.055,299.454,301.618,301.407,297.831,297.167,297.005,297.399,296.145,293.47,293.769
1986,292.865,295.86,299.532,301.666,301.377,298.48,297.936,297.231,297.092,296.427,294.69,294.161
1987,293.86,295.667,298.743,301.887,301.757,298.757,298.714,297.452,297.994,296.467,295.093,293.787
1988,293.024,297.207,300.297,300.421,300.619,298.998,297.173,296.705,296.701,296.176,293.742,293.114
1989,293.288,296.013,298.824,301.609,301.655,297.946,296.985,296.875,296.884,296.659,294.339,293.446
1990,293.795,297.261,299.267,301.942,299.249,298.577,297.266,296.666,297.37,296.384,295.136,294.02
1991,295.328,297.243,300.55,301.295,301.145,297.912,296.696,296.243,297.304,296.258,293.974,292.778
1992,292.056,296.677,299.264,301.502,300.391,298.29,297.367,296.444,297.037,296.438,295.164,292.334
1993,293.852,295.999,299.462,301.851,301.166,298.598,297.505,296.915,297.014,296.178,294.699,292.921
1994,294.078,297.298,300.11,300.958,301.127,298.265,296.793,297.169,297.729,296.086,293.932,292.426
1995,294.042,297.574,299.929,301.93,300.178,299.593,297.29,297.299,297.251,296.659,296.095,293.502
1996,294.53,296.308,299.93,300.314,301.354,298.148,297.421,296.578,296.566,295.776,294.916,292.621
1997,293.297,296.365,298.71,299.13,301.258,298.857,297.476,297.113,297.169,296.59,295.704,295.329
1998,295.763,297.728,300.535,301.888,301.686,299.746,297.668,297.449,296.864,296.214,295.285,293.342
1999,293.661,296.411,299.801,300.767,298.424,297.866,297.235,297.028,297.207,296.402,294.769,293.32
2000,294.606,296.669,299.067,300.974,299.803,297.305,296.865,296.385,296.978,296.135,294.739,292.462
2001,294.181,297.628,299.658,299.672,300.836,298.207,297.433,296.908,297.28,295.925,294.929,292.744
2002,294.452,295.938,299.895,302.038,300.54,298.298,297.85,296.99,297.26,296.617,294.408,293.353
2003,294.611,297.965,299.703,301.505,302.533,299.862,297.959,297.577,297.942,297.251,295.187,294.297
2004,294.92,296.646,300.34,301.247,298.369,297.977,297.148,296.968,296.717,296.023,294.336,293.484
2005,295.256,297.603,300.293,300.637,300.88,298.683,297.33,296.802,296.909,295.661,293.739,293.065
2006,293.692,295.28,298.643,301.236,300.398,298.414,297.657,297.571,297.61,296.685,295.3,293.088
2007,294.256,296.633,300.166,300.846,300.537,297.969,297.536,296.702,296.923,296.524,294.56,293.971
2008,294.357,296.745,297.317,300.686,300.381,298.049,297.619,296.988,296.903,296.072,294.629,293.641
2009,293.821,297.335,299.563,302.002,300.875,298.687,297.5,297.777,297.044,296.991,295.68,294.387
2010,294.637,297.617,300.722,302.341,301.59,299.107,297.315,297.268,297.224,296.945,295.441,293.38
2011,293.917,295.652,299.118,300.336,300.338,298.406,297.683,297.274,297.485,297.282,294.872,294.178
2012,294.653,297.269,300.328,301.487,300.886,299.588,298.221,297.411,297.51,296.492,295.323,294.304
2013,295.224,296.773,300.357,302.086,301.274,297.936,296.808,297.136,296.913,296.746,295.421,293.701
2014,294.265,296.805,299.45,302.665,301.993,300.292,298.141,298.252,298.025,297.327,295.302,294.77
2015,295.228,296.964,300.014,300.295,300.651,298.916,298.876,298.339,298.048,297.833,295.218,295.069
2016,294.645,297.913,301.104,303.869,301.595,298.343,297.826,297.794,297.464,298.55,296.607,294.382
2017,294.958,297.216,301.17,303.641,301.854,299.212,298.611,298.075,297.949,297.351,295.905,294.509
2018,294.845,296.358,299.329,301.414,300.445,298.564,297.846,297.304,298.112,297.854,296.381,295.986
2019,294.589,298.086,301.783,302.875,302.813,300.129,298.682,297.958,297.832,297.199,296.477,294.732
2020,296.139,297.27,300.241,301.567,302.266,299.624,297.991,297.845,297.352,297.204,295.733,293.789
2021,295.497,296.751,299.927,301.308,300.559,298.815,297.782,297.644,297.856,297.426,295.325,294.526
2022,295.497,296.751,299.663,301.749,299.557,298.925,297.473,297.489,297.49,296.525,294.992,294.577
2023,294.112,296.806,298.735,301.507,301.05,300.001,297.657,299.085,298.629,298.758,296.744,295.038
