Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.48,299.89,303.281,307.082,309.763,302.846,300.598,299.861,300.854,300.366,298.248,294.692
1981,293.834,298.677,300.916,306.225,307.549,305.566,300.956,300.205,300.025,299.924,296.084,294.371
1982,296.198,299.235,302.482,304.918,306.053,304.599,301.484,300.269,300.382,299.608,297.012,295.163
1983,295.119,297.827,302.864,306.613,308.012,306.735,301.459,300.414,300.035,299.263,295.423,293.784
1984,296.126,297.563,302.518,305.787,309.951,303.976,300.547,300.062,300.784,300.283,296.041,295.58
1985,297.267,299.219,304.147,306.896,308.509,303.561,300.122,299.946,301.043,298.315,295.673,294.903
1986,294.078,297.575,302.429,306.269,308.426,304.541,301.001,300.057,301.984,301.357,298.38,295.757
1987,295.121,297.129,300.663,305.731,306.575,305.277,301.455,300.784,302.469,300.194,297.546,294.766
1988,296.66,299.018,303.018,305.613,309.588,305.049,300.469,300.527,300.465,299.659,295.941,294.536
1989,295.593,297.687,300.427,305.748,308.772,303.237,300.948,299.795,300.65,300.397,297.882,294.196
1990,295.602,298.142,301.517,306.442,303.386,301.346,300.332,300.3,300.613,299.07,298.085,295.671
1991,295.495,299.716,303.617,306.055,309.404,302.947,300.913,300.206,301.982,300.225,296.451,294.312
1992,294.57,297.573,303.238,306.01,308.135,305.529,302.168,299.653,300.555,299.772,296.883,293.695
1993,295.456,296.837,301.138,305.786,308.969,305.014,301.081,300.224,300.502,300.045,296.511,293.171
1994,295.984,297.778,303.368,304.341,309.052,303.448,299.854,299.617,300.321,299.838,296.86,293.807
1995,293.046,297.551,301.284,304.952,306.16,306.435,301.066,301.115,301.044,299.601,297.372,295.695
1996,297.2,298.373,302.868,304.494,308.651,306.119,301.228,300.072,300.77,299.455,297.107,294.1
1997,293.754,296.488,301.747,302.656,306.967,305.326,301.218,300.943,300.464,299.662,298.35,295.788
1998,295.849,297.005,301.322,305.998,308.645,305.603,301.594,301.031,300.618,300.248,296.871,292.951
1999,293.653,298.94,302.44,306.888,306.719,302.989,301.02,300.264,299.516,299.684,296.398,293.615
2000,295.359,297.397,301.459,307.14,307.119,302.125,300.708,300.422,301.251,301.571,297.88,293.664
2001,295.115,298.604,301.694,304.193,308.019,302.289,300.877,299.869,301.436,299.839,297.948,294.406
2002,294.712,298.899,302.241,306.809,308.673,304.2,302.551,299.672,301.274,300.252,296.652,295.693
2003,295.414,298.844,301.232,306.173,309.065,305.675,300.803,300.255,300.552,299.501,297.542,294.707
2004,294.856,296.836,302.258,305.529,306.511,304.153,300.937,300.358,301.053,299.391,297.379,294.604
2005,295.492,298.489,301.76,305.223,307.632,306.523,300.603,300.628,300.688,299.856,295.245,293.733
2006,294.617,298.418,300.419,304.673,306.062,304.982,301.179,300.516,300.782,300.439,297.487,295.695
2007,295.477,298.262,301.918,305.156,308.283,304.243,301.716,300.948,300.718,299.073,296.476,295.696
2008,295.415,297.519,301.243,304.79,308.282,303.045,301.109,300.392,300.71,300.375,297.919,295.916
2009,296.573,300.052,302.086,306.053,308.395,306.371,300.987,301.058,302.141,299.745,297.956,295.652
2010,294.715,299.156,303.915,307.79,309.327,305.853,300.647,300.622,300.665,299.93,299.18,295.145
2011,295.075,298.058,302.31,304.121,307.922,304.047,301.299,300.542,300.887,300.741,297.743,295.061
2012,295.473,298.945,302.171,306.382,309.3,305.422,300.407,300.098,300.68,299.752,296.924,295.892
2013,295.658,298.116,302.281,305.272,309.174,302.227,299.967,299.861,301.138,299.59,296.708,294.302
2014,295.906,297.381,300.569,305.298,306.808,306.564,301.264,301.455,300.948,300.62,298.815,294.77
2015,294.239,298.456,301.021,303.998,307.702,303.373,302.349,300.773,301.581,301.73,299.243,297.206
2016,296.065,300.761,303.252,308.188,307.932,305.48,301.189,301.784,300.521,299.588,296.351,294.589
2017,295.282,298.88,302.422,307.016,308.946,303.712,301.678,300.858,301.865,300.646,297.7,295.124
2018,295.177,298.667,303.395,305.908,308.781,304.152,300.75,300.448,301.153,301.093,298.734,294.682
2019,294.369,298.551,303.586,307.625,311.094,307.717,302.059,300.682,300.596,300.408,298.559,296.16
2020,295.644,297.774,301.622,305.376,308.014,303.497,301.788,300.648,301.69,300.841,298.44,296.387
2021,294.493,297.379,302.456,305.281,306.36,302.242,301.249,301.38,300.749,300.424,299.167,296.055
2022,294.493,297.379,302.944,306.579,307.698,304.837,300.114,301.368,300.942,299.73,296.371,297.032
2023,296.157,298.224,300.977,303.673,305.676,306.446,301.118,301.65,300.749,300.803,299.101,295.544
