Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,286.161,291.322,294.09,303.153,307.837,306.834,302.743,303.594,302.598,299.614,292.852,287.896
1981,286.973,290.251,294.51,302.521,306.361,308.046,303.081,303.592,303.751,298.695,291.783,287.313
1982,286.68,287.89,292.208,300.033,302.071,306.504,305.355,302.396,303.146,299.671,293.195,287.698
1983,285.59,288.214,294.134,298.062,303.147,305.186,303.381,302.248,302.301,297.856,291.681,287.507
1984,285.164,287.499,296.981,301.701,308.193,308.171,303.453,302.56,300.753,297.667,292.15,287.838
1985,286.316,289.885,296.87,301.913,306.739,307.555,303.143,303.032,302.487,297.508,293.05,289.345
1986,286.791,289.018,295.525,301.699,303.912,306.5,303.169,303.825,303.332,298.802,293.702,286.669
1987,287.387,291.096,296.126,302.395,302.95,308.095,307.937,305.228,305.0,300.664,293.304,288.166
1988,288.192,291.078,295.503,303.347,308.535,306.539,303.241,302.381,303.182,298.876,292.982,288.46
1989,286.007,289.289,295.171,300.789,306.401,306.728,304.858,303.377,302.517,299.29,292.917,287.139
1990,288.582,289.443,293.904,301.865,306.118,307.762,303.27,302.9,301.945,298.916,293.646,287.915
1991,286.652,290.505,295.636,301.024,306.285,307.195,306.331,303.546,302.503,297.94,292.172,288.044
1992,287.359,288.778,295.145,301.099,305.301,307.957,303.988,302.268,301.672,299.079,292.809,289.088
1993,286.997,291.499,294.236,301.933,307.194,307.394,303.507,304.89,301.088,298.5,293.226,287.864
1994,287.631,289.723,296.868,300.173,306.257,307.378,303.303,302.259,301.961,298.53,293.423,288.781
1995,286.255,290.119,294.517,301.276,306.926,309.027,305.177,301.25,302.333,299.685,293.165,288.488
1996,286.809,290.535,296.923,302.279,305.622,305.265,304.323,301.662,301.449,298.238,291.992,286.799
1997,285.647,289.345,294.802,299.777,303.946,304.935,304.562,302.201,302.677,295.914,291.696,285.815
1998,285.765,289.571,293.902,303.105,307.698,306.529,304.148,303.862,302.893,298.873,293.207,287.842
1999,285.933,290.087,296.471,303.806,306.735,306.918,305.387,304.135,302.69,300.016,294.523,287.992
2000,286.82,288.085,295.491,303.851,308.055,306.295,303.609,304.155,304.29,300.86,294.03,288.343
2001,285.636,290.317,295.366,301.263,306.332,304.652,303.314,303.607,303.934,299.913,293.206,288.404
2002,286.585,289.767,296.979,303.887,308.292,307.743,308.437,304.36,301.589,300.3,293.764,288.932
2003,284.521,289.797,295.488,303.06,305.963,308.165,303.068,302.693,301.612,298.265,292.275,287.911
2004,286.121,290.828,298.555,304.3,306.98,306.364,307.207,302.716,303.827,297.75,293.717,289.152
2005,286.57,289.917,296.82,302.168,305.79,308.162,303.472,305.324,302.47,299.817,294.057,287.308
2006,287.731,294.651,295.685,303.611,307.537,306.326,304.415,303.782,303.313,300.126,294.087,288.398
2007,286.811,290.598,295.338,304.949,306.957,307.418,304.846,303.594,302.696,298.95,293.954,287.399
2008,285.9,288.786,297.821,301.696,304.1,303.432,304.031,302.422,301.952,300.477,293.782,289.76
2009,287.77,291.15,296.721,302.844,306.496,308.031,305.088,304.949,302.387,299.44,292.967,288.533
2010,286.129,291.174,299.32,305.843,308.411,307.861,304.327,302.628,300.62,299.461,293.674,287.151
2011,285.073,290.009,295.694,300.797,306.297,305.826,303.689,302.544,301.7,298.999,294.434,288.042
2012,285.555,288.642,295.437,301.286,306.599,309.074,305.416,302.163,301.741,298.42,292.084,287.298
2013,284.857,289.339,295.505,301.514,307.127,306.645,303.724,302.347,303.015,299.49,292.2,288.244
2014,285.832,288.553,294.368,300.783,304.81,308.337,305.475,304.633,303.241,300.258,293.134,286.957
2015,285.591,291.555,294.801,301.461,307.175,305.853,303.263,303.504,303.954,300.905,294.337,288.153
2016,287.36,290.949,297.071,303.909,307.05,307.329,303.84,302.788,303.691,300.394,293.71,289.466
2017,287.198,291.376,296.356,304.436,306.994,305.972,304.596,303.503,303.041,300.663,292.773,288.325
2018,286.485,291.024,297.421,303.058,306.357,307.273,304.639,303.995,301.717,299.667,294.201,287.445
2019,286.695,289.389,295.082,303.574,305.901,308.428,305.076,303.565,303.731,300.84,294.794,285.791
2020,285.937,290.117,294.254,301.64,305.674,306.37,305.034,303.679,304.795,299.329,291.598,287.453
2021,286.026,290.022,297.671,301.512,303.93,306.207,305.28,304.239,302.13,299.698,293.04,287.909
2022,286.026,290.022,299.028,305.534,307.733,307.852,304.049,303.616,303.053,298.468,293.756,287.944
2023,285.476,293.054,296.436,301.353,303.251,305.229,303.717,304.833,303.571,299.439,293.722,288.558
