Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.355,298.601,300.717,302.162,302.726,297.873,297.094,296.543,297.507,298.512,296.327,295.351
1981,295.633,298.507,301.0,302.658,301.682,298.322,297.327,296.594,297.181,297.592,295.627,294.662
1982,295.735,299.485,301.636,302.232,301.721,298.508,297.381,296.83,297.257,298.749,296.1,294.833
1983,295.475,298.321,301.602,303.08,302.452,299.471,297.775,296.971,296.812,297.427,295.329,295.153
1984,296.755,298.507,300.809,302.16,302.872,298.068,296.765,296.625,297.501,297.332,295.766,295.942
1985,296.79,298.69,301.428,301.804,301.392,297.842,297.069,296.927,298.096,297.42,296.472,296.767
1986,294.959,298.53,302.288,303.228,302.121,298.66,297.616,296.901,297.904,298.845,296.774,296.444
1987,296.354,297.78,300.895,303.162,301.979,299.101,298.175,297.583,298.408,297.963,296.374,295.084
1988,295.848,299.744,302.151,302.394,302.406,299.379,297.413,296.967,297.152,297.917,296.601,294.887
1989,295.525,298.111,300.242,302.623,302.239,298.11,296.985,296.604,297.275,298.356,296.866,295.501
1990,295.938,297.958,300.726,302.879,299.984,298.177,296.617,296.414,297.577,297.634,296.243,295.106
1991,296.753,298.93,302.003,302.036,302.008,298.507,296.509,296.389,297.526,297.356,295.48,294.806
1992,294.714,298.069,301.473,302.766,301.784,298.88,297.705,296.711,298.266,297.501,296.311,293.742
1993,295.739,297.173,300.798,302.771,302.17,299.115,297.61,296.953,297.186,297.502,296.392,294.212
1994,295.941,298.499,301.924,301.72,302.42,297.989,296.815,296.849,297.875,297.219,295.511,294.619
1995,295.192,298.932,301.792,303.45,301.504,300.246,297.527,297.768,297.954,297.718,297.69,296.461
1996,297.39,299.037,302.384,302.49,302.755,299.011,297.69,296.755,297.229,296.805,296.486,294.608
1997,295.166,297.454,301.007,301.55,302.022,299.545,297.812,297.248,298.689,299.35,297.286,296.714
1998,297.213,298.472,302.072,304.103,303.007,299.978,297.908,297.852,297.233,297.044,296.266,294.809
1999,295.017,298.731,301.612,302.144,299.739,298.141,297.414,297.506,298.211,297.873,296.585,294.908
2000,296.748,297.772,301.127,302.841,300.687,297.838,297.037,296.838,297.927,297.299,296.501,294.66
2001,296.247,299.495,301.295,302.334,302.043,298.787,297.621,297.224,298.159,297.265,297.255,295.351
2002,296.091,298.405,301.962,303.034,301.808,298.759,298.164,297.19,298.397,298.343,296.875,296.357
2003,297.125,300.484,302.592,303.349,303.666,300.017,298.158,298.04,298.487,298.091,297.091,295.282
2004,296.08,298.633,302.146,302.847,300.011,298.29,297.498,297.194,297.692,297.496,296.77,295.488
2005,297.057,298.511,301.189,301.592,302.333,299.308,297.511,297.232,297.251,297.288,295.495,295.61
2006,296.25,298.405,301.063,302.89,301.471,298.437,297.561,297.389,298.124,298.433,296.894,295.426
2007,296.225,298.229,302.125,302.851,301.785,298.899,297.97,297.073,297.147,297.536,295.829,295.567
2008,296.017,298.257,299.05,301.602,301.45,298.58,298.332,297.367,297.337,297.58,296.467,295.392
2009,295.878,299.53,301.205,303.059,301.903,298.951,297.399,297.798,297.456,297.679,296.704,295.703
2010,295.795,298.957,301.728,302.913,302.391,299.562,297.257,297.522,297.769,297.697,296.971,295.37
2011,295.443,297.275,301.236,301.309,301.686,298.301,297.428,297.194,297.506,298.153,296.62,295.518
2012,296.104,298.976,301.421,301.766,301.696,299.478,297.905,297.421,297.813,298.172,296.955,296.992
2013,297.478,299.189,301.937,302.959,302.082,298.038,296.66,297.228,297.201,297.506,296.486,294.945
2014,296.197,298.17,301.215,302.499,301.308,300.31,297.598,297.773,298.107,298.227,296.634,295.379
2015,295.362,297.764,301.059,301.684,302.155,299.281,298.823,298.484,298.559,298.978,297.015,297.319
2016,297.039,300.531,303.446,304.879,302.819,298.452,297.506,297.743,297.193,298.146,297.232,296.292
2017,296.958,299.376,302.094,303.551,302.625,299.022,298.299,298.239,298.451,298.056,297.325,295.812
2018,296.122,298.233,301.391,302.775,302.021,298.806,297.881,297.236,298.385,298.819,297.994,296.772
2019,295.767,299.832,302.735,303.271,303.149,300.324,298.237,297.563,297.854,297.75,297.532,295.957
2020,297.055,298.557,301.649,302.743,302.897,299.306,298.064,297.528,297.764,297.726,296.707,295.586
2021,295.583,297.587,300.835,301.998,300.823,298.776,297.709,297.794,297.858,298.368,296.575,295.18
2022,295.583,297.587,300.799,302.569,299.958,299.011,297.397,297.487,297.483,297.275,296.479,296.263
2023,295.88,298.405,300.323,302.45,302.122,301.192,297.413,298.907,298.407,300.664,298.361,296.532
