Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.396,290.865,294.576,298.461,297.386,300.076,300.594,300.422,299.518,295.729,292.414,289.999
1981,288.164,291.419,294.246,295.83,298.307,300.427,300.37,300.459,299.519,297.648,293.492,289.192
1982,289.143,290.442,295.007,296.334,299.284,299.742,300.539,300.392,299.414,296.588,292.168,288.851
1983,287.235,289.839,294.374,296.47,298.083,300.598,300.754,299.897,299.467,297.595,293.144,288.581
1984,287.884,291.157,296.884,299.724,297.954,300.581,300.26,300.476,298.364,297.458,292.525,289.424
1985,289.064,290.551,296.266,297.73,298.429,300.123,299.831,300.558,299.26,297.256,292.144,289.948
1986,289.055,291.91,296.554,296.625,298.545,301.336,300.329,300.407,298.471,296.158,292.911,289.497
1987,288.85,291.723,293.901,297.832,299.272,300.284,300.613,300.073,299.48,297.25,293.589,290.131
1988,289.44,292.178,295.919,298.89,298.543,300.459,299.841,299.742,299.623,296.967,293.062,290.614
1989,287.65,291.3,295.324,299.146,299.717,300.245,299.962,300.43,299.449,297.243,292.464,288.116
1990,289.984,291.23,293.095,295.846,298.857,300.659,300.615,300.644,299.261,296.482,293.962,289.8
1991,287.814,292.159,295.851,297.268,298.082,300.228,301.388,300.512,299.696,297.361,291.965,288.419
1992,288.076,289.341,296.656,298.783,298.375,300.804,299.9,300.571,299.553,296.706,292.684,287.609
1993,288.198,291.12,293.716,296.492,297.803,299.767,300.595,300.253,299.104,297.764,293.156,289.898
1994,289.453,290.313,295.01,297.601,299.701,300.525,300.977,300.414,300.202,296.909,292.442,288.572
1995,287.872,290.473,295.526,297.77,300.434,300.865,300.374,300.25,299.366,297.747,293.667,289.668
1996,288.763,292.086,296.03,298.336,299.108,300.132,300.448,300.167,299.688,297.119,293.722,289.957
1997,287.809,289.423,295.052,295.361,299.01,300.224,300.572,300.271,298.997,296.205,293.315,289.243
1998,288.129,291.603,294.203,297.043,299.53,300.947,300.234,300.539,300.194,298.773,294.658,290.35
1999,289.155,293.852,297.432,300.157,299.088,300.768,300.139,300.102,299.69,297.516,293.581,289.664
2000,288.385,289.761,293.694,297.324,298.631,300.285,301.181,299.958,298.941,297.315,293.218,289.193
2001,288.433,291.948,295.145,298.959,298.898,299.945,300.765,300.777,299.803,297.556,293.648,289.367
2002,289.106,292.37,295.329,296.626,298.132,300.302,300.207,300.012,299.659,297.164,293.324,289.715
2003,287.734,291.14,293.861,297.064,298.877,299.462,300.937,301.392,299.927,297.515,293.236,289.539
2004,288.539,290.701,296.668,295.435,299.441,300.001,299.275,301.075,299.157,296.351,292.647,289.943
2005,288.694,293.241,295.781,298.059,297.596,301.275,301.205,300.837,300.327,297.808,293.819,290.27
2006,289.194,293.723,297.171,297.271,299.26,300.173,301.276,301.913,300.34,297.368,293.14,289.734
2007,288.512,290.208,294.426,297.408,299.851,300.155,300.622,301.069,299.634,297.614,293.669,289.489
2008,289.29,289.816,294.673,297.858,299.766,300.434,300.986,300.223,300.114,297.32,293.114,290.953
2009,289.923,293.282,296.367,298.69,299.319,301.095,301.739,300.603,300.68,298.284,293.969,289.856
2010,288.912,292.377,297.351,298.429,299.475,300.029,301.149,300.962,299.992,298.051,294.162,289.37
2011,287.96,291.96,295.806,297.672,299.36,300.744,300.84,300.385,300.518,298.155,292.346,289.653
2012,288.252,291.605,295.933,297.26,299.96,300.218,301.268,301.026,300.0,297.244,292.918,289.066
2013,288.072,292.689,296.423,297.864,298.735,301.424,300.955,300.657,299.972,297.426,292.855,289.41
2014,289.254,291.243,295.35,298.97,299.675,301.402,301.248,300.67,299.878,297.924,294.505,290.564
2015,290.155,291.821,296.502,297.471,299.274,300.41,300.657,300.486,300.415,298.087,293.769,289.422
2016,288.422,293.181,296.541,298.612,298.526,300.753,300.529,301.884,300.533,299.09,294.075,291.282
2017,289.784,293.278,294.983,297.477,299.215,300.542,301.297,300.997,300.697,298.556,294.564,291.38
2018,289.353,292.979,296.151,297.503,298.953,301.314,301.758,301.595,301.16,297.657,294.197,290.455
2019,289.49,292.063,296.092,297.533,299.44,301.133,300.969,302.255,300.493,297.859,294.987,289.787
2020,288.932,291.109,295.178,296.773,298.311,300.808,300.806,301.944,300.897,299.655,294.61,290.297
2021,289.214,290.092,296.69,298.773,298.916,300.92,301.194,300.757,300.856,299.565,294.319,290.782
2022,289.214,290.092,297.141,298.409,299.254,299.981,301.854,301.854,300.865,298.118,294.479,291.536
2023,289.952,293.476,295.879,299.314,300.161,301.188,301.844,301.153,301.876,298.5,294.474,291.401
