Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,298.236,299.832,302.174,304.682,307.138,303.034,302.444,301.584,301.505,300.538,298.512,297.523
1981,297.113,299.378,301.096,304.316,306.043,305.378,302.663,301.805,301.197,300.83,298.395,297.299
1982,297.358,299.749,301.9,303.967,305.473,305.238,302.951,301.91,301.47,300.411,298.777,297.239
1983,297.299,299.94,302.315,304.062,305.848,305.653,302.426,301.801,300.945,300.388,298.384,297.339
1984,297.765,298.612,301.147,303.982,306.521,304.673,301.961,303.029,301.915,300.455,298.324,298.385
1985,297.802,299.764,301.948,305.218,306.849,303.575,301.907,302.009,302.004,299.815,298.405,297.732
1986,296.219,298.377,301.495,303.599,306.635,305.193,303.883,302.155,302.726,300.695,298.954,298.161
1987,298.096,298.487,300.919,304.49,305.306,306.294,303.105,302.677,303.242,301.008,298.999,297.969
1988,297.967,300.049,302.397,303.878,306.91,305.478,301.688,301.541,301.301,300.84,298.763,297.327
1989,297.167,298.754,300.558,304.086,306.674,303.814,301.886,301.678,301.052,301.032,298.288,297.085
1990,298.133,299.291,301.517,304.231,302.962,302.917,301.736,301.511,301.581,299.9,299.093,297.601
1991,297.726,299.296,301.523,304.332,305.969,303.07,301.753,301.942,302.083,300.238,297.568,296.235
1992,295.701,299.038,301.213,303.406,305.815,305.087,302.789,301.266,301.746,300.669,298.951,296.336
1993,297.663,298.792,301.566,303.972,305.965,305.623,302.749,302.421,301.703,300.781,298.779,297.085
1994,297.713,299.052,301.909,304.171,306.777,305.691,302.359,301.593,302.28,300.145,297.903,296.633
1995,296.618,299.324,302.319,304.336,304.1,305.9,302.204,302.59,301.887,300.497,299.774,297.601
1996,297.841,299.029,301.745,303.793,306.866,304.275,302.524,301.765,301.604,300.408,299.051,297.106
1997,296.844,299.427,301.96,302.825,306.473,306.437,303.884,303.326,301.763,300.67,299.786,298.653
1998,298.728,300.38,302.358,304.396,307.411,306.082,302.894,302.227,301.823,300.535,299.769,297.051
1999,297.273,299.583,302.297,305.144,305.473,304.235,302.913,301.903,301.678,300.682,299.259,297.572
2000,297.758,299.442,301.741,304.957,306.367,302.584,301.947,301.01,301.745,301.026,298.97,296.878
2001,297.316,299.19,301.918,302.801,306.855,303.953,303.959,301.636,302.02,301.001,299.079,296.988
2002,297.806,299.339,302.104,304.426,307.48,304.712,305.279,301.465,303.551,300.918,298.75,298.316
2003,297.867,299.967,302.066,304.716,307.529,305.925,301.592,301.919,302.253,300.609,298.96,296.698
2004,296.512,298.865,301.914,304.697,304.988,304.317,302.191,302.849,302.133,300.281,298.086,297.305
2005,298.383,300.28,302.342,304.4,305.751,306.359,302.304,302.415,301.397,300.462,298.159,297.356
2006,297.768,299.375,301.683,304.062,305.023,304.404,303.493,302.128,301.549,301.23,298.733,297.701
2007,297.494,298.542,301.434,303.961,307.462,303.868,303.03,302.069,301.294,300.196,298.468,298.094
2008,297.673,299.304,300.896,303.54,307.213,304.401,302.953,301.437,301.466,300.664,299.229,297.773
2009,297.808,300.04,301.707,304.643,305.926,306.451,303.805,303.609,302.608,301.522,299.372,297.504
2010,298.111,299.332,302.501,305.029,305.733,304.715,301.505,301.899,301.361,300.781,299.631,296.665
2011,296.771,298.517,301.101,302.719,305.838,305.352,302.387,301.962,302.376,301.424,299.409,298.44
2012,297.367,298.798,302.191,304.18,306.794,305.65,301.934,301.97,301.61,300.787,298.651,297.716
2013,298.009,298.894,301.22,303.698,306.588,303.725,301.66,301.954,301.829,300.805,298.948,296.922
2014,297.486,298.463,301.239,303.923,305.277,306.847,302.732,302.641,301.757,300.981,299.163,297.953
2015,297.548,298.88,301.959,303.561,306.96,303.234,304.978,302.511,302.055,301.88,299.267,298.282
2016,298.073,300.115,302.565,305.36,306.139,303.45,302.871,303.35,301.568,301.222,299.79,298.675
2017,298.458,299.921,302.715,305.34,306.936,303.948,302.99,302.249,302.582,301.831,300.37,298.351
2018,298.03,299.114,301.958,304.431,305.754,305.535,302.814,301.952,302.6,302.046,300.938,298.309
2019,297.619,300.327,302.766,304.621,307.039,306.49,303.678,302.567,301.69,300.82,300.383,299.031
2020,298.986,299.733,302.106,304.202,306.322,304.481,302.462,301.851,301.934,301.284,299.666,297.899
2021,298.128,299.249,301.864,304.281,305.391,304.611,302.487,302.816,302.116,302.112,299.643,298.128
2022,298.128,299.249,302.444,304.759,306.125,305.7,301.831,302.485,301.903,300.611,299.485,299.232
2023,298.481,300.439,301.209,304.033,305.434,307.063,302.362,303.819,302.682,302.783,300.708,298.202
