Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.771,292.476,297.74,305.623,304.527,303.059,301.784,301.599,301.302,298.518,294.397,290.294
1981,288.772,292.38,297.19,301.004,303.223,304.575,301.509,302.118,300.929,298.06,293.156,289.155
1982,289.592,290.87,294.992,301.697,304.54,302.888,302.867,302.664,301.173,298.612,294.125,289.888
1983,287.881,291.085,297.192,300.996,302.462,305.585,302.582,302.584,301.381,298.563,294.105,289.317
1984,287.79,290.77,298.522,303.9,304.556,302.251,301.418,302.388,300.403,299.705,293.545,289.827
1985,289.138,292.068,299.626,304.079,304.597,304.104,300.727,302.356,300.854,298.284,293.585,290.593
1986,288.164,291.01,297.861,302.537,302.914,304.697,301.942,302.421,300.699,297.529,294.589,289.698
1987,289.309,293.489,297.577,302.475,304.507,305.191,301.673,301.993,301.476,298.59,294.249,290.226
1988,289.43,292.977,297.604,303.083,304.994,303.984,301.757,301.611,302.287,299.391,294.555,291.172
1989,287.638,291.132,297.226,303.193,305.202,303.544,301.534,301.979,300.89,298.899,293.909,289.327
1990,289.734,291.826,296.345,301.92,302.181,303.899,301.414,301.941,301.097,297.894,294.497,290.479
1991,288.128,293.153,298.507,302.534,304.563,303.072,302.724,301.842,301.282,298.824,293.072,289.54
1992,288.349,289.778,298.029,303.879,302.877,303.867,301.9,302.239,301.668,298.938,294.602,290.029
1993,287.801,293.214,295.519,300.743,303.289,303.779,302.88,301.958,300.711,299.492,295.531,290.978
1994,289.66,290.737,298.01,302.257,305.562,304.439,303.137,302.556,301.184,298.631,294.499,289.871
1995,288.145,291.844,296.886,303.85,307.694,303.908,302.23,302.049,301.292,299.624,294.329,290.281
1996,288.401,291.603,298.522,303.162,306.573,304.021,302.364,301.58,301.426,298.369,294.039,289.463
1997,288.258,290.626,297.227,300.161,304.002,304.652,302.375,302.234,301.011,297.596,294.407,288.233
1998,287.273,292.218,294.699,301.359,304.778,306.406,302.316,301.695,301.571,300.265,295.633,290.227
1999,287.747,293.118,298.475,304.091,303.434,303.102,301.801,301.721,301.625,299.016,295.025,291.078
2000,288.647,289.999,296.166,302.47,303.428,302.066,301.931,302.407,300.548,300.0,295.444,290.041
2001,288.146,292.333,297.5,303.152,302.836,302.375,302.806,302.404,301.395,299.519,294.849,289.275
2002,288.983,292.263,298.116,302.335,302.501,302.854,302.695,302.362,301.157,298.937,295.256,290.416
2003,285.326,291.822,296.662,302.79,304.621,302.987,302.275,302.415,301.286,298.863,294.58,289.743
2004,287.008,292.166,299.314,302.433,304.173,302.546,301.822,302.714,302.219,298.266,294.268,290.879
2005,289.201,292.704,298.668,302.336,304.145,306.378,302.132,302.363,302.409,299.524,294.118,289.893
2006,289.11,295.936,298.173,302.527,303.42,303.025,302.954,302.923,301.745,299.572,294.685,290.447
2007,288.227,291.551,295.657,302.877,304.064,303.911,301.622,302.344,301.411,299.719,294.659,289.717
2008,288.958,290.929,298.243,302.579,303.647,301.985,301.667,302.019,301.985,299.096,294.503,291.445
2009,290.046,293.681,297.838,304.178,303.508,305.316,303.455,302.074,302.294,299.124,294.862,289.973
2010,287.125,291.859,299.73,304.701,304.58,305.314,302.741,302.223,301.55,299.654,295.537,289.532
2011,286.755,291.568,297.325,301.246,303.061,303.084,302.262,302.069,301.782,299.797,294.348,289.489
2012,288.076,291.82,296.82,303.042,306.017,306.3,302.373,302.528,301.7,299.049,293.248,288.968
2013,286.845,291.618,297.849,301.797,303.586,302.581,302.75,302.347,302.326,298.715,293.782,289.775
2014,287.826,290.038,296.561,302.496,304.542,305.216,302.986,302.4,301.509,298.715,293.829,288.287
2015,287.927,292.872,297.404,300.293,304.866,305.273,303.077,302.64,302.68,299.175,295.337,289.778
2016,288.946,293.753,299.139,305.772,303.243,303.777,302.068,303.27,301.509,300.129,294.743,289.872
2017,288.903,293.028,297.114,303.428,303.928,303.935,302.398,302.401,302.947,300.818,294.866,290.515
2018,286.542,292.919,299.138,302.511,304.322,305.003,303.039,302.476,302.319,298.884,294.629,289.518
2019,288.943,291.582,296.59,303.039,305.774,306.022,302.951,303.632,301.217,299.166,295.266,287.861
2020,287.66,290.979,296.104,300.831,302.92,302.128,301.96,303.112,301.942,300.681,293.899,289.338
2021,287.677,290.303,298.608,302.306,300.914,302.229,302.75,301.927,302.329,300.088,293.837,290.12
2022,287.677,290.303,299.321,304.3,303.573,304.46,303.917,303.522,301.834,299.027,294.76,290.306
2023,287.95,293.179,297.87,302.556,304.04,306.72,303.602,302.841,303.124,299.719,295.759,291.038
