Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.226,293.543,297.326,305.223,308.962,304.672,300.885,300.769,301.477,300.102,294.45,289.702
1981,289.408,293.519,297.278,304.186,307.305,308.081,301.36,300.705,302.078,299.117,292.203,288.987
1982,289.208,290.579,295.246,302.064,304.409,307.142,303.904,300.211,301.019,299.569,293.51,289.661
1983,287.45,289.89,296.599,300.675,305.473,305.565,302.459,300.961,300.6,297.403,291.749,289.112
1984,287.851,289.851,299.19,304.267,309.63,307.234,302.138,299.924,299.928,299.341,293.822,290.401
1985,288.841,292.779,300.262,304.192,308.542,307.516,301.995,300.2,300.153,296.596,293.636,290.7
1986,288.461,291.151,297.802,303.462,305.885,306.257,300.942,300.729,301.459,299.853,295.044,288.929
1987,289.16,293.499,298.909,304.524,305.386,307.896,304.992,303.253,301.801,300.139,293.835,289.482
1988,289.776,293.701,298.108,305.13,309.375,305.871,301.407,300.807,302.223,298.729,293.713,290.268
1989,287.687,291.939,296.968,302.766,307.901,305.382,302.534,301.108,301.566,300.812,295.639,289.719
1990,291.51,292.189,296.935,304.067,307.271,305.661,300.838,300.972,299.73,298.533,293.857,289.608
1991,288.201,292.51,298.224,302.625,307.924,307.599,303.966,300.026,300.849,298.219,293.031,289.536
1992,289.06,290.872,297.852,303.142,306.145,308.515,303.061,300.503,300.033,298.175,293.502,290.135
1993,289.186,293.081,296.111,302.923,307.875,306.209,302.653,302.382,299.625,299.186,294.599,289.927
1994,289.928,291.397,299.192,302.232,308.324,306.716,300.711,300.105,300.207,298.327,293.977,290.203
1995,288.151,292.902,296.655,303.415,307.819,309.187,303.325,300.258,300.928,299.454,293.585,289.967
1996,288.813,291.773,298.612,302.996,306.917,307.265,302.435,299.63,300.883,297.5,293.058,288.713
1997,287.799,291.533,297.436,301.355,305.313,304.472,302.076,300.47,300.897,296.346,292.965,287.388
1998,287.865,291.806,295.893,303.648,308.102,306.908,301.972,301.449,301.188,299.298,294.162,289.996
1999,287.593,292.296,298.286,304.997,307.776,305.709,303.518,301.428,300.155,298.494,294.997,289.531
2000,289.57,290.862,297.446,305.519,306.531,305.752,301.169,301.497,301.355,300.746,295.546,290.236
2001,288.22,292.6,298.172,302.931,307.053,303.531,300.722,301.4,302.891,299.991,294.31,290.33
2002,288.667,291.835,298.567,305.073,309.386,306.905,305.955,301.049,301.157,300.586,295.361,291.426
2003,287.259,292.629,297.988,304.923,307.801,308.021,302.242,300.954,299.538,298.056,293.851,289.51
2004,287.473,291.803,300.172,305.595,307.831,305.958,303.541,300.663,302.577,298.582,294.754,290.522
2005,288.338,292.607,298.496,302.824,307.215,307.695,301.097,302.021,300.679,299.755,294.862,289.136
2006,289.789,296.676,297.349,304.669,308.018,306.158,301.653,300.44,301.446,300.402,294.939,290.992
2007,289.666,292.799,297.336,305.508,307.043,306.809,302.237,301.507,302.194,300.965,295.999,290.438
2008,288.773,291.07,300.44,303.903,306.606,302.309,301.353,300.961,300.847,299.5,294.12,291.355
2009,290.282,293.548,298.684,304.168,307.961,308.867,302.678,302.185,301.987,298.923,293.964,290.703
2010,287.885,293.074,301.111,306.878,309.625,308.236,303.048,301.278,300.355,299.494,294.729,288.909
2011,287.134,292.441,298.437,303.129,308.264,304.943,301.445,300.977,300.719,298.885,295.081,289.727
2012,286.996,290.886,297.693,303.745,307.167,308.38,302.293,300.169,300.616,298.254,292.981,289.966
2013,287.353,290.97,297.583,302.36,308.268,304.124,300.82,300.169,301.587,298.217,292.183,289.211
2014,286.914,290.006,296.022,302.273,306.034,308.489,303.664,301.914,301.339,299.454,295.417,288.727
2015,286.54,293.036,296.156,301.912,307.794,306.224,302.142,301.773,303.128,300.89,296.093,289.598
2016,290.079,293.111,299.864,305.926,308.366,307.304,301.58,300.546,301.763,300.174,294.747,290.807
2017,289.007,293.399,298.387,306.24,308.137,306.435,302.346,301.739,302.346,301.138,294.155,290.355
2018,289.552,294.188,300.272,304.857,308.859,307.521,302.527,301.146,300.073,299.374,294.605,288.641
2019,288.242,291.475,296.664,304.33,307.28,307.793,302.774,300.874,300.422,298.328,294.981,287.13
2020,287.728,291.395,296.276,303.12,306.504,305.353,303.593,301.216,302.797,300.015,293.311,290.002
2021,286.618,291.542,300.354,304.721,304.682,305.942,303.911,301.183,300.634,299.073,292.696,288.536
2022,286.618,291.542,299.713,306.542,308.579,306.999,302.317,300.759,300.938,298.222,293.824,289.687
2023,287.206,294.872,298.243,302.706,305.225,305.268,302.444,301.648,301.379,299.641,294.708,290.351
