Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.49,299.837,302.328,305.194,307.687,300.809,299.254,298.164,299.552,300.186,297.485,294.792
1981,293.805,297.88,300.217,304.715,305.752,302.329,299.833,298.746,298.687,298.642,295.494,294.248
1982,295.989,299.575,301.798,303.857,304.852,302.435,299.959,299.451,299.373,298.786,296.771,295.095
1983,295.231,298.565,302.53,305.549,306.766,303.678,299.865,299.182,298.504,297.927,294.91,294.032
1984,296.023,297.614,301.585,304.867,307.978,301.927,299.113,299.006,299.27,298.611,294.654,295.399
1985,296.614,298.606,302.305,304.749,306.175,301.055,299.085,299.235,300.395,297.75,296.091,295.571
1986,294.492,298.065,302.8,305.283,306.696,301.361,299.913,298.671,300.535,300.679,298.481,296.29
1987,296.19,297.965,301.542,305.924,305.147,302.966,299.966,299.372,300.769,299.108,296.468,294.242
1988,295.782,299.033,302.385,304.04,306.844,302.222,299.139,298.953,298.951,298.581,295.43,293.897
1989,295.618,297.443,300.298,304.682,306.434,301.062,299.185,298.426,299.007,299.013,296.653,294.192
1990,295.606,298.158,300.894,304.709,301.337,299.626,298.994,298.574,299.269,297.752,296.763,294.632
1991,295.72,298.561,302.066,303.713,306.563,301.158,298.962,298.819,300.085,299.068,295.476,294.085
1992,294.453,297.18,302.033,304.385,305.86,302.671,300.459,298.335,299.109,298.841,296.444,293.523
1993,295.647,296.921,300.911,304.255,306.588,302.978,299.61,298.734,298.932,298.918,296.144,293.185
1994,295.779,298.221,302.692,302.849,306.451,301.357,298.615,298.41,298.791,298.112,295.171,292.737
1995,293.104,297.445,300.915,303.917,304.358,304.218,299.523,299.823,299.329,298.425,296.605,295.156
1996,296.591,298.513,302.188,303.558,306.196,303.289,299.899,298.63,299.209,298.063,295.9,294.084
1997,294.241,296.611,301.138,301.984,305.178,302.435,299.988,299.601,299.409,299.06,297.842,296.335
1998,296.558,297.89,301.731,304.943,306.231,303.363,300.41,299.416,299.073,298.541,296.594,293.145
1999,293.943,298.715,301.858,305.323,304.137,300.522,299.452,298.756,298.633,298.572,295.886,293.64
2000,295.471,297.593,300.747,304.972,304.142,300.224,299.343,298.803,299.923,300.28,297.515,294.337
2001,295.935,299.366,301.975,303.759,306.383,301.074,300.285,298.519,299.548,298.653,297.21,294.275
2002,294.896,298.567,301.989,305.297,305.802,301.438,300.168,298.512,299.407,298.89,296.207,295.549
2003,295.82,299.404,301.293,304.871,307.301,303.464,299.625,299.027,299.436,298.45,295.974,293.965
2004,294.852,296.91,302.074,304.56,303.583,302.079,299.804,298.968,299.254,298.338,297.0,294.65
2005,295.809,297.89,300.994,303.928,306.147,303.804,299.252,298.904,299.159,298.595,294.917,293.712
2006,294.657,297.784,299.726,303.576,304.553,301.961,299.632,298.975,299.387,298.913,296.376,294.695
2007,295.496,297.542,301.625,304.191,306.009,301.438,300.555,299.55,299.136,298.674,295.8,296.03
2008,295.677,297.478,300.536,302.967,305.377,302.026,300.873,299.14,298.921,298.697,296.917,295.463
2009,296.173,299.556,301.424,304.756,305.946,303.418,299.924,299.869,300.206,299.03,297.387,295.484
2010,295.227,299.479,303.534,306.511,307.254,303.273,299.202,299.319,299.195,298.812,297.834,294.331
2011,294.737,297.837,302.019,303.332,306.163,301.986,299.769,299.124,299.45,299.366,297.122,295.169
2012,296.09,298.904,301.867,304.635,307.194,303.132,299.496,299.216,299.258,298.133,295.998,295.351
2013,296.509,298.101,302.032,304.748,307.557,300.665,298.519,299.036,299.591,298.846,296.042,293.804
2014,295.853,297.393,300.219,304.212,304.878,304.222,299.898,299.955,299.517,299.635,296.977,294.438
2015,294.562,298.161,301.016,302.485,305.843,301.736,301.823,299.949,300.212,300.567,298.745,297.684
2016,296.518,301.083,303.614,307.326,306.038,302.011,299.537,300.096,298.556,298.884,296.355,295.077
2017,295.29,298.626,301.668,305.586,306.551,301.349,300.15,299.452,300.385,299.704,297.099,294.829
2018,295.351,298.106,302.122,304.457,306.529,302.017,299.603,299.097,300.03,299.514,298.092,294.92
2019,294.312,298.633,302.992,305.677,307.631,304.283,300.326,299.628,299.319,299.051,297.952,295.681
2020,296.599,298.065,301.305,304.425,306.434,301.622,300.064,299.169,299.965,299.37,297.623,295.571
2021,294.987,297.87,301.643,303.654,304.053,300.803,299.788,299.944,299.141,299.713,298.132,295.835
2022,294.987,297.87,302.213,304.866,305.344,302.638,298.626,299.675,299.397,298.499,296.639,296.685
2023,296.286,298.327,299.805,302.49,303.952,303.886,299.276,300.403,299.448,299.752,297.992,295.052
