Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.074,292.759,296.129,304.744,308.388,305.903,301.704,302.326,302.747,300.543,293.6,288.96
1981,288.453,292.324,295.955,303.574,307.348,308.648,301.936,301.473,302.464,299.261,292.74,288.885
1982,287.973,289.491,294.263,300.978,302.708,306.552,304.176,301.105,302.298,300.079,293.645,289.149
1983,286.84,290.204,295.7,299.314,304.635,305.563,303.047,301.176,301.32,298.075,292.134,288.569
1984,286.404,288.948,298.485,303.01,309.609,307.511,302.933,301.506,300.549,299.554,293.455,289.067
1985,287.144,291.467,298.801,303.224,307.708,307.372,302.342,300.962,300.961,296.547,293.157,289.558
1986,287.096,289.438,295.995,302.765,305.022,306.783,302.385,301.483,302.57,299.97,294.717,287.599
1987,288.244,292.417,297.473,303.223,303.425,307.556,306.017,304.03,303.539,300.596,293.818,288.816
1988,288.823,292.361,296.458,304.027,309.305,306.074,302.11,301.023,302.139,299.381,293.654,289.28
1989,286.839,290.429,296.328,301.746,307.372,306.28,303.579,302.651,302.714,300.372,294.255,288.309
1990,289.83,290.208,294.827,302.619,306.366,306.729,302.002,301.449,300.546,299.57,294.634,289.14
1991,288.07,291.751,297.562,301.536,306.811,307.248,304.835,301.35,301.2,298.277,292.713,289.003
1992,288.298,289.462,296.318,302.037,305.87,308.437,302.94,300.942,300.572,298.522,293.393,289.967
1993,288.084,292.426,295.273,302.267,307.651,306.287,302.485,303.251,300.24,299.426,294.095,289.075
1994,288.785,290.339,298.016,300.761,307.162,307.431,301.856,300.837,300.602,298.61,293.839,289.34
1995,286.852,291.096,295.235,302.034,307.281,309.392,303.355,300.291,301.661,299.739,293.552,289.123
1996,287.722,290.937,297.971,302.086,306.079,305.128,302.735,300.324,300.836,298.186,292.646,287.75
1997,286.803,290.822,296.106,300.333,304.01,304.015,303.521,301.173,301.399,295.924,292.641,286.417
1998,287.306,291.069,295.221,303.216,308.288,307.002,302.828,302.233,301.571,298.974,294.143,289.617
1999,286.804,291.702,297.463,304.823,307.772,306.793,304.93,302.395,301.561,299.832,295.544,289.275
2000,288.178,289.606,296.553,304.832,307.098,306.101,302.415,302.458,303.173,301.725,295.429,289.75
2001,287.029,291.784,297.157,302.463,306.492,304.123,301.773,302.306,304.337,299.837,293.997,289.318
2002,287.458,291.034,298.011,304.747,309.394,307.55,307.103,303.34,303.255,301.039,294.565,290.18
2003,286.347,291.305,297.453,304.292,306.764,307.62,302.195,301.466,300.71,298.281,293.169,288.385
2004,286.867,291.551,299.81,305.304,306.89,305.94,304.951,301.259,303.231,298.08,294.477,289.725
2005,287.09,291.029,298.15,302.412,306.557,307.537,302.205,303.472,301.813,299.194,294.469,288.214
2006,288.672,295.53,296.868,304.611,307.943,305.468,303.341,301.706,303.667,300.861,294.79,289.76
2007,288.246,291.77,296.35,305.115,306.843,307.198,303.247,301.809,301.645,299.077,294.9,288.924
2008,287.011,289.572,298.882,302.688,305.047,302.912,302.595,301.371,301.116,300.363,294.139,290.978
2009,289.249,292.902,298.465,304.082,307.473,307.627,303.237,303.337,303.327,300.106,294.118,290.211
2010,287.596,292.428,300.587,306.892,309.635,308.39,303.727,301.448,300.298,299.721,293.506,287.667
2011,286.034,290.906,296.974,301.52,307.249,305.297,302.402,301.395,300.678,298.817,294.78,288.778
2012,286.199,290.195,297.169,302.169,306.776,308.599,304.364,300.634,300.975,298.278,292.61,288.632
2013,286.296,290.64,298.095,302.719,307.998,305.821,302.041,301.056,301.607,298.377,292.003,288.633
2014,286.18,289.217,295.788,302.099,305.411,308.546,304.799,302.461,301.937,300.493,294.612,287.832
2015,286.476,292.967,296.484,302.588,308.011,305.549,302.376,302.658,304.704,301.532,295.075,288.918
2016,289.012,292.146,299.086,305.567,308.448,307.917,302.531,301.227,302.392,300.121,293.82,290.237
2017,287.817,292.13,297.194,305.541,307.528,306.001,303.105,302.145,303.474,301.476,293.675,289.726
2018,288.415,292.809,298.649,303.382,306.887,306.974,303.256,302.15,300.172,298.958,293.738,287.748
2019,287.128,289.914,295.797,303.8,306.155,307.74,303.563,301.745,301.51,298.9,294.7,286.253
2020,286.941,291.283,295.719,302.907,306.322,305.737,304.495,301.874,302.96,299.249,291.989,288.791
2021,285.927,291.1,299.2,303.088,303.629,305.371,303.879,302.128,300.778,299.1,292.692,288.118
2022,285.927,291.1,299.754,306.184,307.936,307.106,302.819,301.495,301.69,298.271,293.903,288.937
2023,286.401,293.812,297.014,301.837,303.762,304.528,302.76,302.612,302.213,300.053,294.05,289.589
