Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.712,297.904,301.746,306.5,307.226,302.201,301.288,299.693,302.126,303.241,300.006,295.273
1981,294.402,298.128,301.102,305.307,306.699,305.173,300.897,299.746,300.331,300.594,296.773,295.242
1982,295.846,296.257,300.271,304.486,305.852,304.685,302.203,300.543,301.714,302.874,298.506,297.153
1983,294.672,296.151,300.917,304.129,307.079,305.178,302.111,300.387,299.92,298.247,294.644,293.31
1984,294.503,295.048,302.29,305.724,307.411,304.13,301.553,299.347,300.315,301.412,296.688,295.389
1985,295.388,296.574,302.745,305.249,307.161,304.62,301.61,299.974,301.787,300.311,297.61,295.771
1986,294.84,297.639,302.569,305.839,306.703,304.255,301.069,299.44,301.664,301.511,297.618,293.837
1987,296.035,296.694,301.309,305.002,305.978,304.579,302.382,300.767,301.986,300.539,297.734,293.756
1988,295.86,298.574,301.674,306.193,307.377,304.511,301.067,300.461,300.342,298.524,295.654,293.391
1989,293.462,296.0,300.257,305.213,306.915,303.06,301.104,299.098,300.242,301.226,299.389,294.629
1990,295.793,296.693,300.111,305.36,305.347,303.651,300.832,299.736,299.462,298.894,297.085,294.433
1991,292.995,296.895,301.896,304.655,307.162,303.457,300.589,299.749,300.802,300.703,296.976,293.427
1992,293.683,295.011,301.246,305.127,306.942,305.128,302.156,299.905,300.049,299.618,296.559,294.184
1993,294.366,295.841,299.786,305.326,307.194,305.209,301.366,300.283,299.75,299.584,296.505,293.03
1994,294.67,295.419,302.327,304.423,307.23,303.333,300.18,299.554,299.496,300.135,296.161,293.063
1995,292.491,296.771,300.724,305.098,306.805,306.341,302.093,301.672,300.78,301.11,297.97,295.978
1996,296.167,298.082,302.831,305.265,306.958,305.255,301.79,299.749,299.914,298.44,294.996,292.887
1997,292.356,294.734,301.167,303.228,305.885,303.486,301.748,300.671,300.585,301.459,300.02,294.491
1998,294.765,296.146,301.168,306.246,308.331,305.385,301.949,301.131,300.452,300.736,297.877,294.086
1999,293.954,297.958,302.102,306.175,305.637,302.706,301.028,299.86,299.758,298.961,296.179,292.81
2000,294.318,295.161,300.038,306.117,304.723,303.471,300.851,301.587,302.382,302.83,297.862,293.312
2001,293.773,296.632,300.67,304.672,306.26,302.812,300.883,299.974,302.182,300.093,297.435,295.01
2002,293.413,297.444,301.407,305.643,306.822,303.69,301.783,299.561,299.71,299.496,295.955,294.867
2003,294.691,297.281,301.125,305.351,306.903,304.167,301.305,300.269,299.477,299.306,297.667,294.327
2004,294.403,296.998,303.139,305.925,306.597,303.878,301.656,299.552,300.934,299.459,298.063,294.606
2005,293.471,296.609,301.637,304.875,306.757,305.168,301.834,300.187,300.313,299.458,295.71,292.964
2006,294.258,298.53,300.304,305.212,307.08,304.004,300.911,299.819,300.571,300.265,297.958,295.527
2007,294.842,297.571,301.53,306.064,306.668,304.305,301.13,300.352,300.509,299.098,296.769,294.745
2008,293.429,294.439,301.64,305.061,305.85,303.709,301.863,300.056,299.823,299.992,297.963,295.787
2009,295.561,297.804,302.018,305.621,306.34,305.382,301.158,301.039,301.864,300.157,297.29,295.842
2010,294.225,297.312,301.845,306.367,308.407,305.013,301.677,300.303,300.738,301.098,299.85,294.319
2011,293.456,297.232,301.402,305.893,306.965,304.498,301.242,300.147,300.186,300.444,297.383,294.292
2012,292.78,296.044,300.326,306.108,306.708,304.935,301.635,300.313,300.291,300.026,296.391,294.992
2013,293.455,297.196,301.105,305.178,307.37,302.327,299.722,299.525,300.431,300.096,297.261,294.314
2014,294.488,295.706,300.077,305.38,307.109,306.343,302.295,300.98,300.441,301.243,298.339,292.838
2015,292.554,296.991,299.898,304.551,308.253,304.056,302.896,301.435,302.268,303.114,299.232,295.346
2016,294.991,298.595,302.93,306.78,307.977,305.698,301.166,300.798,300.652,299.539,295.89,294.178
2017,294.181,298.192,301.973,305.893,308.545,304.72,301.615,301.2,301.523,301.798,298.228,296.466
2018,296.036,299.272,303.876,307.626,308.908,305.308,300.885,300.671,300.772,301.764,298.953,294.059
2019,293.22,297.481,301.94,307.496,307.815,306.223,302.194,300.474,300.364,299.648,298.01,295.044
2020,293.754,297.205,300.397,306.423,308.768,302.675,302.417,300.579,301.262,300.827,297.953,294.559
2021,293.503,296.893,301.471,305.342,306.254,304.024,302.469,301.028,300.479,299.715,298.405,294.547
2022,293.503,296.893,302.639,306.952,307.61,304.87,300.327,300.72,300.733,299.257,296.209,295.829
2023,293.698,296.739,299.539,303.829,306.432,305.516,301.039,300.71,300.657,300.592,297.613,295.091
