Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.697,298.925,302.014,306.184,308.085,300.953,299.823,298.324,300.345,301.934,298.831,294.554
1981,293.443,297.632,300.616,305.57,306.726,303.974,299.913,299.26,298.986,299.185,295.885,294.229
1982,295.807,298.478,301.236,304.965,305.766,303.449,300.463,299.849,300.218,300.174,298.311,296.245
1983,295.293,297.45,301.929,305.474,308.503,304.934,300.703,299.455,298.728,297.915,294.579,293.468
1984,295.261,296.729,302.717,306.162,308.974,303.011,300.181,299.012,299.852,299.855,295.213,295.364
1985,296.288,297.863,302.913,305.946,307.673,303.161,300.497,299.755,302.006,298.237,296.454,295.749
1986,294.643,298.039,303.103,306.472,307.633,302.287,300.083,298.594,300.812,301.15,298.374,295.63
1987,296.059,297.717,301.655,305.686,305.798,303.642,300.705,299.773,301.013,298.647,296.585,293.195
1988,295.149,298.203,301.555,305.04,307.906,303.365,299.628,299.506,299.137,298.159,294.779,293.448
1989,294.901,296.345,299.498,303.891,307.252,301.435,299.673,298.239,299.185,298.583,296.475,293.428
1990,295.184,296.447,299.861,304.789,303.083,300.35,299.428,298.584,299.091,297.806,296.751,294.427
1991,293.964,297.13,301.449,304.287,307.145,301.806,299.171,299.049,300.915,300.258,296.349,293.458
1992,293.726,295.263,300.861,304.381,306.823,304.011,300.889,298.725,299.408,299.062,296.24,293.762
1993,294.948,295.665,299.404,304.308,307.182,303.605,299.679,298.968,298.863,298.76,295.865,291.851
1994,295.137,297.055,302.413,302.995,307.509,301.87,298.955,298.621,298.809,298.594,295.364,292.785
1995,292.21,296.818,300.288,303.797,305.371,304.816,300.236,300.516,299.889,298.825,296.237,295.086
1996,296.464,297.806,301.884,303.98,307.27,304.732,300.376,299.066,299.344,297.711,294.924,293.01
1997,292.942,294.966,300.681,303.081,306.235,303.476,300.814,300.066,300.028,299.447,297.342,295.362
1998,295.773,296.687,300.887,305.847,307.673,304.193,300.871,299.703,299.227,298.824,295.986,292.418
1999,292.855,297.79,301.936,306.614,305.733,301.532,299.745,299.356,298.813,298.076,295.058,292.425
2000,294.567,295.761,299.633,306.052,304.969,301.057,299.615,299.493,299.788,300.563,297.169,293.748
2001,294.97,297.2,300.629,304.08,306.74,301.695,300.179,298.943,300.094,298.222,296.108,293.513
2002,293.22,297.886,300.925,305.215,306.845,302.392,300.592,298.535,299.229,298.906,295.547,294.889
2003,295.091,298.248,301.076,304.841,307.178,303.249,300.084,299.23,299.116,298.952,297.171,293.92
2004,294.49,297.096,302.248,305.56,306.138,303.069,300.628,298.94,299.264,297.656,296.08,293.281
2005,293.996,296.622,299.853,304.041,307.37,304.775,299.963,299.208,299.491,297.944,293.583,292.458
2006,293.201,296.924,298.753,303.933,305.953,302.959,299.815,298.938,299.489,298.931,296.788,294.758
2007,294.774,297.256,301.182,304.418,306.507,302.799,300.733,299.719,299.595,298.567,295.966,295.069
2008,294.323,296.193,301.081,305.305,306.94,303.262,301.544,299.273,298.827,298.598,297.003,295.088
2009,295.796,298.388,301.447,305.258,306.911,304.81,299.92,299.923,300.674,298.61,297.116,295.713
2010,293.85,298.084,302.275,305.915,308.424,304.004,299.641,299.604,299.572,299.18,298.734,294.417
2011,293.56,296.984,301.015,304.338,306.969,303.01,300.256,299.335,299.475,299.235,296.725,294.36
2012,294.592,297.521,300.857,305.585,307.724,304.429,300.596,299.686,299.555,298.555,296.008,295.222
2013,295.371,298.579,302.046,305.84,308.998,300.938,298.724,298.917,299.511,298.887,295.896,293.558
2014,295.363,296.098,298.911,304.165,306.657,305.925,300.947,300.086,299.519,299.756,297.569,294.012
2015,294.534,298.01,300.684,303.463,308.104,303.076,303.011,300.394,300.339,300.513,298.423,296.331
2016,295.137,299.634,303.012,306.938,307.96,304.042,299.596,300.067,299.326,298.945,295.794,294.346
2017,294.497,298.233,301.319,306.42,308.686,302.335,300.865,300.354,300.513,299.657,296.923,295.245
2018,294.884,297.331,301.907,305.394,308.322,302.634,299.59,299.316,300.371,301.388,298.68,294.627
2019,293.876,298.026,302.84,306.859,309.168,305.758,300.869,299.749,299.467,298.974,297.59,295.88
2020,295.482,297.918,300.635,305.267,307.764,301.763,300.531,299.4,300.231,299.896,297.653,295.326
2021,294.104,297.272,301.464,304.375,305.059,301.692,300.475,300.05,299.446,298.963,298.577,295.395
2022,294.104,297.272,302.594,306.893,307.936,303.741,299.083,299.854,299.61,298.492,296.049,296.636
2023,295.319,297.382,299.733,302.964,305.602,305.083,299.852,300.003,299.583,299.877,298.011,294.917
