Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,280.419,283.035,286.375,294.428,299.333,300.315,298.665,298.363,296.382,292.887,286.889,282.745
1981,280.01,283.357,286.887,293.434,298.318,300.318,298.409,298.057,296.32,291.988,285.67,282.164
1982,280.448,281.118,285.087,291.689,294.592,300.574,300.656,298.013,296.031,291.645,286.07,282.148
1983,280.25,281.886,285.501,290.074,295.393,299.129,298.732,298.174,297.18,291.028,285.882,282.081
1984,280.156,279.962,289.28,293.039,300.456,300.923,298.051,297.855,295.274,292.626,286.33,281.948
1985,280.294,283.606,289.782,293.485,297.486,301.264,298.505,298.448,296.508,291.559,286.515,282.765
1986,280.49,283.063,286.163,292.386,295.332,300.183,298.18,297.893,295.762,291.127,286.776,280.827
1987,281.213,283.829,288.173,292.756,293.956,299.806,300.923,298.513,296.5,291.397,286.736,283.281
1988,282.928,284.25,286.985,294.578,299.666,300.281,298.27,297.938,296.443,292.071,286.904,283.065
1989,279.796,282.105,286.972,291.438,296.991,300.54,299.104,297.303,296.38,292.259,286.352,282.546
1990,283.432,283.175,285.839,292.354,299.027,300.891,298.309,297.744,296.361,291.248,286.915,281.856
1991,279.777,283.163,287.54,291.145,296.692,300.105,299.538,297.561,295.886,291.457,286.359,282.925
1992,281.656,282.198,286.342,292.074,295.993,300.451,298.191,297.776,295.254,292.202,286.873,283.514
1993,278.811,284.622,285.517,293.72,299.104,301.016,297.997,298.937,295.9,291.967,286.722,283.068
1994,282.017,282.38,289.282,290.808,297.353,300.646,298.504,297.964,295.895,292.077,287.395,282.416
1995,278.591,282.445,286.954,291.329,298.215,302.001,298.394,297.768,296.809,292.821,286.69,282.0
1996,280.157,283.826,288.677,293.219,296.499,298.96,298.646,297.572,296.44,291.529,286.701,282.618
1997,279.951,282.189,287.337,291.376,294.959,298.873,299.031,297.537,296.593,290.414,285.598,281.329
1998,280.986,283.185,286.692,293.982,298.809,301.723,299.176,298.496,296.729,292.296,287.525,283.012
1999,281.099,285.454,288.454,296.466,299.155,299.999,298.754,298.196,296.424,291.828,286.982,282.486
2000,281.209,281.221,286.858,295.648,301.207,300.539,298.29,297.926,295.882,293.02,287.679,283.544
2001,280.453,284.233,288.522,293.338,299.586,298.961,298.619,298.769,296.522,293.226,287.232,283.371
2002,281.151,283.126,289.346,294.674,300.521,300.696,300.756,298.311,295.128,292.289,287.713,283.709
2003,280.843,283.758,288.191,293.956,296.701,301.435,298.785,298.269,296.167,291.839,285.968,282.852
2004,281.488,284.359,292.295,295.392,298.982,299.042,298.792,297.618,296.233,290.443,286.571,283.578
2005,280.287,281.53,288.66,293.486,296.532,301.746,298.379,298.003,296.288,292.331,286.643,281.839
2006,281.875,287.536,288.288,293.394,299.754,299.771,298.651,297.975,295.993,292.945,287.319,282.498
2007,281.389,283.747,287.682,297.185,299.396,300.592,298.946,298.378,296.083,292.012,286.937,282.419
2008,280.034,282.402,291.165,293.436,298.028,298.614,298.57,297.736,295.913,292.949,287.54,284.473
2009,283.093,285.257,289.365,293.959,298.522,301.006,300.115,298.216,296.532,292.769,286.219,283.309
2010,281.975,284.592,291.929,297.134,298.899,299.631,299.548,298.622,296.675,292.881,287.881,282.411
2011,280.693,283.806,289.212,292.26,300.032,299.436,298.365,298.014,296.68,292.497,288.706,282.848
2012,279.602,282.552,288.236,293.042,298.526,302.084,299.608,298.149,296.807,291.908,286.869,282.441
2013,280.728,283.466,289.63,293.992,299.438,299.903,299.117,298.052,296.556,293.207,286.456,282.502
2014,280.662,282.866,286.977,292.32,296.654,301.677,299.084,298.309,296.023,292.462,286.938,281.547
2015,281.605,284.499,287.295,293.094,298.878,299.029,299.048,298.605,296.62,292.192,287.423,282.838
2016,282.247,285.339,289.245,294.205,299.516,301.068,299.225,298.243,297.259,293.677,288.015,284.553
2017,281.222,285.905,288.512,294.625,298.434,298.921,299.154,298.8,297.201,294.189,286.345,283.605
2018,282.189,285.432,290.313,294.279,298.744,299.916,298.988,298.808,296.36,292.046,286.701,281.68
2019,280.757,282.856,287.311,295.103,298.028,301.635,299.203,298.724,297.223,292.254,287.225,280.875
2020,280.617,284.785,287.456,292.78,297.377,299.212,299.788,298.88,298.024,293.169,286.452,282.67
2021,281.706,284.028,290.073,292.527,296.715,300.234,299.729,298.778,297.305,292.934,286.61,282.477
2022,281.706,284.028,293.059,298.727,300.215,301.218,299.014,298.997,296.988,292.753,287.129,282.95
2023,281.362,286.749,289.758,293.023,295.366,299.011,298.909,299.431,297.827,292.59,288.035,283.724
