Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.659,291.533,295.219,304.153,306.478,304.602,301.717,301.525,300.735,297.446,292.776,288.491
1981,287.377,291.029,294.633,301.098,304.099,305.365,301.442,302.246,301.232,296.746,291.779,287.455
1982,287.932,288.995,293.203,300.76,302.893,304.566,303.867,301.785,300.783,297.719,292.842,288.78
1983,286.455,289.155,295.362,299.166,303.45,306.489,303.064,301.912,300.963,297.319,291.802,288.222
1984,286.49,288.72,297.596,302.682,307.29,303.605,301.689,302.09,300.096,297.423,292.104,289.696
1985,287.837,291.717,299.151,303.761,306.357,306.506,301.653,301.632,300.252,296.125,292.132,289.767
1986,287.235,290.539,297.161,302.318,303.307,305.148,302.02,302.549,300.703,297.117,293.413,287.841
1987,287.924,291.637,297.358,302.469,303.173,308.359,305.148,303.233,301.722,298.553,292.9,288.678
1988,288.797,291.955,296.913,304.318,306.84,305.006,301.803,301.539,301.937,298.504,293.611,289.204
1989,286.431,290.343,296.627,301.908,306.094,304.601,302.618,301.586,301.119,297.522,292.567,287.352
1990,288.832,290.177,294.32,302.569,303.29,306.303,301.74,302.056,300.868,297.287,293.189,288.618
1991,286.964,291.815,295.017,301.848,307.061,304.974,304.046,301.663,300.605,296.77,291.504,288.271
1992,287.355,288.477,296.162,302.529,304.602,306.165,302.746,301.901,300.984,296.985,293.02,288.756
1993,287.686,292.155,294.009,301.277,305.071,304.746,302.903,302.54,300.258,297.785,293.728,289.337
1994,288.682,290.159,298.081,301.232,306.673,306.62,302.549,301.796,301.229,298.129,293.182,289.44
1995,287.009,290.447,295.755,302.485,307.221,306.525,302.22,301.237,301.069,298.661,293.112,289.131
1996,287.374,290.209,296.552,302.008,306.087,303.58,302.099,301.044,300.822,298.026,292.74,287.645
1997,286.598,290.531,295.931,299.3,303.58,304.509,302.525,301.992,300.796,296.375,292.645,286.39
1998,286.408,290.296,293.188,300.302,304.188,305.482,302.465,301.334,301.674,298.738,293.42,288.19
1999,286.517,291.27,297.581,304.696,305.293,304.641,302.258,301.96,300.69,297.441,292.65,288.017
2000,287.334,288.567,295.252,302.787,304.756,302.344,301.66,301.7,300.632,298.741,293.816,288.414
2001,286.443,291.169,295.684,301.685,303.662,302.545,302.631,302.447,301.526,298.829,293.13,288.312
2002,287.146,290.144,295.817,302.003,303.646,304.29,304.443,301.85,299.706,297.734,292.916,288.924
2003,284.494,290.207,295.186,302.652,304.822,304.921,302.092,302.171,300.21,297.667,292.79,288.493
2004,286.43,291.268,298.625,303.005,305.296,303.518,302.554,302.28,301.313,296.652,292.418,289.033
2005,287.598,290.681,297.281,302.668,305.29,307.31,302.041,302.833,301.388,298.204,292.467,287.915
2006,288.741,294.922,296.36,302.38,304.098,303.265,302.743,302.628,301.647,298.632,293.583,289.176
2007,287.735,290.549,294.668,303.201,304.22,304.616,302.423,302.341,301.499,297.643,293.13,288.544
2008,287.29,289.581,297.468,302.006,303.512,301.979,301.703,301.58,301.288,298.312,293.292,290.057
2009,289.157,292.099,296.875,303.641,304.713,306.808,303.817,302.443,301.337,296.519,292.719,288.51
2010,286.23,291.484,298.962,304.986,305.381,306.072,302.421,301.792,300.271,299.346,294.268,288.563
2011,285.72,290.878,296.775,301.637,304.422,303.25,301.918,301.901,301.633,298.842,293.633,288.446
2012,286.83,291.191,296.699,302.405,306.382,308.507,302.76,301.534,301.418,297.733,292.285,288.191
2013,285.515,290.364,296.445,302.77,306.625,302.776,302.008,301.773,301.814,298.541,292.109,288.652
2014,286.777,289.541,295.532,301.972,305.355,307.04,302.762,303.105,301.525,298.028,292.88,286.705
2015,286.249,291.7,294.76,299.684,305.169,305.283,302.688,302.318,302.393,299.005,294.384,288.854
2016,287.864,292.253,297.674,304.264,304.346,304.402,301.951,302.749,302.16,299.133,293.603,289.102
2017,288.007,291.892,296.258,303.42,304.893,304.767,302.449,302.384,302.205,299.122,292.769,288.909
2018,286.294,291.583,297.628,301.988,304.494,305.324,302.887,301.831,301.373,298.1,293.23,287.527
2019,287.24,289.707,295.168,302.587,305.592,306.35,302.865,302.778,301.543,298.224,293.883,286.191
2020,286.742,289.672,294.344,299.94,302.397,303.448,302.601,302.597,302.749,298.159,291.946,287.405
2021,286.204,289.114,297.503,301.871,301.934,303.063,303.104,302.499,301.938,298.897,292.229,288.385
2022,286.204,289.114,297.631,303.425,304.334,305.776,303.614,303.173,301.537,297.591,293.446,288.362
2023,286.257,292.095,296.09,299.99,302.171,305.18,302.631,302.702,302.253,298.465,293.558,288.872
