Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,285.753,289.888,293.217,302.639,306.935,305.813,302.456,302.513,301.466,298.092,292.198,287.023
1981,286.023,289.564,293.43,301.691,305.615,307.081,302.454,302.723,302.226,297.427,291.074,286.334
1982,286.01,286.966,290.876,298.476,301.7,306.287,304.719,301.842,301.175,297.456,291.852,287.364
1983,284.875,287.384,292.661,296.875,301.69,304.358,302.854,301.906,301.568,296.991,290.827,286.817
1984,284.587,287.054,296.212,301.193,307.626,306.784,302.435,302.133,299.659,296.466,291.424,287.594
1985,286.167,290.186,296.493,301.13,306.314,306.42,302.544,302.478,301.522,297.086,292.062,288.276
1986,285.182,288.043,294.441,300.746,302.19,305.603,302.372,302.415,300.717,296.726,292.729,285.722
1987,286.065,289.809,294.602,301.572,301.153,306.911,306.64,304.222,303.234,298.678,291.785,286.967
1988,287.174,289.904,294.118,302.775,307.645,306.062,302.108,301.779,301.221,296.842,291.676,287.38
1989,284.509,287.672,293.943,299.656,305.36,305.159,303.573,301.704,301.431,297.731,291.77,285.969
1990,287.617,288.843,292.39,301.055,305.132,306.958,302.567,302.041,300.769,296.488,292.152,286.999
1991,285.038,289.208,293.507,299.379,305.77,305.515,305.155,302.589,301.798,296.869,291.138,286.905
1992,286.125,287.309,293.859,300.928,304.479,306.769,302.865,301.924,300.777,297.733,292.029,287.924
1993,285.68,290.45,292.65,301.029,306.399,306.68,302.94,304.601,300.5,297.555,292.786,287.376
1994,286.766,288.903,296.495,299.818,305.912,306.694,302.584,301.986,300.465,296.403,291.761,287.598
1995,285.362,288.396,293.036,299.987,306.756,307.699,303.689,301.084,301.262,298.618,292.302,287.668
1996,285.78,288.914,294.762,301.504,304.932,304.25,303.607,301.576,300.787,297.274,291.402,286.289
1997,284.672,288.859,294.042,298.945,303.061,304.359,303.552,301.689,301.815,295.775,291.434,285.243
1998,285.379,289.433,292.506,301.035,306.618,305.615,303.279,302.436,301.692,297.263,292.016,286.143
1999,285.12,289.305,295.321,303.472,305.002,305.036,303.729,302.94,301.512,298.389,293.081,286.582
2000,285.781,286.87,294.1,302.902,306.299,304.168,302.664,303.003,302.124,299.319,293.14,287.375
2001,284.609,289.546,294.36,300.474,305.137,303.424,302.943,302.935,301.596,299.013,292.462,287.41
2002,285.532,288.632,294.973,302.198,306.357,306.259,306.898,303.035,299.364,297.457,292.326,287.957
2003,283.445,289.148,294.225,302.162,305.281,307.068,302.643,302.228,300.823,297.009,291.263,287.213
2004,285.617,289.822,297.367,302.414,305.322,304.255,304.49,302.148,302.12,296.303,292.672,288.145
2005,285.858,288.396,294.91,301.475,305.403,307.439,302.619,302.99,301.087,297.823,292.264,286.175
2006,286.77,293.668,294.71,303.117,306.197,305.289,303.804,303.225,301.616,299.122,293.458,287.59
2007,286.246,289.297,293.692,303.888,305.457,306.084,304.114,303.649,302.729,298.975,293.079,287.128
2008,285.347,288.601,297.884,302.122,304.551,303.237,303.062,301.889,300.696,298.912,292.69,288.808
2009,287.249,290.659,295.574,301.957,305.11,307.636,303.955,302.99,301.108,297.817,291.95,287.649
2010,284.809,290.588,298.304,305.618,307.112,305.564,302.872,302.206,300.251,298.299,292.869,286.474
2011,284.259,289.177,294.771,299.6,305.284,304.082,302.91,302.151,301.18,298.124,293.602,287.089
2012,285.055,288.181,294.492,300.333,306.019,308.197,304.364,301.737,301.147,296.74,291.358,286.492
2013,283.99,288.517,294.314,300.344,305.877,305.118,303.302,301.843,301.511,298.603,291.491,287.16
2014,285.447,287.438,292.95,300.089,304.521,307.478,304.383,304.603,302.089,298.725,292.794,285.914
2015,284.798,290.1,293.123,299.328,305.216,305.318,302.731,302.427,301.659,299.042,293.081,287.555
2016,286.026,289.931,295.325,303.035,305.663,306.093,303.25,302.757,303.673,300.343,293.747,288.874
2017,286.608,290.653,295.766,303.361,306.25,305.206,304.158,303.399,302.445,300.38,292.177,287.995
2018,286.107,290.131,296.409,302.216,305.924,306.109,303.525,302.9,300.862,297.095,292.404,286.359
2019,285.775,288.065,292.807,301.048,304.553,307.184,303.58,303.054,302.477,298.681,293.161,285.068
2020,285.183,289.002,293.268,300.208,304.105,305.122,303.64,303.075,303.698,298.302,291.006,286.492
2021,285.483,288.725,296.569,300.967,303.412,304.977,304.071,303.064,301.655,298.319,291.37,286.741
2022,285.483,288.725,297.584,304.368,305.479,306.249,303.485,303.39,301.865,297.826,292.903,287.271
2023,284.997,291.763,295.125,300.159,302.262,304.69,302.963,303.716,302.499,297.719,292.724,287.216
