Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.025,291.355,294.52,303.916,307.515,305.455,301.956,302.256,300.993,298.272,292.948,288.419
1981,287.252,290.849,294.676,302.395,305.242,306.632,302.054,302.811,302.277,297.261,291.981,287.485
1982,287.561,288.288,292.49,300.195,302.672,305.865,304.629,301.816,301.654,298.723,293.207,288.437
1983,285.987,288.755,294.532,298.56,303.487,305.852,303.143,301.957,301.408,297.477,291.499,287.847
1984,285.912,288.007,297.087,302.029,308.027,306.23,302.269,302.066,300.215,296.896,291.701,288.598
1985,287.052,290.252,297.501,302.62,306.237,306.827,302.163,302.103,300.604,296.133,292.095,289.243
1986,286.516,289.035,295.472,301.685,303.602,306.107,302.311,302.883,301.933,298.136,293.803,287.193
1987,287.592,291.215,296.165,302.5,302.933,308.029,306.876,304.542,303.484,299.793,293.054,288.43
1988,288.739,291.375,295.848,303.62,307.762,305.679,302.03,301.816,302.172,298.145,292.955,288.715
1989,286.435,289.8,295.609,301.098,306.325,305.198,303.583,301.985,301.336,298.282,292.723,287.102
1990,289.096,289.792,293.864,302.119,304.892,307.194,302.274,302.207,301.017,297.064,292.48,287.989
1991,286.636,290.62,294.63,301.194,306.568,306.156,305.38,302.09,301.222,297.178,291.83,288.106
1992,287.701,288.874,295.93,302.424,305.403,307.503,303.147,301.958,300.983,297.95,293.291,289.336
1993,287.6,291.895,294.4,302.527,306.541,306.328,302.807,303.64,300.34,297.381,293.163,288.327
1994,288.113,289.995,297.708,300.665,306.634,307.31,303.002,301.972,301.719,298.399,293.141,289.184
1995,286.729,290.23,295.216,302.444,307.596,308.376,303.738,301.217,301.589,298.884,292.728,288.887
1996,287.171,290.16,296.26,301.976,305.444,304.334,302.663,301.085,301.031,298.037,291.984,287.159
1997,285.942,289.87,295.171,299.98,304.104,304.74,303.197,301.962,301.491,295.9,291.477,286.103
1998,286.084,289.933,293.147,301.425,306.186,306.17,303.099,301.904,301.764,298.404,292.904,287.758
1999,285.759,290.395,296.581,303.903,306.159,306.114,303.641,302.776,300.944,297.576,292.88,287.648
2000,286.938,288.137,294.975,302.523,306.195,303.777,302.165,302.301,301.476,299.102,293.612,288.039
2001,285.953,290.538,295.522,301.619,304.894,303.449,302.986,303.078,302.942,299.294,292.972,288.431
2002,286.931,289.86,296.917,303.635,306.722,306.188,307.541,302.707,299.821,298.214,292.998,288.82
2003,284.482,290.107,295.412,303.027,305.492,306.773,302.451,302.466,300.448,297.394,292.06,287.86
2004,286.17,291.018,298.68,303.396,305.867,304.804,304.89,302.523,302.278,297.498,293.69,289.246
2005,287.276,290.085,296.898,302.5,305.989,307.548,302.548,303.646,301.794,298.353,293.145,287.667
2006,288.317,295.086,296.147,303.546,305.801,304.254,303.3,302.952,302.051,299.238,293.89,288.81
2007,287.409,290.526,294.594,303.289,304.939,305.651,303.68,302.682,301.706,297.68,293.204,288.077
2008,286.724,289.181,297.634,302.838,304.018,302.666,302.669,301.885,301.454,299.25,293.258,289.861
2009,288.643,291.57,296.488,302.678,305.182,307.625,304.912,304.121,301.882,298.571,293.499,289.096
2010,286.168,291.512,298.859,306.15,307.114,307.568,303.173,302.112,300.349,299.193,293.76,287.901
2011,285.901,290.724,296.419,301.041,305.352,304.418,302.369,302.135,301.688,298.846,294.172,288.173
2012,286.469,290.349,296.183,301.665,306.442,309.045,303.688,301.575,301.532,297.666,292.08,287.791
2013,285.419,289.859,296.322,302.856,307.309,304.159,302.5,301.886,302.07,298.66,291.831,288.439
2014,286.34,288.981,294.67,301.415,304.493,307.698,304.15,303.646,301.894,298.682,292.913,286.82
2015,285.853,291.708,294.465,300.371,305.739,305.369,302.966,302.697,302.532,299.415,294.394,288.698
2016,287.86,291.458,296.821,303.455,304.936,305.472,302.81,302.749,302.667,299.248,293.429,289.046
2017,287.557,291.218,295.955,303.377,305.506,305.228,303.201,302.79,302.056,298.657,292.294,288.351
2018,286.343,291.038,297.28,302.433,305.295,306.269,303.615,302.648,301.139,297.897,292.986,287.108
2019,286.826,289.243,294.467,302.687,305.553,307.08,303.588,303.018,302.108,298.308,293.587,285.748
2020,286.297,289.576,294.165,300.577,303.463,304.833,303.601,302.776,303.194,297.79,291.198,287.242
2021,285.907,289.366,297.11,301.73,302.338,304.529,304.299,303.136,301.917,298.856,292.069,287.866
2022,285.907,289.366,297.879,303.591,304.692,306.016,304.13,303.562,302.649,297.949,293.215,287.966
2023,285.872,292.542,296.073,300.837,303.19,305.063,302.977,303.444,302.485,298.359,293.406,288.712
