Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,284.12,285.761,288.742,292.826,292.667,294.94,295.18,294.92,294.266,290.727,288.116,285.675
1981,283.668,286.079,287.696,290.27,292.767,294.894,294.946,295.006,293.97,292.142,288.631,285.426
1982,285.042,284.872,288.58,290.365,293.997,294.652,295.055,294.72,294.043,291.403,287.432,284.251
1983,282.664,284.157,288.114,290.379,292.864,295.163,295.451,294.77,294.094,292.548,287.679,284.384
1984,283.757,286.864,289.891,292.672,292.679,294.708,294.531,294.916,293.2,292.064,287.725,285.176
1985,284.454,284.967,290.034,291.569,293.153,294.758,294.04,295.017,293.828,291.897,287.775,285.755
1986,284.983,286.123,288.896,291.048,293.287,295.668,294.538,294.778,293.228,290.97,288.192,285.124
1987,284.936,286.657,287.852,292.018,293.901,295.226,295.017,294.567,294.078,291.961,289.283,285.941
1988,285.209,287.332,289.27,292.527,293.521,295.021,294.663,294.404,294.064,292.358,288.318,286.145
1989,283.466,285.881,289.13,292.623,294.444,295.142,294.308,294.756,294.181,292.136,287.341,284.286
1990,285.678,285.712,287.165,290.342,293.667,294.93,295.018,295.369,293.868,291.65,289.255,285.729
1991,283.726,286.833,289.847,291.645,292.85,295.097,295.392,295.059,294.39,292.432,287.521,284.349
1992,283.851,283.927,289.945,292.25,293.262,295.359,294.275,295.329,294.123,291.229,287.779,283.564
1993,283.569,286.04,288.329,290.624,292.715,294.551,295.249,294.759,293.904,292.709,288.365,286.157
1994,285.762,285.559,289.2,292.423,294.812,295.126,295.309,295.249,294.907,291.555,287.362,284.242
1995,284.028,285.228,289.362,291.752,294.838,295.138,294.964,295.086,294.073,292.696,289.308,285.287
1996,284.567,286.945,290.081,292.262,294.114,295.074,294.839,294.712,294.416,292.174,289.068,286.053
1997,283.512,284.304,289.331,289.349,293.061,294.476,295.15,294.869,293.554,291.148,288.411,285.384
1998,284.062,286.347,288.199,291.422,293.964,295.383,295.113,295.162,294.895,293.722,290.102,286.346
1999,285.157,289.428,290.637,294.128,294.037,295.264,295.014,294.68,294.426,292.621,288.909,285.095
2000,283.836,284.94,287.858,291.701,293.447,295.019,295.203,294.786,293.826,292.2,288.185,285.111
2001,284.351,286.903,289.465,292.492,293.435,294.564,295.232,295.453,294.671,292.421,288.655,284.978
2002,284.194,287.233,289.348,291.104,293.003,295.009,295.043,294.754,293.858,291.994,288.85,285.656
2003,284.789,286.724,288.434,292.218,293.883,294.562,295.246,295.495,294.507,292.736,288.501,285.311
2004,284.209,286.271,290.988,290.312,293.619,294.546,294.226,295.417,293.694,291.211,287.573,285.078
2005,284.586,287.245,289.135,292.156,292.493,295.447,295.48,295.247,294.597,292.11,288.501,285.46
2006,285.094,288.295,290.3,291.396,293.375,294.89,295.604,295.505,294.317,292.036,287.866,285.385
2007,284.356,285.211,289.319,291.681,294.326,294.961,295.321,295.51,294.28,292.317,288.691,285.376
2008,284.675,285.097,288.862,292.372,294.446,294.944,295.306,294.949,294.856,292.066,288.19,286.355
2009,285.862,288.087,289.41,292.434,293.955,295.625,296.039,295.339,295.096,293.058,289.182,285.637
2010,285.301,286.574,290.732,292.759,294.198,295.011,295.599,295.71,294.798,292.82,289.139,285.356
2011,283.665,287.035,289.587,291.608,293.821,295.223,295.326,295.024,295.272,292.655,287.907,285.618
2012,284.172,286.63,289.384,291.337,294.987,295.214,295.635,295.71,294.37,292.08,288.164,285.062
2013,284.353,288.47,290.515,291.86,293.573,296.036,295.551,295.4,294.64,292.023,288.675,284.802
2014,285.459,286.606,289.801,292.703,293.816,295.697,295.738,295.289,294.757,292.46,289.788,286.799
2015,285.886,287.081,290.566,291.49,294.114,295.43,295.019,295.355,295.302,292.622,288.919,285.307
2016,284.289,287.949,290.653,293.057,293.309,295.595,295.129,296.13,295.331,293.691,289.255,286.848
2017,285.634,288.228,289.145,291.91,293.719,295.46,295.742,295.8,295.476,293.368,289.57,286.835
2018,285.3,287.424,289.897,291.291,292.769,295.527,296.15,295.982,295.291,292.016,288.746,285.967
2019,284.992,287.291,289.844,292.379,294.497,295.932,295.703,296.409,294.891,293.012,290.114,285.156
2020,284.623,286.547,289.385,290.718,293.238,295.198,295.568,296.112,295.504,294.384,289.782,286.08
2021,284.665,285.18,290.62,292.986,293.444,295.52,296.016,295.634,295.399,294.116,289.448,286.255
2022,284.665,285.18,292.053,293.007,293.596,294.958,296.442,296.253,295.449,293.021,289.598,286.751
2023,286.013,288.521,290.061,293.132,294.298,295.497,296.09,295.775,296.01,293.111,289.492,286.876
