Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.683,295.572,299.826,303.744,303.98,301.803,301.577,301.691,301.554,299.848,296.389,293.39
1981,292.141,294.908,298.102,300.654,301.33,302.156,301.241,301.793,301.345,300.398,296.152,291.969
1982,293.344,294.995,298.281,301.955,303.924,302.349,302.517,301.293,301.961,300.903,296.451,292.765
1983,292.35,294.466,299.929,302.455,302.848,303.305,302.23,301.486,301.437,299.927,297.013,292.273
1984,292.158,294.259,300.221,302.728,303.189,301.3,301.334,301.388,301.305,300.611,295.996,293.051
1985,293.3,295.236,301.454,303.378,302.198,302.36,301.02,301.601,300.994,299.811,296.349,293.827
1986,292.092,295.969,300.825,302.703,302.553,302.902,301.538,302.135,300.842,299.4,297.087,293.605
1987,292.061,295.979,300.124,302.336,303.185,303.699,301.664,301.88,301.984,300.776,297.054,293.402
1988,292.504,295.84,300.067,302.703,302.975,301.861,301.8,301.697,301.73,300.444,297.271,293.784
1989,290.837,295.578,299.716,303.27,303.274,302.157,301.624,301.569,301.211,300.222,296.624,292.594
1990,292.631,296.019,297.394,301.209,302.386,302.249,301.207,301.884,301.199,299.244,297.109,292.907
1991,291.576,296.903,300.687,302.643,303.494,302.406,302.009,301.794,301.523,299.982,295.715,292.417
1992,291.648,294.52,300.621,303.646,302.116,302.574,301.623,301.602,301.367,300.093,296.83,292.104
1993,291.987,296.016,298.814,301.919,302.682,302.205,302.095,301.449,300.793,300.356,296.742,292.995
1994,292.791,294.731,300.999,302.148,303.181,302.038,301.693,301.622,301.526,300.229,296.917,292.561
1995,291.181,295.224,299.866,304.014,303.391,302.511,301.712,301.799,301.26,300.19,296.37,292.763
1996,292.597,295.383,301.184,302.422,303.893,302.142,302.146,301.068,302.072,300.012,296.258,292.141
1997,291.188,294.472,300.114,299.515,302.969,302.982,301.851,301.718,301.319,300.107,297.856,292.147
1998,290.74,295.38,297.916,301.482,303.219,303.896,302.295,301.996,301.585,301.267,298.012,292.963
1999,291.515,296.46,301.012,303.458,302.444,302.288,301.756,301.557,300.926,300.4,296.779,293.754
2000,292.32,294.231,299.981,302.457,302.9,302.406,301.757,302.085,301.286,300.627,297.31,292.224
2001,290.64,295.522,299.658,302.566,302.609,301.24,301.646,302.015,301.743,300.454,297.659,292.453
2002,292.749,295.407,300.28,302.071,303.646,302.319,303.012,301.631,301.313,300.304,296.6,293.227
2003,290.006,296.142,298.783,302.869,304.44,302.958,302.143,302.2,301.679,300.499,296.646,292.657
2004,291.608,295.342,300.535,302.417,304.722,302.714,302.076,301.767,301.071,299.853,296.752,294.229
2005,292.346,296.89,300.416,302.81,303.657,304.556,301.72,302.261,301.847,300.034,295.95,292.993
2006,292.123,297.987,300.616,302.908,302.545,302.646,302.04,301.563,301.565,300.904,297.331,293.476
2007,291.739,295.461,299.125,302.451,303.96,303.147,301.831,302.081,301.544,300.434,296.925,292.491
2008,292.337,293.755,300.308,302.401,303.416,301.84,301.617,301.834,301.45,300.234,296.981,294.17
2009,293.845,296.855,300.778,304.246,303.094,304.238,302.02,302.009,301.946,300.097,297.592,293.141
2010,290.971,296.504,302.382,304.324,303.918,303.392,302.491,302.487,301.884,301.049,298.783,293.048
2011,291.794,296.013,300.335,301.971,303.192,302.658,302.305,301.464,301.424,301.19,297.147,292.673
2012,291.942,295.425,300.812,303.003,304.524,304.367,302.203,302.169,301.987,299.99,296.143,291.751
2013,290.931,295.093,300.677,303.051,303.207,302.881,302.34,301.958,301.718,299.894,296.409,293.076
2014,291.156,294.483,300.11,304.492,304.486,303.22,302.281,302.215,302.06,300.505,296.784,292.164
2015,291.812,296.102,299.959,301.656,304.358,303.127,301.653,302.668,302.698,301.292,298.122,294.047
2016,292.401,297.845,301.166,304.948,303.509,303.423,302.105,302.165,302.164,301.191,296.671,293.596
2017,292.309,296.542,299.432,302.893,304.112,303.493,301.994,302.538,302.744,301.03,296.605,293.495
2018,290.78,296.965,301.014,301.855,302.682,303.255,302.404,302.528,302.569,300.737,297.408,292.49
2019,292.267,296.02,299.432,302.644,304.237,303.926,303.102,302.462,301.854,300.619,297.43,292.568
2020,291.576,294.166,299.485,301.796,302.426,302.892,303.109,302.603,302.831,301.788,297.344,292.655
2021,291.72,294.274,301.434,303.219,303.301,302.5,302.606,302.517,301.698,301.518,297.024,293.038
2022,291.72,294.274,300.793,303.46,303.124,303.399,302.831,302.446,302.34,300.718,296.791,293.702
2023,292.731,296.771,299.758,303.228,303.641,304.239,303.211,302.624,302.383,301.408,298.062,293.71
