Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.866,295.214,299.524,304.934,307.984,302.055,299.481,298.986,299.518,298.393,295.104,291.903
1981,290.721,295.019,298.274,303.756,305.707,303.718,299.198,299.526,299.39,297.51,293.369,290.592
1982,292.924,293.573,297.279,303.25,304.84,303.564,301.289,298.701,299.955,298.397,294.346,292.228
1983,291.264,293.323,299.403,302.845,304.801,304.161,300.244,300.188,299.359,297.087,292.591,290.612
1984,291.361,292.345,299.395,303.682,307.968,302.052,299.312,298.582,299.096,298.546,292.734,291.129
1985,291.564,292.914,300.729,304.542,306.019,303.368,298.762,299.095,299.313,296.85,293.499,291.989
1986,290.967,294.084,299.306,304.003,304.569,302.896,299.358,299.462,299.654,297.381,294.637,291.271
1987,290.262,293.79,298.282,303.897,304.55,305.142,300.031,300.083,299.648,298.026,293.863,290.23
1988,291.68,295.035,298.965,303.681,307.348,303.613,299.6,299.826,300.006,297.081,293.908,291.555
1989,290.247,294.849,298.55,304.418,307.336,302.142,299.958,299.51,299.525,297.788,295.1,291.02
1990,292.863,294.478,297.642,303.711,302.96,301.647,298.656,299.804,298.788,297.361,294.341,291.186
1991,290.482,296.356,299.443,303.078,307.404,302.437,300.204,299.077,299.964,297.277,293.763,290.948
1992,290.988,293.882,300.916,304.525,305.534,304.412,300.565,299.405,299.305,298.245,294.799,290.389
1993,292.047,294.495,298.521,303.745,307.313,303.242,300.612,299.714,298.775,298.346,294.12,290.056
1994,292.146,294.218,300.837,302.712,307.14,301.759,299.256,299.007,299.153,298.008,294.321,290.793
1995,289.88,294.849,298.22,303.85,305.496,305.66,300.075,299.596,299.739,298.271,293.808,292.258
1996,291.999,294.506,300.399,303.316,307.122,303.716,299.931,299.046,300.092,297.965,294.228,289.832
1997,289.959,293.794,300.214,301.644,305.444,303.013,299.613,299.513,299.417,297.215,295.626,291.579
1998,290.879,293.815,296.649,302.976,306.641,304.695,300.289,299.936,299.94,299.447,294.754,290.178
1999,290.353,296.672,300.965,306.03,305.875,302.092,299.827,299.274,299.223,298.434,294.304,290.953
2000,291.328,293.206,299.09,305.793,305.533,301.588,299.71,300.178,299.3,299.313,295.206,290.576
2001,291.037,295.839,298.928,303.078,306.158,300.084,299.226,300.244,300.614,298.437,295.843,291.453
2002,291.458,294.808,299.534,304.737,307.14,302.659,301.426,299.026,299.305,298.58,294.545,293.049
2003,291.132,295.25,298.695,304.966,307.182,304.667,300.172,299.72,298.97,297.827,294.164,290.879
2004,291.205,294.687,301.435,303.992,305.949,302.102,300.148,299.362,300.45,297.176,293.83,291.41
2005,291.69,295.419,300.533,303.539,306.43,306.148,299.834,299.917,299.767,298.036,293.079,290.657
2006,291.922,296.858,298.272,304.058,304.631,303.66,299.292,299.073,299.895,298.872,295.519,292.517
2007,291.909,294.18,298.369,304.201,305.623,303.567,299.893,299.591,299.54,297.901,293.655,292.01
2008,292.163,292.917,300.091,303.985,306.446,300.823,299.89,299.951,299.872,298.148,294.928,292.465
2009,293.829,297.234,300.893,305.444,306.987,306.021,300.082,300.363,300.696,297.261,294.208,291.975
2010,289.963,295.475,302.892,307.39,306.963,305.287,300.407,300.149,299.925,298.348,296.463,291.284
2011,290.939,295.415,301.361,302.082,306.391,301.93,300.287,299.352,299.118,298.27,294.883,291.292
2012,290.625,294.4,300.158,304.987,308.009,305.509,299.543,299.296,299.801,297.658,293.539,291.509
2013,291.328,294.519,299.618,303.301,308.045,301.829,299.902,299.226,299.906,297.588,293.732,291.644
2014,292.181,294.178,298.975,304.294,305.183,304.986,300.6,300.107,299.683,298.174,293.911,290.723
2015,290.692,295.387,298.561,301.998,306.364,303.09,300.513,300.611,300.97,299.208,296.232,292.36
2016,292.057,297.038,300.838,306.789,306.159,304.362,299.99,299.866,300.103,298.08,293.794,291.317
2017,292.1,295.853,300.342,306.725,307.905,304.163,300.045,300.655,300.865,299.763,294.915,292.134
2018,290.862,295.477,300.665,303.904,305.752,303.095,300.31,300.003,300.11,298.991,295.342,290.346
2019,290.513,294.621,298.604,304.343,307.065,305.1,300.682,299.934,299.784,298.424,295.452,291.275
2020,290.562,292.268,297.045,301.646,304.449,301.224,301.031,300.177,301.088,299.476,295.03,291.715
2021,290.745,293.981,300.307,303.877,302.989,301.25,300.579,300.487,300.173,299.383,295.268,291.989
2022,290.745,293.981,300.606,306.417,305.758,304.173,300.698,300.22,300.217,298.101,293.625,292.655
2023,292.798,295.843,298.616,301.964,304.52,305.839,301.67,300.536,300.682,298.738,295.636,291.911
