Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.165,293.4,297.783,305.711,309.269,306.811,302.172,302.029,303.366,302.065,295.764,290.786
1981,290.33,294.07,298.02,305.123,308.81,309.249,302.476,301.254,303.191,300.64,293.164,290.201
1982,290.325,291.683,296.724,303.58,305.817,308.683,304.434,300.924,302.291,301.301,294.551,290.478
1983,288.52,291.165,297.265,300.584,306.071,307.02,303.842,301.832,302.021,299.341,293.118,290.978
1984,289.82,290.962,299.52,304.637,310.269,308.212,303.346,300.846,300.268,298.255,293.18,289.789
1985,289.062,291.57,299.018,303.89,308.593,308.164,303.128,300.821,301.797,297.418,294.735,291.484
1986,289.758,292.438,298.913,304.001,307.211,307.445,302.608,301.319,302.92,301.004,295.18,289.021
1987,289.869,293.731,298.837,304.379,306.401,308.458,305.88,304.079,302.857,300.953,293.992,289.189
1988,289.533,293.125,297.897,304.943,310.266,307.386,302.19,301.436,303.09,301.227,295.107,291.059
1989,288.45,291.798,297.336,303.152,308.129,306.46,303.728,301.829,303.201,301.298,295.266,289.872
1990,290.766,292.15,296.558,303.817,307.905,307.093,301.676,301.65,300.55,299.279,295.038,290.706
1991,288.994,292.921,298.716,302.934,308.012,309.107,304.72,301.012,301.218,298.816,293.748,290.146
1992,289.419,291.389,297.744,303.176,307.073,309.33,303.959,301.184,300.43,298.962,294.461,291.137
1993,289.854,292.807,297.013,304.132,309.219,307.226,303.19,302.372,300.789,300.057,295.156,289.952
1994,290.67,291.774,298.971,302.73,308.964,307.032,301.262,300.638,300.297,298.559,294.507,290.121
1995,288.534,292.711,297.071,303.897,308.369,310.126,303.786,300.903,302.153,301.776,294.808,291.388
1996,289.927,293.301,299.719,303.724,307.608,308.168,303.698,300.32,301.111,299.807,294.595,289.825
1997,289.246,292.605,298.405,301.968,305.67,305.283,303.109,301.263,301.468,297.754,295.256,288.579
1998,289.367,293.05,297.859,305.029,309.764,308.262,303.207,302.651,302.438,300.882,296.318,290.707
1999,289.22,294.192,298.957,305.187,308.895,306.885,304.266,302.02,301.606,300.525,296.804,290.677
2000,290.404,291.815,297.809,306.168,308.068,308.012,302.251,302.171,302.019,301.571,296.003,289.951
2001,288.755,292.575,298.614,303.605,308.549,305.346,301.39,302.078,304.391,301.491,295.392,291.22
2002,289.649,292.425,299.214,305.385,310.488,308.257,306.404,302.184,303.784,302.968,297.611,293.678
2003,289.433,293.99,299.131,305.839,308.545,308.53,302.965,301.763,301.13,298.97,295.654,290.799
2004,288.906,293.184,301.129,307.23,309.263,307.977,304.566,301.048,303.137,299.25,295.289,290.981
2005,288.334,292.538,298.525,302.615,308.028,308.818,302.318,302.771,302.224,300.702,295.712,289.604
2006,289.678,295.612,298.04,304.711,309.221,306.379,303.524,301.202,302.549,301.88,296.126,291.752
2007,289.729,293.532,297.883,305.365,308.535,308.174,302.688,301.782,302.351,299.696,295.066,289.803
2008,288.798,290.732,299.61,303.665,307.198,304.219,302.634,301.584,301.79,302.428,295.688,292.799
2009,291.765,294.292,299.676,304.91,309.955,309.338,303.99,302.988,304.337,301.069,295.61,292.91
2010,289.697,294.877,302.312,307.857,311.245,309.978,304.532,301.969,301.056,301.644,295.816,290.032
2011,288.724,293.953,299.628,305.145,310.075,306.945,302.502,301.657,301.19,299.69,296.405,291.028
2012,288.123,291.745,297.97,304.268,307.685,308.963,303.936,300.747,301.471,299.91,294.34,291.423
2013,288.611,293.476,299.38,304.389,309.561,305.942,301.582,300.796,302.771,300.889,294.571,290.601
2014,288.094,291.539,298.592,304.722,308.034,310.054,305.365,302.369,301.837,301.45,296.376,289.709
2015,288.138,294.981,298.199,304.403,310.036,307.57,303.144,302.293,304.134,301.694,297.245,290.463
2016,290.95,293.607,299.813,305.547,309.503,308.806,302.348,301.167,303.033,300.959,294.642,291.339
2017,289.52,293.271,298.327,305.379,307.979,306.876,303.34,302.346,303.605,302.671,295.333,290.952
2018,290.2,294.51,300.288,305.265,309.416,308.564,303.123,301.907,300.403,300.639,295.611,289.522
2019,288.658,291.854,296.994,304.451,307.272,308.182,303.67,301.497,301.493,299.451,297.301,289.002
2020,288.84,292.346,296.979,303.792,307.344,306.489,305.132,301.921,303.278,300.933,293.606,290.348
2021,287.487,292.557,300.581,304.908,305.676,306.82,304.754,301.966,301.653,300.608,294.202,289.956
2022,287.487,292.557,299.844,304.868,308.122,307.165,302.426,301.458,302.078,299.099,294.828,290.755
2023,287.927,294.259,298.471,302.626,305.323,305.477,303.258,302.454,302.532,301.816,296.365,290.882
