Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.741,298.962,302.061,303.862,304.294,302.325,301.815,301.795,301.827,300.139,298.664,298.757
1981,298.504,300.111,302.422,304.744,303.803,301.243,302.101,301.75,300.244,299.375,297.945,296.616
1982,296.932,299.337,302.523,304.736,303.938,302.777,302.215,301.881,301.994,300.864,298.275,296.616
1983,297.576,301.487,303.653,305.439,304.751,302.856,302.029,301.791,301.082,300.993,298.999,297.3
1984,296.81,297.288,299.612,302.252,305.083,302.027,300.943,301.986,300.647,299.056,298.332,297.065
1985,297.476,300.479,303.184,304.843,304.81,301.555,301.36,301.89,301.418,300.457,297.659,297.915
1986,297.119,298.659,301.749,305.16,304.715,303.017,302.641,301.839,302.004,301.084,298.311,298.095
1987,298.373,299.749,302.454,304.826,304.997,303.447,303.406,302.259,302.293,299.733,298.978,297.771
1988,297.545,300.469,303.52,302.556,304.592,302.558,301.788,301.441,301.002,301.704,298.394,298.397
1989,298.124,299.172,302.099,304.506,304.754,302.083,301.308,301.993,300.939,300.237,297.987,297.432
1990,296.637,300.367,302.808,304.864,303.058,302.843,301.494,301.793,302.3,300.347,298.392,297.259
1991,297.726,299.343,303.076,304.327,305.246,301.097,301.542,301.702,301.866,299.861,298.039,297.622
1992,297.21,300.778,302.41,304.326,303.973,302.617,301.498,301.309,300.988,299.833,298.445,296.09
1993,296.625,299.415,302.441,304.499,304.86,302.891,301.544,301.951,302.131,299.381,297.507,296.575
1994,297.135,299.192,302.467,303.193,303.816,302.194,301.566,302.201,301.961,299.092,297.569,296.768
1995,297.575,300.191,302.497,303.237,302.783,302.755,301.816,301.737,302.194,301.069,298.839,297.699
1996,298.009,299.773,302.411,302.728,304.352,301.742,301.646,301.542,300.961,299.723,299.078,296.659
1997,297.889,300.236,302.716,303.218,303.731,303.339,301.845,302.207,301.868,300.16,298.35,298.011
1998,298.289,300.685,303.043,305.529,304.391,303.455,302.051,301.643,301.313,301.029,298.937,297.166
1999,297.38,299.723,303.317,303.901,302.182,302.358,301.463,301.924,302.237,299.072,298.111,296.84
2000,297.147,299.483,302.284,303.679,303.908,301.935,302.505,300.309,300.597,300.303,298.776,296.759
2001,297.564,300.653,303.311,302.285,304.17,301.828,301.847,301.851,301.493,300.577,298.802,297.222
2002,297.96,298.062,302.13,304.633,303.786,302.823,302.652,302.178,302.831,300.074,298.592,297.926
2003,298.539,300.707,302.17,304.279,304.613,303.069,302.076,302.286,302.682,300.072,297.56,297.217
2004,298.01,299.857,303.176,304.927,301.365,302.235,302.035,302.339,301.454,299.437,297.674,297.479
2005,298.342,300.275,302.945,302.178,304.62,303.154,302.326,302.64,302.042,300.159,297.616,297.581
2006,297.58,299.547,302.267,304.408,303.699,302.869,302.905,302.524,301.176,299.941,298.169,297.144
2007,297.451,299.672,302.95,303.943,304.57,302.377,301.69,301.723,301.97,300.229,298.655,297.38
2008,297.599,300.411,300.142,303.524,304.387,303.059,302.283,301.974,301.981,300.205,299.46,297.135
2009,297.362,300.195,302.74,304.615,305.092,303.293,302.141,302.367,302.301,301.903,298.714,297.799
2010,297.785,300.02,303.349,305.458,304.938,302.9,302.087,302.081,301.757,300.658,298.57,297.122
2011,297.568,299.564,302.855,303.283,304.868,302.725,302.435,302.28,302.274,300.542,298.139,297.335
2012,297.471,300.052,303.263,304.581,304.603,303.472,302.895,302.397,303.11,300.553,300.211,299.847
2013,299.916,300.529,302.495,305.557,305.17,302.104,302.131,302.136,301.445,301.619,299.507,298.295
2014,298.437,300.34,302.774,305.71,304.021,304.593,303.313,301.877,302.278,300.444,298.384,297.713
2015,297.823,299.352,302.49,303.373,302.942,302.969,303.435,302.974,302.616,300.79,298.663,298.124
2016,297.926,300.161,303.446,306.584,304.575,302.905,302.441,302.833,302.662,302.318,300.622,299.448
2017,298.833,299.247,302.159,306.0,304.93,303.194,303.141,302.321,301.215,301.241,299.544,298.458
2018,298.138,299.813,302.581,305.095,303.344,302.861,302.406,301.97,302.537,300.29,299.006,298.469
2019,297.587,301.061,303.75,305.173,306.051,304.359,303.266,302.225,302.153,300.404,299.917,298.134
2020,299.029,300.231,303.143,304.712,305.336,303.339,302.212,302.493,300.868,301.886,299.733,297.406
2021,298.677,299.575,301.995,304.01,302.998,302.967,302.485,301.935,301.987,300.422,298.503,298.188
2022,298.677,299.575,302.592,303.38,302.885,302.747,301.948,301.021,301.299,300.265,298.649,298.267
2023,297.45,298.751,301.76,303.726,303.811,303.612,302.643,303.411,302.393,301.949,299.435,299.079
