Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.843,293.261,298.834,306.229,305.023,303.237,302.153,302.179,301.874,299.135,294.831,290.995
1981,289.701,293.372,297.725,301.715,303.908,305.525,301.835,302.496,301.755,298.867,294.461,290.002
1982,290.827,292.292,296.72,303.164,306.592,303.779,304.404,302.599,302.146,299.475,294.666,290.519
1983,288.737,291.905,298.138,301.611,303.985,306.811,303.006,302.947,301.926,299.083,294.302,290.083
1984,289.078,290.569,298.128,303.928,304.503,302.259,301.64,302.224,300.96,299.775,293.766,290.317
1985,290.071,292.272,300.055,304.548,305.03,305.348,301.38,302.8,301.524,298.953,294.312,291.407
1986,289.625,292.221,298.974,303.763,304.168,304.49,301.962,302.495,301.115,298.0,295.913,291.068
1987,289.588,294.065,298.79,303.444,306.179,306.185,302.132,302.302,301.957,299.723,295.626,291.035
1988,290.153,293.559,298.297,304.052,305.607,303.164,302.329,302.082,302.633,299.393,295.076,291.77
1989,288.409,292.433,298.216,304.176,305.538,303.761,302.017,302.336,301.412,299.608,294.501,290.106
1990,289.959,292.494,296.663,302.754,303.913,304.604,301.551,302.533,301.499,297.886,295.122,291.001
1991,289.058,293.94,298.712,303.493,305.623,303.974,303.435,302.387,301.46,299.578,294.025,290.495
1992,289.373,291.368,299.692,304.808,304.473,305.554,302.744,302.565,301.889,300.284,295.584,290.703
1993,289.108,294.282,297.323,302.689,304.801,304.863,303.587,302.216,301.065,300.069,295.181,290.806
1994,290.504,291.622,298.807,303.419,306.384,304.37,303.246,302.595,301.495,299.254,295.202,290.602
1995,288.874,292.484,298.442,305.006,308.567,304.798,302.669,302.416,301.466,300.274,295.122,290.869
1996,289.575,292.34,299.749,303.56,307.309,304.289,303.071,302.031,301.973,299.182,294.736,289.793
1997,288.76,291.982,298.88,301.468,305.629,305.732,302.371,302.429,301.605,298.717,295.852,290.04
1998,288.345,293.04,295.889,302.705,305.86,306.812,302.84,302.74,302.026,300.859,296.441,290.565
1999,288.864,293.973,299.432,305.077,304.166,304.122,302.338,302.065,301.51,299.547,294.829,291.353
2000,289.492,291.175,297.686,303.494,304.269,303.254,302.578,303.057,300.89,300.69,295.757,290.392
2001,288.357,293.067,298.408,303.894,303.543,302.594,303.009,303.085,301.932,300.317,296.083,289.935
2002,289.958,293.056,299.138,303.499,303.587,303.841,303.842,302.52,301.682,299.595,295.461,290.457
2003,286.408,292.855,298.092,304.031,306.154,304.616,303.006,303.091,302.151,299.224,294.654,290.579
2004,288.0,293.039,300.387,303.283,305.972,304.052,302.447,302.776,302.579,299.01,294.586,291.619
2005,289.819,293.788,300.035,303.514,305.51,307.488,302.722,302.999,302.708,299.577,293.954,290.53
2006,289.713,296.133,299.124,303.656,304.781,304.259,302.999,302.962,301.946,300.562,295.343,291.611
2007,289.307,292.788,297.727,304.205,305.603,304.331,302.255,302.952,301.97,300.141,296.169,290.639
2008,289.997,291.439,299.37,304.141,305.057,302.76,302.267,302.689,302.548,300.23,296.079,292.262
2009,291.112,294.333,299.151,305.18,303.92,306.289,303.795,302.798,302.967,299.298,295.651,291.055
2010,288.213,293.752,301.544,306.533,305.889,306.33,303.718,303.38,302.486,300.334,296.69,290.606
2011,287.833,292.849,298.612,302.598,304.821,304.086,303.369,302.522,302.081,300.284,295.696,290.221
2012,289.008,292.726,298.019,303.921,306.987,307.298,303.082,303.081,302.397,299.322,293.961,289.705
2013,287.91,292.794,298.814,303.018,304.625,303.588,303.537,302.687,302.847,299.621,294.3,290.709
2014,288.898,291.313,297.993,303.927,305.777,305.202,303.301,302.98,302.28,300.02,294.288,289.066
2015,289.124,293.758,297.967,301.666,305.927,305.857,303.122,303.103,303.276,300.7,296.716,291.217
2016,289.713,294.701,300.241,306.504,304.749,305.195,302.857,303.487,301.927,300.777,295.464,290.589
2017,289.825,293.513,297.918,303.545,305.2,304.942,302.588,303.093,303.496,301.077,295.564,291.462
2018,287.103,293.592,299.362,303.013,304.609,306.166,303.898,303.148,302.832,299.692,295.166,289.836
2019,289.433,292.625,297.528,303.55,306.297,307.262,303.569,303.792,302.045,299.791,296.395,289.377
2020,288.986,291.828,297.274,301.835,303.041,303.038,302.802,303.472,302.604,301.401,294.815,290.332
2021,288.776,291.254,299.305,302.615,302.299,302.877,303.286,302.659,302.673,300.565,294.987,291.282
2022,288.776,291.254,299.645,304.448,304.307,305.282,304.661,303.452,302.488,300.204,295.194,290.821
2023,288.78,293.878,298.422,303.462,304.573,306.923,304.469,303.222,303.186,300.498,296.539,291.901
