Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,286.097,288.285,291.731,295.256,296.036,298.477,298.639,298.32,297.807,294.454,291.145,288.739
1981,286.623,289.316,292.231,294.207,296.787,298.73,298.251,298.653,297.525,294.57,291.318,287.785
1982,287.823,288.04,291.99,293.482,296.653,297.877,298.205,298.9,297.334,294.641,290.775,287.702
1983,285.76,287.145,291.647,293.722,295.801,298.059,298.469,298.539,297.42,296.124,291.618,287.116
1984,285.648,288.679,293.331,295.266,296.031,298.704,297.736,298.744,296.28,295.343,290.369,287.6
1985,286.702,287.582,293.133,294.913,296.312,298.143,297.501,298.833,297.34,295.434,290.687,288.427
1986,287.254,288.934,293.282,294.136,296.787,299.152,298.282,298.548,296.99,294.22,291.376,288.034
1987,287.455,289.784,291.149,294.299,296.278,298.519,298.236,298.384,297.461,294.717,291.677,288.271
1988,287.307,289.621,292.063,295.023,296.305,299.045,298.204,297.871,297.531,295.231,291.736,288.854
1989,285.833,287.509,292.099,294.209,297.297,297.962,297.853,298.436,297.418,295.565,290.444,286.753
1990,287.984,288.05,290.486,292.678,296.941,298.405,298.543,298.834,297.263,294.652,292.558,288.503
1991,285.994,289.692,293.218,294.311,295.422,297.98,298.95,298.708,297.413,295.123,290.349,287.001
1992,286.605,286.45,292.115,295.246,295.694,298.072,298.24,298.776,297.566,294.743,291.082,286.773
1993,285.881,289.042,290.966,294.753,295.948,297.598,298.581,298.261,297.629,295.301,291.538,288.65
1994,287.609,287.999,291.489,294.318,297.004,298.345,299.42,299.189,298.309,294.073,291.046,287.324
1995,286.323,288.146,292.394,294.973,297.035,298.214,298.113,298.699,297.573,295.73,291.987,287.969
1996,286.516,289.185,292.561,295.746,295.952,297.968,297.942,298.525,298.008,295.166,291.76,288.297
1997,285.907,286.73,291.97,293.87,296.407,297.257,298.785,298.962,296.923,294.291,291.2,287.606
1998,286.322,288.954,291.043,295.316,298.255,297.875,298.205,298.268,298.378,296.625,293.17,289.473
1999,287.503,291.606,293.674,296.554,296.881,298.491,298.344,298.098,298.016,295.746,292.111,288.726
2000,286.676,287.389,291.336,294.793,297.127,298.033,298.591,298.155,297.031,295.594,291.235,287.812
2001,286.763,289.2,292.612,294.607,296.992,298.531,299.009,299.052,297.909,295.607,292.03,288.006
2002,287.069,290.079,292.725,293.965,296.783,298.146,298.273,298.574,297.823,295.199,291.936,288.512
2003,286.566,289.09,291.328,294.622,296.379,297.997,298.418,298.974,298.028,295.486,291.601,288.405
2004,286.975,288.953,293.154,293.578,296.521,298.059,297.619,299.015,297.542,294.377,291.127,288.016
2005,286.783,289.57,292.131,293.996,295.227,298.693,298.804,298.628,298.86,295.224,291.29,288.688
2006,287.143,290.522,292.788,294.484,297.883,297.935,299.575,299.677,298.063,295.523,291.382,288.521
2007,286.637,288.293,292.412,294.4,297.863,298.042,298.565,299.208,297.983,296.186,292.159,288.036
2008,287.175,287.267,292.274,294.868,297.266,298.18,298.705,298.248,298.302,295.691,291.493,289.519
2009,288.276,290.04,292.983,295.592,297.514,298.779,299.477,298.699,298.915,296.054,291.616,288.022
2010,287.139,289.168,292.884,294.689,296.67,297.594,298.866,299.126,297.923,296.508,292.438,288.046
2011,285.892,289.394,292.702,295.061,297.327,298.77,298.611,298.989,298.797,296.516,291.163,288.583
2012,286.58,289.24,292.794,294.118,297.296,298.158,298.94,299.241,297.698,294.977,290.944,287.8
2013,285.921,290.312,293.646,294.877,296.987,299.567,299.009,299.023,298.546,295.797,291.239,287.73
2014,287.412,288.467,292.748,296.609,296.548,299.038,299.652,298.635,297.968,296.04,292.593,289.252
2015,288.06,289.602,293.584,294.395,296.778,298.033,299.743,298.617,298.616,296.208,292.191,287.637
2016,286.682,290.292,293.416,295.282,296.624,299.019,298.711,300.448,298.806,296.884,293.089,289.989
2017,288.2,290.562,292.112,295.24,297.27,298.917,299.705,299.44,298.885,296.943,292.782,290.06
2018,287.776,289.854,293.29,295.578,297.146,299.461,299.719,299.819,298.672,295.05,291.361,288.602
2019,287.73,289.645,292.44,295.634,296.288,299.361,298.86,300.669,298.508,295.953,293.628,288.025
2020,287.203,289.326,293.055,294.792,296.625,298.251,298.698,299.999,298.768,297.773,292.467,288.455
2021,287.321,287.393,293.403,296.305,296.655,298.568,299.43,298.978,299.382,297.54,291.678,288.897
2022,287.321,287.393,294.659,294.692,296.932,297.757,300.075,300.114,298.733,295.992,292.047,289.22
2023,287.646,290.362,293.12,295.839,297.227,298.554,299.397,299.257,300.061,296.539,293.009,289.919
