Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,282.9,284.761,287.961,291.867,292.591,295.174,295.317,295.027,294.292,290.579,287.459,285.603
1981,283.014,285.89,288.014,290.631,293.012,295.21,294.968,295.313,294.04,291.029,287.398,284.266
1982,284.334,284.304,288.035,289.849,293.217,294.64,295.076,295.316,293.959,290.774,287.074,283.89
1983,281.875,283.263,288.032,290.371,292.729,294.987,295.418,295.094,294.072,292.466,287.902,283.657
1984,282.658,285.22,289.499,291.406,292.763,295.23,294.467,295.357,292.965,291.785,286.861,284.209
1985,283.306,284.006,289.583,291.388,292.665,294.786,294.319,295.491,294.082,291.573,286.778,284.907
1986,283.834,285.489,288.788,290.525,292.656,295.408,295.047,295.266,293.488,290.484,287.591,284.433
1987,283.928,285.887,287.413,290.703,292.847,295.074,295.081,295.034,294.422,291.147,288.07,285.264
1988,284.051,286.207,288.436,291.755,292.912,295.26,295.247,294.852,294.324,291.651,287.678,285.471
1989,282.382,284.082,288.169,290.826,293.71,294.792,294.948,295.178,294.068,292.015,286.702,283.491
1990,284.389,284.404,286.808,289.739,293.659,295.223,295.266,295.443,294.255,290.951,288.732,285.136
1991,282.476,286.018,289.443,290.871,292.369,295.037,295.7,295.34,294.177,291.461,286.51,283.915
1992,283.271,282.811,288.875,291.517,292.1,294.779,294.947,295.35,294.156,291.124,287.192,283.523
1993,282.417,285.532,287.464,290.714,292.737,294.308,295.21,295.275,294.148,291.733,287.992,285.329
1994,284.437,284.647,288.315,290.828,293.412,295.157,295.963,295.759,294.756,290.588,287.057,283.905
1995,282.712,284.392,288.95,291.469,294.194,295.263,295.064,295.375,294.333,291.937,288.271,284.48
1996,282.86,285.209,289.118,292.031,293.018,294.429,294.909,295.224,294.523,291.428,288.365,284.856
1997,282.444,282.82,288.114,289.464,292.883,294.242,295.613,295.462,293.767,290.328,287.628,284.331
1998,283.111,285.56,287.338,291.189,294.366,295.057,295.183,295.244,294.813,292.757,289.504,286.057
1999,284.245,288.393,290.245,292.755,293.434,295.206,294.995,294.774,294.278,291.904,288.37,285.175
2000,283.387,283.923,288.022,291.363,293.758,294.891,295.318,295.057,293.718,291.826,287.696,284.578
2001,283.216,285.645,288.772,291.31,293.549,295.221,295.793,295.706,294.249,291.913,288.573,284.629
2002,283.548,286.524,288.88,290.54,293.119,294.761,295.09,295.379,294.321,291.252,288.215,285.084
2003,283.154,285.142,287.652,291.08,292.654,294.743,295.324,295.906,294.755,292.058,287.888,284.913
2004,283.227,285.336,289.756,290.359,293.519,294.821,294.554,295.632,294.188,290.799,287.424,285.104
2005,283.467,286.243,288.977,291.002,292.176,295.216,295.324,295.47,295.12,291.36,287.52,285.294
2006,284.317,287.34,289.173,291.002,294.295,294.726,296.177,296.067,294.323,291.523,287.55,285.289
2007,283.555,284.745,288.981,291.537,294.375,294.868,295.305,295.909,294.722,292.471,288.376,284.661
2008,283.79,283.919,288.737,291.545,293.666,294.979,295.628,295.254,294.624,291.631,287.891,285.928
2009,284.567,286.706,288.975,291.893,293.725,295.349,296.074,295.562,295.178,292.319,288.145,284.711
2010,283.965,285.818,289.931,291.913,293.774,294.922,295.776,295.887,294.636,292.613,288.961,284.925
2011,282.327,285.708,289.075,290.92,293.696,295.693,295.404,295.626,295.19,292.407,287.758,284.694
2012,282.821,285.685,288.767,291.069,293.907,295.007,295.827,296.077,294.543,291.383,287.272,284.283
2013,283.009,286.814,289.839,291.334,293.727,296.18,295.713,295.607,294.96,292.32,287.874,284.373
2014,283.998,285.19,288.723,292.16,293.193,295.814,296.203,295.477,294.513,291.921,288.454,285.473
2015,284.335,285.964,289.52,290.725,293.563,294.998,296.245,295.406,295.155,292.108,288.489,284.043
2016,282.868,286.685,289.29,292.192,293.389,295.818,295.48,296.786,295.427,293.017,289.048,286.555
2017,284.409,286.964,288.209,291.703,293.899,295.706,296.279,296.196,295.435,292.991,288.568,286.45
2018,283.429,286.133,288.903,291.205,293.252,295.847,296.365,296.53,295.078,291.192,287.932,284.844
2019,283.9,285.893,288.434,291.416,293.307,295.928,295.83,297.016,295.026,292.16,289.63,284.244
2020,283.357,285.045,288.549,290.339,292.777,295.399,295.57,296.65,295.348,294.071,288.743,285.028
2021,283.262,283.299,288.987,291.541,292.877,295.369,296.04,295.964,295.727,293.602,287.85,284.792
2022,283.262,283.299,290.784,291.688,293.667,294.665,296.549,296.653,295.445,292.523,288.205,285.21
2023,284.128,286.679,289.053,292.04,293.393,295.085,296.327,296.118,296.213,292.393,288.697,286.089
