Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,298.408,300.648,303.17,305.797,308.171,303.143,303.098,301.408,302.37,301.917,298.454,297.403
1981,297.42,300.8,302.188,305.627,307.117,304.247,302.995,301.655,300.986,300.912,298.926,297.467
1982,297.719,300.878,303.111,304.828,306.096,304.943,302.684,302.539,301.535,300.26,298.01,296.603
1983,297.159,300.569,303.278,304.998,306.645,305.583,302.611,301.865,300.908,299.979,297.118,296.491
1984,297.74,298.845,302.239,304.603,307.861,304.634,301.803,302.762,302.137,301.132,298.539,298.616
1985,297.941,300.936,303.323,305.935,307.052,303.709,302.071,302.306,302.451,299.541,298.378,298.235
1986,296.819,299.444,302.716,304.576,307.307,304.449,303.684,301.464,302.453,301.547,298.897,298.062
1987,298.108,298.983,301.714,305.213,305.72,305.693,303.349,302.206,303.607,300.379,298.113,296.66
1988,297.535,300.336,302.946,303.896,307.779,305.092,301.676,301.316,300.883,300.711,298.138,296.389
1989,297.066,299.269,300.878,305.016,307.225,304.003,301.47,301.592,301.007,301.231,298.497,297.379
1990,298.518,300.759,302.945,305.518,302.905,302.696,302.207,301.459,301.613,299.316,298.343,297.185
1991,297.601,300.319,302.658,305.487,307.164,302.908,301.288,302.075,302.411,300.316,296.873,295.743
1992,295.697,299.794,302.863,304.445,306.645,305.371,303.045,300.94,301.664,301.161,298.781,295.982
1993,297.366,298.827,302.47,304.919,307.614,305.891,302.983,302.333,301.971,300.571,299.242,296.327
1994,297.926,299.76,303.342,304.833,307.402,305.396,302.08,301.994,303.373,299.846,296.888,295.545
1995,296.122,299.865,303.003,305.061,305.391,306.263,302.128,302.274,301.587,300.124,298.995,297.588
1996,298.194,299.754,302.95,304.664,307.655,304.619,302.698,301.386,301.285,299.883,298.76,296.803
1997,297.01,300.611,303.509,303.337,307.157,306.088,303.498,303.187,301.53,300.56,299.565,298.269
1998,298.888,300.878,303.373,305.193,307.602,305.992,303.148,302.106,301.655,300.121,298.637,296.17
1999,296.89,300.083,303.301,306.249,305.805,304.063,302.803,301.594,301.973,301.209,300.534,297.734
2000,298.307,299.798,302.391,305.884,305.836,302.463,301.751,300.915,301.482,301.282,298.978,296.201
2001,297.234,300.151,302.949,304.189,308.031,304.197,304.009,301.761,302.374,300.489,299.349,297.492
2002,298.331,300.423,303.493,305.62,307.322,304.312,304.463,301.33,303.766,301.294,299.066,298.459
2003,298.267,300.726,302.873,305.779,308.494,306.21,302.068,302.023,302.651,300.316,298.4,296.401
2004,296.944,299.785,303.475,305.58,304.808,304.833,301.826,302.56,302.168,300.607,299.342,297.766
2005,298.832,301.198,303.412,305.074,306.692,306.074,302.097,302.523,301.382,300.144,297.153,296.518
2006,297.395,300.166,302.642,305.507,306.227,304.705,303.735,302.489,302.157,301.157,298.179,297.185
2007,297.459,299.571,302.684,304.504,307.509,303.407,302.858,302.048,300.882,300.028,297.527,297.522
2008,297.866,299.187,301.384,304.551,307.344,305.129,303.31,301.195,301.315,301.113,299.098,297.148
2009,297.856,301.101,302.635,305.709,306.809,305.574,303.688,303.57,303.012,302.083,299.372,298.016
2010,297.352,299.521,303.202,305.755,306.28,304.447,301.366,301.561,301.222,300.578,298.873,295.55
2011,295.782,298.519,301.782,303.514,306.819,304.852,302.617,301.915,302.837,302.127,299.957,298.477
2012,297.457,299.917,303.169,304.915,307.487,305.5,302.342,302.333,301.963,301.272,299.074,298.962
2013,299.06,299.855,302.782,305.194,307.686,303.479,301.363,301.599,301.714,300.642,298.034,296.414
2014,297.625,299.084,302.194,305.128,306.378,306.55,302.432,303.098,301.843,302.006,299.227,297.779
2015,297.946,300.044,302.975,304.457,308.382,303.816,305.229,302.838,302.587,302.901,299.714,298.864
2016,299.045,301.581,303.942,306.799,307.286,303.663,303.189,303.776,301.15,300.674,299.052,297.768
2017,298.038,300.528,303.395,306.524,307.889,304.126,303.291,302.106,302.283,301.568,301.036,298.487
2018,298.634,300.192,303.583,305.646,306.764,305.437,303.062,302.081,302.797,302.884,300.803,297.942
2019,297.226,300.36,304.072,305.986,308.44,306.508,303.655,302.653,301.479,300.547,299.704,297.804
2020,298.658,299.742,302.594,304.767,306.92,304.556,302.101,301.444,301.428,300.858,298.856,296.987
2021,298.169,300.108,302.276,304.846,305.395,303.781,302.151,302.364,301.727,302.094,299.036,297.872
2022,298.169,300.108,303.932,305.385,306.102,305.05,301.339,302.021,301.506,299.822,298.321,298.14
2023,297.642,300.054,301.375,304.749,306.092,306.557,302.391,303.255,302.217,303.012,300.523,297.335
