Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.366,298.947,302.092,305.028,307.837,304.02,303.854,302.752,303.43,301.258,297.797,296.052
1981,296.438,298.464,300.973,304.844,306.412,305.097,303.739,301.731,301.12,300.644,297.625,296.25
1982,296.196,299.397,301.974,304.388,305.717,305.043,303.934,303.822,302.722,300.844,298.232,296.474
1983,296.573,300.903,303.112,305.25,306.702,305.446,304.035,302.598,301.684,301.181,298.124,296.757
1984,297.642,298.102,301.229,304.33,307.294,304.88,302.564,304.043,302.661,300.917,297.531,296.885
1985,296.566,299.469,302.094,305.954,306.927,304.065,303.133,303.413,302.393,300.008,296.901,296.511
1986,295.516,298.492,301.775,304.041,307.094,304.947,303.792,302.432,303.072,300.738,298.464,297.273
1987,296.863,297.549,300.827,304.949,305.425,305.763,305.025,302.745,303.566,300.565,298.411,296.892
1988,296.014,299.328,302.59,303.896,307.475,305.92,302.495,301.83,301.496,302.022,298.664,296.919
1989,296.286,298.404,301.056,304.902,307.133,304.708,302.177,302.43,302.164,301.837,298.286,296.52
1990,297.559,300.503,303.237,305.448,303.654,303.76,303.227,302.367,303.294,300.119,298.378,296.501
1991,296.999,299.128,301.878,305.077,307.1,303.084,301.999,302.409,302.689,300.555,297.34,295.741
1992,295.052,299.221,301.443,303.816,306.149,305.658,303.32,302.211,303.006,300.899,298.543,295.322
1993,296.25,298.143,301.769,304.572,307.295,306.146,304.055,303.185,302.815,300.158,297.704,295.87
1994,296.185,299.048,301.905,304.767,307.289,305.648,303.027,302.833,304.0,300.075,297.235,295.293
1995,296.327,299.142,301.942,304.186,304.379,305.939,303.021,302.623,302.257,300.476,299.218,296.256
1996,296.86,298.494,301.852,304.496,307.587,304.152,303.04,302.187,301.664,299.766,298.664,296.057
1997,295.75,298.681,302.075,303.374,306.563,306.205,304.609,303.902,302.349,300.449,298.753,297.829
1998,297.586,299.831,302.664,304.826,306.928,306.527,304.047,302.805,302.276,300.503,299.102,296.666
1999,296.392,298.799,302.456,305.224,305.786,304.749,303.694,302.708,302.287,300.484,298.759,296.789
2000,297.166,299.487,301.086,305.31,306.017,303.549,302.287,301.592,302.095,300.912,298.458,295.947
2001,296.705,299.602,302.631,303.097,307.217,304.967,304.275,303.226,302.411,300.468,298.782,296.123
2002,297.106,298.358,301.985,304.768,306.886,304.61,304.705,302.209,303.493,300.472,297.379,296.043
2003,296.492,299.521,301.738,304.872,307.75,306.325,302.91,302.814,303.417,300.933,298.749,296.762
2004,296.61,298.875,302.269,305.458,304.076,304.944,302.744,303.704,302.03,300.492,297.633,296.43
2005,297.793,299.841,302.568,304.602,306.714,306.13,303.209,303.144,302.288,300.524,297.479,296.37
2006,296.483,298.278,302.007,304.898,305.943,304.593,304.304,303.63,302.876,301.56,298.212,296.32
2007,296.381,298.725,301.873,304.148,306.939,303.827,303.61,302.454,301.767,301.145,298.179,297.561
2008,296.86,299.261,300.61,304.075,307.596,305.379,303.953,301.881,302.491,301.004,298.598,296.715
2009,296.417,299.366,301.801,304.834,306.475,305.545,304.569,303.683,302.696,302.452,299.11,296.854
2010,297.031,298.846,302.617,305.853,306.202,304.533,302.186,302.329,302.003,301.683,298.951,296.413
2011,296.069,298.027,300.534,303.293,307.2,305.408,303.541,302.51,303.88,301.754,298.303,297.358
2012,296.979,298.831,302.654,304.723,307.698,306.336,303.475,303.157,303.414,300.764,298.842,297.386
2013,297.703,298.937,301.626,305.002,307.293,304.717,301.601,302.337,302.056,301.365,298.726,296.73
2014,296.971,298.612,301.461,304.449,306.923,306.874,303.926,304.273,303.093,301.948,298.854,297.457
2015,297.411,298.901,302.205,304.531,307.159,304.525,305.841,303.923,303.423,302.581,298.812,297.799
2016,297.498,300.029,302.977,306.246,306.442,304.294,304.043,304.79,302.835,303.927,300.417,297.858
2017,297.974,299.708,303.631,306.691,307.856,305.407,304.584,303.2,302.904,302.015,300.081,298.226
2018,298.103,299.442,302.624,305.431,307.012,305.558,304.697,303.566,303.994,302.755,299.59,297.654
2019,296.849,300.223,303.686,305.718,308.747,307.428,304.713,303.657,302.411,301.193,300.102,297.738
2020,298.088,299.432,302.524,304.796,306.754,305.341,303.142,302.849,302.124,301.624,299.239,297.172
2021,297.821,298.86,301.663,304.81,305.537,305.192,302.911,303.222,303.473,303.17,298.985,297.686
2022,297.821,298.86,302.598,305.114,305.149,305.62,302.831,303.233,302.971,300.952,298.571,298.101
2023,297.28,299.884,301.834,305.199,306.762,307.304,303.334,305.499,303.463,303.719,299.853,297.388
