Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,285.923,289.212,292.184,300.801,304.703,303.494,301.233,300.986,299.386,295.61,290.748,286.536
1981,285.6,288.72,292.155,298.285,302.621,303.929,300.886,301.471,300.023,295.172,289.916,285.83
1982,286.297,286.866,290.679,297.431,300.76,304.447,303.002,301.088,299.755,295.762,290.555,286.964
1983,285.477,287.663,292.265,296.254,301.03,304.655,302.42,301.242,300.4,295.149,289.482,286.023
1984,284.781,286.765,294.309,299.48,305.56,303.478,300.971,301.275,298.944,295.402,290.039,287.178
1985,286.079,289.406,296.19,299.437,304.23,305.18,301.337,300.923,299.428,294.854,289.759,287.263
1986,285.469,288.346,293.411,299.548,300.955,303.07,301.124,301.444,299.367,295.558,291.444,285.732
1987,286.172,289.317,293.909,299.649,299.556,305.761,304.544,302.233,300.431,296.537,290.718,287.058
1988,287.145,290.006,293.303,301.9,305.863,304.449,301.124,300.783,300.357,295.51,290.765,286.93
1989,284.175,287.437,292.988,297.689,303.346,303.317,301.718,300.706,299.767,295.347,290.315,285.837
1990,287.082,288.468,290.982,298.078,302.493,304.723,301.035,301.244,299.82,295.179,290.816,286.833
1991,285.076,289.118,293.343,298.434,304.477,303.761,303.993,301.159,299.267,294.352,289.295,286.229
1992,285.878,286.889,292.652,299.551,302.914,305.121,301.805,301.055,299.719,295.515,291.043,286.93
1993,285.417,290.094,291.45,299.226,304.01,304.332,302.167,302.201,299.535,295.334,291.038,286.995
1994,286.605,288.155,294.923,298.622,304.892,305.782,301.803,301.195,300.004,295.702,290.88,287.362
1995,285.282,288.601,293.03,299.096,305.102,305.648,301.656,300.481,300.147,296.403,290.804,287.121
1996,285.63,288.611,293.843,300.076,303.856,302.601,301.595,300.58,299.621,295.438,290.094,285.854
1997,285.0,288.132,293.79,297.072,301.428,302.869,301.771,301.027,299.845,294.695,291.13,285.362
1998,285.672,289.228,291.625,299.453,304.51,304.154,301.89,301.035,300.497,296.955,291.746,286.522
1999,285.712,290.202,295.764,302.982,304.067,303.506,301.379,301.217,299.707,295.457,290.595,286.226
2000,285.916,286.776,292.666,300.431,303.365,301.437,300.939,301.014,299.361,296.42,291.564,286.898
2001,285.04,289.563,293.51,298.926,302.529,301.438,301.836,301.71,300.175,296.946,291.263,286.783
2002,285.755,288.7,294.003,300.544,303.824,303.657,303.732,301.153,298.491,295.82,290.873,287.059
2003,283.882,288.898,292.904,299.802,302.512,304.288,301.637,301.593,299.71,295.337,290.404,286.795
2004,285.762,289.758,296.336,300.747,303.38,302.55,302.066,301.339,300.198,294.969,290.467,287.08
2005,286.028,288.63,294.307,300.185,303.983,305.724,301.724,301.484,300.12,295.997,290.256,286.083
2006,286.69,292.532,294.329,300.298,303.486,303.755,302.423,302.087,300.346,296.728,291.751,287.404
2007,286.051,289.042,292.977,301.818,302.916,303.954,302.194,301.585,300.599,296.102,290.915,286.561
2008,285.667,287.954,296.37,300.11,302.018,301.608,301.402,300.982,299.876,296.713,291.444,288.82
2009,288.054,290.857,295.125,300.58,303.047,305.033,303.043,301.38,300.055,295.226,290.977,287.201
2010,285.467,289.877,297.056,303.015,304.448,304.535,301.849,301.374,299.671,297.406,292.334,286.569
2011,284.534,289.031,294.618,299.518,303.528,302.373,301.547,301.321,300.518,296.536,291.629,286.741
2012,285.225,288.279,294.191,299.524,304.3,306.244,302.125,300.919,300.495,295.612,290.332,286.39
2013,284.425,288.743,294.507,300.321,305.098,302.377,301.49,301.132,300.275,297.098,290.222,286.591
2014,285.818,287.887,292.5,298.552,302.677,305.579,302.467,302.018,300.247,296.395,290.788,285.613
2015,285.462,290.184,293.227,298.379,303.747,303.99,302.108,301.535,300.841,297.226,292.677,286.946
2016,286.137,290.267,295.797,301.668,303.595,304.027,301.773,302.032,301.171,297.435,291.337,287.788
2017,286.864,290.212,294.11,300.861,303.688,303.36,302.31,301.819,300.797,297.007,290.614,287.665
2018,285.36,290.047,295.448,299.923,303.051,304.392,302.338,301.386,300.143,295.679,291.439,286.106
2019,285.812,288.514,292.463,300.009,302.995,304.981,302.051,302.403,301.34,296.623,292.03,285.632
2020,285.457,288.535,292.647,298.163,301.689,303.642,302.202,302.081,301.932,297.017,290.846,286.502
2021,285.733,288.118,296.141,299.685,301.385,303.158,303.043,301.95,301.204,297.62,291.022,286.733
2022,285.733,288.118,296.469,302.116,303.422,305.026,302.536,302.751,300.803,296.579,291.612,286.528
2023,285.837,290.94,294.487,298.4,300.288,302.72,302.151,301.935,301.463,296.289,291.878,287.343
