Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.368,293.097,297.781,305.887,308.845,304.791,301.715,301.148,301.569,299.643,294.524,289.87
1981,289.227,292.679,297.543,303.699,306.715,307.185,302.231,302.35,301.931,298.502,293.164,289.354
1982,289.754,290.856,295.603,302.597,305.163,305.668,305.144,301.496,301.494,299.713,294.242,289.929
1983,287.772,290.665,296.917,300.996,305.401,306.719,303.367,302.555,301.418,298.311,292.158,289.589
1984,288.753,290.03,297.643,303.506,307.749,305.749,302.596,301.269,300.715,298.378,292.938,289.727
1985,289.111,291.6,298.844,303.8,307.466,307.565,302.223,301.956,301.215,297.854,293.663,290.833
1986,289.018,291.301,297.982,303.564,305.791,306.427,302.047,302.216,301.387,298.826,294.747,289.708
1987,288.477,292.797,298.384,303.682,305.394,309.613,305.374,304.028,301.715,299.055,293.661,289.398
1988,289.344,293.029,298.122,304.203,308.439,305.965,302.305,302.127,303.195,298.657,294.48,290.401
1989,287.862,291.879,296.959,302.619,307.342,305.757,302.669,302.122,301.564,298.737,294.219,289.426
1990,289.973,292.117,296.243,303.651,306.782,306.37,301.524,302.127,300.974,298.843,293.818,289.7
1991,288.035,292.772,297.814,302.547,307.527,306.57,304.954,301.292,301.649,298.475,293.189,289.769
1992,289.119,290.481,297.727,303.551,306.065,307.865,303.943,302.227,301.274,298.993,294.479,289.969
1993,289.02,292.743,295.972,303.197,307.278,306.295,304.102,303.185,300.545,299.752,294.857,289.927
1994,290.283,291.135,298.376,302.876,307.89,306.653,302.313,301.773,301.426,298.635,294.302,289.85
1995,288.186,292.615,297.126,303.678,308.041,308.185,303.945,301.864,301.518,299.991,294.149,290.693
1996,289.464,291.763,298.95,303.404,307.507,306.699,302.962,301.533,302.053,298.557,293.463,288.291
1997,287.955,291.576,297.577,301.898,305.957,306.664,302.644,301.861,301.466,297.992,294.159,288.655
1998,287.808,292.284,295.752,303.695,307.788,307.426,303.129,302.43,302.432,301.156,295.695,290.069
1999,287.859,292.965,298.76,305.37,307.672,305.739,303.776,302.212,301.283,299.619,294.695,289.547
2000,288.996,291.042,297.463,304.295,307.019,304.406,302.374,302.639,301.369,300.241,294.907,289.353
2001,287.915,292.093,297.698,303.17,306.621,303.871,302.033,302.904,302.745,299.882,294.536,289.533
2002,288.743,292.634,298.827,304.665,307.117,307.163,307.023,302.264,301.188,299.365,294.604,290.652
2003,285.814,292.871,297.854,304.847,307.274,307.101,303.146,302.157,300.702,299.158,294.331,289.829
2004,287.604,291.873,299.656,304.509,307.976,304.893,303.214,302.202,302.653,298.881,294.235,290.332
2005,289.403,293.441,299.5,303.67,307.012,308.168,302.541,303.113,302.288,299.681,294.44,289.466
2006,289.459,295.608,297.88,304.658,307.143,307.13,302.661,302.495,302.788,300.984,295.864,291.32
2007,289.504,292.922,297.272,305.342,306.81,307.391,303.509,302.507,302.423,299.006,294.697,289.952
2008,289.263,291.161,299.538,304.512,306.836,302.985,301.742,302.453,302.647,300.42,294.881,291.267
2009,290.31,293.312,298.84,304.0,306.942,308.644,303.778,303.677,302.719,299.128,294.721,290.986
2010,287.559,292.98,300.572,306.876,308.026,308.918,304.347,302.923,301.763,299.857,296.16,289.983
2011,287.31,292.517,298.859,303.908,307.499,304.852,303.101,302.251,301.856,299.604,294.963,289.214
2012,288.293,291.683,297.48,304.575,308.13,310.043,303.657,302.149,301.809,299.117,293.385,289.412
2013,287.33,291.816,297.829,303.752,308.237,304.465,302.761,301.892,302.798,299.101,292.95,289.902
2014,287.832,290.598,297.108,303.22,306.98,308.962,303.873,303.307,302.486,299.905,294.889,288.629
2015,287.362,293.323,296.518,302.678,308.032,307.738,303.987,303.644,305.19,302.702,297.528,290.549
2016,290.25,294.263,300.196,307.133,308.085,307.779,302.894,302.456,302.554,300.013,294.382,289.817
2017,289.044,293.235,298.664,306.213,308.313,307.69,302.352,303.096,303.588,301.878,294.89,290.435
2018,287.95,293.391,299.571,304.476,307.584,307.906,303.734,302.265,302.106,299.96,294.91,289.205
2019,288.845,291.969,297.281,304.718,308.221,308.44,304.123,302.874,301.754,299.541,295.52,288.291
2020,288.371,291.412,296.999,303.458,305.772,303.686,303.695,302.917,303.37,300.95,293.77,289.83
2021,287.612,291.628,300.028,304.162,303.631,303.838,303.922,302.784,302.637,300.395,293.745,289.967
2022,287.612,291.628,299.475,306.116,306.95,307.272,304.866,302.767,302.237,299.492,294.42,290.046
2023,287.739,293.521,298.211,303.21,305.311,307.272,304.327,303.064,303.069,300.207,295.593,291.019
