Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.331,298.296,302.746,307.332,310.122,302.262,299.706,299.174,299.782,298.793,295.657,292.792
1981,291.633,296.484,299.28,304.969,307.613,305.181,299.599,299.594,299.564,298.888,294.592,292.36
1982,294.536,296.37,300.382,305.336,306.339,304.599,301.238,298.76,299.931,299.067,295.582,293.917
1983,293.147,295.538,301.237,305.084,307.237,306.321,300.707,300.047,299.496,298.003,293.525,291.474
1984,293.027,294.817,301.667,304.617,309.505,302.999,299.982,299.029,299.794,299.158,294.111,293.235
1985,293.995,295.965,302.915,306.513,308.071,303.393,299.214,298.976,299.711,297.678,294.437,293.593
1986,292.213,295.287,300.636,305.539,307.451,304.039,299.821,299.397,300.654,298.873,295.923,293.456
1987,292.729,295.965,300.774,306.362,306.173,305.853,300.494,300.167,300.699,298.762,295.902,292.254
1988,294.492,296.908,300.977,305.353,309.826,304.773,299.846,299.949,300.137,298.221,294.646,292.837
1989,292.573,296.918,300.703,306.354,309.27,302.73,300.415,299.403,299.896,298.864,295.936,292.508
1990,294.836,296.601,300.083,306.0,302.997,300.995,299.141,299.943,299.458,297.951,296.025,293.079
1991,292.611,298.003,302.41,305.512,309.498,302.877,300.376,299.149,300.966,298.107,294.39,292.362
1992,292.81,295.497,302.231,305.582,307.731,305.183,301.457,299.133,299.865,298.88,295.328,292.006
1993,293.883,295.848,300.054,305.958,309.039,304.088,300.491,299.628,299.59,299.266,294.984,291.337
1994,294.133,295.575,301.846,304.13,308.691,301.884,298.918,298.738,299.752,298.846,295.331,292.248
1995,291.409,295.783,299.96,305.086,305.414,306.472,300.425,300.125,300.399,298.753,295.497,294.318
1996,295.052,297.414,302.844,305.183,309.315,305.726,300.556,299.3,300.469,298.647,295.572,291.828
1997,291.807,295.413,301.407,302.292,307.086,305.002,299.984,299.824,299.745,298.268,296.971,293.431
1998,293.246,295.22,298.668,305.218,308.473,305.49,300.699,300.389,300.292,299.486,295.723,291.612
1999,291.845,298.006,302.225,307.786,307.137,302.993,299.916,299.28,298.979,298.949,295.325,292.295
2000,293.445,295.573,300.895,307.537,306.851,301.797,299.759,300.135,300.081,299.838,296.318,292.539
2001,293.353,297.487,301.19,304.492,308.096,301.051,299.498,299.744,301.116,299.458,296.646,292.935
2002,292.968,297.099,301.505,306.555,309.3,303.913,302.049,298.881,300.145,299.394,295.649,294.644
2003,293.759,297.373,300.588,306.482,309.533,306.136,300.191,299.542,299.192,298.353,295.419,292.329
2004,293.162,295.127,302.555,306.531,307.685,303.401,300.335,299.306,300.483,297.889,295.615,293.172
2005,293.389,297.064,301.707,304.789,307.936,307.023,299.849,299.917,300.099,298.929,294.385,292.05
2006,293.338,298.45,299.438,305.277,306.412,305.58,300.177,299.28,300.358,299.552,296.425,294.154
2007,293.588,296.428,300.807,305.541,307.972,304.362,300.563,300.079,300.13,298.333,295.056,293.551
2008,293.511,294.937,301.087,305.749,308.485,302.043,300.316,300.015,300.067,298.928,296.612,294.33
2009,295.407,298.562,302.332,306.735,308.846,306.929,300.022,300.32,301.489,298.632,296.157,293.84
2010,292.412,297.641,304.136,308.099,309.114,305.756,300.251,300.325,300.177,299.103,297.463,292.999
2011,292.962,296.812,302.62,303.69,307.747,302.479,300.56,299.782,299.766,299.233,296.309,293.434
2012,292.578,297.206,301.8,306.606,309.22,305.343,299.411,299.395,300.231,298.559,295.217,293.642
2013,293.406,296.259,301.404,304.881,309.961,301.891,299.353,299.077,300.452,298.381,294.868,292.511
2014,293.967,295.803,299.813,305.144,306.937,306.136,300.682,300.557,300.111,299.083,295.929,292.195
2015,292.261,296.667,299.734,303.52,307.866,303.197,301.163,300.478,301.102,300.255,297.101,294.495
2016,293.676,298.499,301.709,307.492,308.018,305.618,300.264,300.264,300.238,298.97,294.921,292.456
2017,293.237,297.085,301.182,307.518,308.834,304.142,300.762,300.803,301.142,300.22,296.181,293.243
2018,293.025,296.94,302.003,305.224,308.035,304.048,300.099,299.527,300.373,299.749,296.629,292.043
2019,291.605,295.928,301.037,305.99,308.875,306.887,301.039,299.917,299.979,299.387,296.526,293.505
2020,293.348,294.697,299.559,304.347,306.98,302.237,301.277,299.823,301.338,300.083,295.995,293.598
2021,292.239,295.143,301.216,304.428,305.547,301.75,300.725,300.964,300.302,299.893,296.532,292.672
2022,292.239,295.143,302.045,307.016,307.401,305.093,300.26,300.552,300.36,298.909,294.955,294.523
2023,294.517,296.995,300.081,303.042,305.493,306.184,301.233,300.819,300.336,299.617,296.82,293.415
