Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,298.515,299.253,300.303,301.916,303.333,302.844,302.167,301.652,301.696,301.342,300.065,298.444
1981,297.348,298.648,300.268,301.93,302.74,303.197,301.999,301.707,300.974,301.41,300.115,298.041
1982,297.325,298.901,300.412,301.793,302.385,303.293,302.088,301.765,301.447,301.194,299.834,298.378
1983,297.819,299.559,300.722,301.804,303.227,303.149,301.943,301.535,301.07,301.12,299.941,298.274
1984,298.05,298.931,300.354,301.869,302.599,302.909,301.404,301.859,301.198,300.943,299.719,298.227
1985,297.96,299.121,300.581,302.259,303.429,302.786,301.471,301.753,301.412,300.709,299.298,298.526
1986,297.578,298.27,300.148,301.609,303.084,303.234,302.032,301.487,301.896,300.82,299.616,298.562
1987,297.955,298.239,299.85,301.655,302.448,303.804,302.552,301.86,301.894,301.067,300.15,298.611
1988,298.135,299.611,300.819,302.232,302.971,303.138,301.678,301.518,301.174,301.46,300.58,298.346
1989,297.476,298.461,299.882,301.738,302.715,302.339,301.345,301.366,300.88,301.353,300.048,298.104
1990,297.941,298.683,300.357,301.94,302.077,302.184,301.457,301.328,301.605,300.886,299.921,298.636
1991,297.855,299.423,300.507,302.02,302.486,302.16,301.671,301.612,301.626,300.496,298.974,297.94
1992,297.029,298.735,299.902,301.351,302.723,302.738,302.197,301.163,301.703,301.603,299.369,298.172
1993,298.038,298.936,300.247,301.451,302.586,303.197,301.829,301.861,301.516,300.946,299.993,298.232
1994,298.006,298.807,300.44,302.025,303.084,303.04,301.826,301.312,301.651,300.231,299.372,297.985
1995,297.518,298.726,300.687,301.833,302.565,303.206,301.833,301.862,301.628,300.694,300.054,298.244
1996,298.028,298.478,300.038,301.613,302.665,301.959,301.47,301.13,301.414,300.615,300.103,298.58
1997,297.391,298.617,300.411,301.337,303.086,303.201,302.273,302.072,301.47,301.06,300.219,299.282
1998,298.781,299.651,301.031,302.121,303.864,303.535,302.305,301.61,301.501,301.193,300.228,298.604
1999,297.585,298.917,300.698,302.3,302.803,302.614,301.745,301.391,301.385,300.789,299.704,298.205
2000,297.76,298.899,300.026,301.722,303.24,302.099,301.626,301.104,301.589,301.51,300.181,298.16
2001,297.55,298.886,300.121,301.476,303.562,302.494,302.08,301.525,301.501,300.962,299.749,298.347
2002,297.935,298.503,300.237,301.78,303.208,302.479,302.93,301.143,302.079,300.707,299.674,298.254
2003,297.431,298.599,300.303,301.773,303.131,302.888,301.228,301.345,301.407,300.575,300.183,298.26
2004,297.42,298.793,300.269,302.037,303.021,302.698,301.369,302.148,301.397,300.535,299.723,298.139
2005,297.924,299.085,300.475,302.139,303.055,303.453,301.816,301.839,301.479,300.29,299.626,298.161
2006,298.086,299.092,300.743,301.709,302.623,302.416,302.054,301.507,301.292,301.415,299.47,298.572
2007,297.717,298.506,299.862,301.533,303.406,302.286,301.354,301.333,301.143,300.838,299.886,298.557
2008,297.761,298.532,299.991,301.77,303.772,302.387,301.617,300.916,301.425,301.098,299.942,298.594
2009,297.895,299.052,300.221,301.686,302.664,303.463,301.908,301.89,301.794,301.751,299.76,298.693
2010,297.984,298.484,300.798,302.525,303.397,302.908,301.352,301.452,301.368,301.025,299.986,298.411
2011,297.745,298.609,299.96,301.182,303.014,302.867,301.428,301.149,301.801,301.479,299.85,298.495
2012,297.451,298.29,300.505,301.848,302.919,303.109,301.473,301.288,301.297,301.057,299.391,298.269
2013,297.921,298.626,300.13,301.719,303.278,302.096,300.873,301.214,301.333,300.662,299.48,298.254
2014,297.908,298.104,299.836,301.654,302.816,303.64,301.85,301.635,301.284,301.116,300.11,298.477
2015,297.905,298.381,300.348,301.61,302.872,302.039,302.522,301.644,301.444,301.542,299.944,298.973
2016,298.356,299.458,300.665,302.18,303.456,302.337,301.689,302.093,301.279,301.701,299.818,298.555
2017,297.886,298.548,300.393,301.74,303.11,302.505,302.004,301.702,301.758,301.529,299.954,298.376
2018,297.48,298.167,300.098,301.648,302.635,302.779,301.701,301.134,301.588,301.429,300.147,298.203
2019,297.488,298.645,300.463,301.92,302.844,303.162,302.051,301.522,301.121,300.728,300.469,298.892
2020,298.176,298.815,300.331,301.882,302.967,302.651,301.751,301.638,301.569,301.151,300.266,298.707
2021,297.95,298.477,300.231,301.806,303.27,302.606,301.641,301.796,301.587,301.631,300.003,298.604
2022,297.95,298.477,300.458,301.77,302.67,302.491,301.493,301.761,301.582,300.906,299.879,299.03
2023,298.046,298.972,300.073,301.993,303.016,304.02,301.858,302.294,301.881,302.021,300.427,298.722
