Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.199,295.634,299.869,304.957,305.632,304.463,301.633,301.119,301.747,302.588,298.94,293.851
1981,293.775,296.175,300.426,303.539,305.244,305.228,302.054,300.635,301.859,302.056,295.57,293.91
1982,293.508,295.476,299.232,302.527,304.215,305.469,302.791,301.312,302.492,303.452,297.572,294.327
1983,292.645,294.425,298.472,301.191,304.614,304.469,302.277,301.172,302.605,301.89,297.648,293.378
1984,291.898,293.419,300.796,304.379,304.824,305.019,301.697,300.176,300.696,301.128,298.191,294.178
1985,292.622,295.621,301.278,302.519,304.835,304.856,302.524,301.083,302.278,302.1,298.989,295.169
1986,292.928,295.391,300.159,303.541,305.391,304.691,302.887,301.03,302.156,302.402,299.262,293.525
1987,293.875,296.655,300.325,303.379,304.663,305.773,305.054,303.618,303.681,304.727,300.249,295.115
1988,294.899,297.151,299.713,304.079,305.465,306.105,302.147,301.426,302.006,301.819,297.447,294.52
1989,291.601,295.144,299.101,303.051,305.057,303.855,301.485,300.735,301.683,301.96,298.938,293.971
1990,294.023,295.81,298.544,302.981,305.107,304.991,302.752,301.191,301.126,301.929,298.486,294.058
1991,292.009,295.059,300.447,303.207,304.879,305.392,302.952,301.631,302.243,302.494,298.916,294.864
1992,293.082,295.173,298.986,302.142,305.0,305.341,302.432,301.192,300.787,301.192,297.299,295.334
1993,293.93,296.872,299.728,303.035,305.098,305.326,302.917,303.392,302.627,302.973,299.769,295.228
1994,293.939,295.548,301.604,302.953,305.086,304.235,300.963,300.476,300.137,301.973,298.513,293.492
1995,292.665,296.113,298.86,302.784,305.711,305.839,302.841,302.156,302.872,303.257,298.044,294.736
1996,293.364,296.414,301.589,303.383,304.96,304.712,302.536,301.078,302.26,302.496,297.558,294.477
1997,292.731,295.812,300.534,302.058,304.563,303.611,303.066,301.812,301.048,301.367,297.85,292.144
1998,292.431,295.358,300.371,303.912,306.329,305.148,302.48,302.002,301.577,300.933,296.74,293.696
1999,292.495,296.061,299.848,303.605,304.621,303.911,302.823,301.921,302.887,300.547,298.374,293.797
2000,294.076,295.331,300.106,303.849,304.869,305.258,301.843,302.094,303.009,303.934,299.808,295.275
2001,293.111,296.184,300.408,303.521,305.107,303.475,300.91,301.249,302.946,303.583,299.423,295.174
2002,293.062,295.606,301.339,303.465,305.536,304.913,303.027,301.153,301.37,303.798,299.311,295.768
2003,294.488,296.928,300.479,304.017,304.602,304.677,301.752,301.015,301.403,302.724,298.74,293.795
2004,293.44,296.113,302.111,303.736,304.951,303.932,303.017,300.237,301.887,301.041,300.082,295.83
2005,292.305,295.361,299.865,303.496,304.403,304.123,302.043,300.896,301.056,301.694,298.413,292.958
2006,293.699,298.741,299.774,302.646,305.09,304.877,301.755,300.149,301.149,302.163,299.218,294.93
2007,293.825,297.69,300.549,304.144,305.138,304.592,302.804,301.175,301.425,301.077,299.204,294.073
2008,291.632,293.648,300.687,303.235,304.498,303.754,302.343,300.562,301.376,302.105,298.354,295.807
2009,294.382,296.995,301.19,304.49,305.321,304.66,302.043,302.328,302.28,302.005,298.739,294.867
2010,294.268,296.656,301.712,304.681,306.039,305.484,302.03,301.094,301.025,302.766,297.752,292.847
2011,292.532,296.04,300.841,303.801,304.848,305.16,302.285,301.3,300.626,302.848,301.186,294.493
2012,292.379,294.349,299.519,303.499,304.712,305.007,303.414,302.405,301.153,302.36,297.961,295.496
2013,292.775,295.976,300.642,302.864,305.067,303.702,301.263,300.595,301.644,300.924,297.736,293.611
2014,292.053,295.489,299.696,303.458,305.197,305.952,303.098,301.359,301.027,303.214,300.802,293.783
2015,293.274,296.934,300.25,304.457,305.786,304.994,303.433,302.314,302.491,303.792,299.571,293.936
2016,294.647,296.693,301.45,303.035,305.749,305.236,302.492,301.069,301.548,301.332,298.722,296.536
2017,293.96,297.562,300.819,304.108,305.655,305.511,301.572,301.655,301.888,303.208,298.298,294.884
2018,294.837,297.868,301.485,304.296,306.092,306.185,302.607,301.267,301.516,303.499,299.98,293.949
2019,293.06,295.147,300.078,304.105,305.09,305.481,304.555,301.729,301.512,301.572,299.233,293.765
2020,291.834,296.684,299.307,304.478,305.645,304.927,303.013,301.46,302.321,302.651,297.457,294.33
2021,292.669,296.618,301.997,304.578,305.393,305.338,303.217,302.638,301.096,301.776,298.731,294.184
2022,292.669,296.618,302.237,305.005,305.977,305.827,301.657,301.56,301.819,302.783,298.961,295.058
2023,292.151,297.634,301.118,302.894,305.282,304.427,302.34,302.353,302.77,301.832,298.498,295.181
