Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.425,292.0,297.301,303.063,303.884,300.014,299.079,299.295,298.827,296.647,292.385,289.339
1981,287.852,291.753,295.643,300.252,301.031,301.423,298.751,299.166,299.005,296.047,291.525,288.217
1982,290.11,290.733,294.224,300.558,303.329,300.941,301.08,298.959,299.355,296.782,292.014,288.851
1983,287.588,290.847,296.839,299.48,302.231,303.303,300.152,299.535,299.17,296.292,291.456,288.075
1984,288.318,289.993,297.05,301.912,303.589,299.351,298.801,298.676,298.174,296.871,290.672,288.957
1985,289.071,290.863,298.401,301.833,303.304,302.217,298.561,299.163,298.697,296.118,291.63,289.675
1986,288.611,290.879,296.853,301.294,300.951,301.236,298.837,299.12,298.254,295.642,293.075,288.97
1987,287.656,291.874,296.052,300.647,303.108,303.952,299.41,299.655,299.256,297.039,292.511,288.201
1988,288.053,292.121,296.128,300.869,303.578,299.89,299.467,299.406,299.691,296.489,292.33,289.772
1989,287.169,291.494,296.132,301.85,303.436,301.015,299.149,298.971,298.931,296.843,292.286,287.997
1990,288.662,291.292,294.296,300.67,301.837,301.28,298.522,299.277,298.724,295.472,292.695,288.985
1991,287.451,292.788,296.113,300.11,303.817,301.218,300.02,299.151,298.749,296.592,291.164,288.12
1992,287.707,289.77,297.676,301.881,302.096,302.248,299.811,299.03,298.627,296.964,293.094,287.895
1993,288.52,292.639,295.554,300.255,302.323,301.691,300.307,299.482,298.305,297.26,292.529,288.064
1994,289.203,290.837,297.266,300.29,303.25,300.987,299.285,299.07,298.299,296.825,292.112,288.131
1995,287.358,291.137,295.534,301.151,303.844,303.289,299.759,299.416,298.604,297.089,292.464,289.189
1996,288.718,291.012,297.094,300.625,304.786,300.773,299.962,298.935,299.203,296.457,291.927,287.571
1997,287.172,290.826,296.882,299.183,303.692,302.349,299.437,299.074,298.81,295.855,293.339,288.491
1998,287.256,291.077,293.951,300.248,302.747,303.865,299.859,299.908,299.21,298.08,294.0,288.264
1999,287.284,293.147,297.608,303.155,302.063,300.834,299.442,298.932,298.59,296.965,292.175,288.756
2000,288.277,290.089,296.202,301.414,302.172,300.523,299.591,299.702,298.331,297.787,293.052,287.937
2001,286.976,292.261,296.076,300.459,302.342,299.584,299.226,299.683,299.348,297.599,294.114,288.078
2002,288.938,292.095,297.325,302.135,302.462,301.392,300.853,299.076,298.639,296.773,292.285,288.752
2003,285.861,291.744,295.811,302.337,303.846,302.243,299.908,299.814,299.221,296.993,291.722,288.26
2004,287.137,290.978,298.252,301.289,303.792,301.311,299.82,299.384,299.258,296.199,291.557,288.969
2005,288.549,292.607,297.496,301.506,303.618,304.388,299.586,299.894,299.47,297.075,291.682,288.317
2006,289.082,294.659,296.788,301.695,301.799,301.05,299.354,299.034,299.106,297.556,292.79,289.322
2007,288.389,291.711,295.178,300.939,301.402,301.805,299.522,299.493,299.143,296.854,292.825,288.612
2008,288.745,290.171,297.513,301.542,303.518,300.118,299.294,299.648,299.335,297.269,292.973,289.463
2009,289.841,293.372,297.762,302.572,302.157,303.943,300.125,300.035,299.79,296.319,292.799,288.692
2010,286.789,292.564,299.636,305.261,303.981,303.865,300.522,300.395,299.581,297.599,294.399,288.583
2011,287.232,292.449,298.392,300.317,302.991,301.022,300.248,299.26,298.821,297.182,292.575,287.985
2012,287.977,291.755,296.691,301.905,304.786,304.677,299.877,299.663,299.295,296.467,291.262,288.169
2013,287.375,291.376,296.638,300.948,303.317,300.489,300.099,299.491,299.503,296.689,291.515,288.533
2014,287.599,290.372,295.184,301.404,302.909,303.202,299.848,299.924,299.417,297.059,291.716,287.383
2015,287.987,292.409,296.014,299.649,304.118,302.113,299.813,300.113,300.595,298.136,293.974,289.292
2016,288.422,293.835,298.239,304.711,302.901,302.562,299.822,299.794,299.328,297.496,292.314,288.669
2017,288.696,292.2,296.239,301.924,303.444,302.745,299.42,299.85,300.428,298.146,292.525,289.189
2018,286.425,292.905,297.616,300.314,302.898,301.978,300.004,299.759,299.754,297.208,293.035,287.654
2019,288.134,291.946,296.403,302.021,305.356,304.221,300.766,300.007,299.274,296.906,293.383,288.195
2020,287.933,290.07,294.776,299.257,300.742,300.235,300.29,300.169,300.252,298.462,292.52,288.449
2021,287.567,289.924,298.116,302.113,300.121,300.262,300.108,299.937,299.149,297.782,292.278,289.116
2022,287.567,289.924,297.417,303.034,302.5,302.989,300.438,299.78,299.469,297.433,292.239,289.308
2023,288.993,293.097,296.918,301.423,302.954,304.261,301.057,299.941,299.909,297.434,293.63,289.333
