Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.29,295.021,298.733,303.739,305.396,300.83,299.514,299.67,299.641,298.249,294.596,292.421
1981,290.461,294.042,297.496,301.643,302.086,301.568,299.126,299.848,299.41,297.699,293.961,291.004
1982,292.918,293.827,296.658,301.56,304.03,301.853,301.281,299.111,300.31,298.483,294.742,291.726
1983,291.059,293.29,298.919,301.773,303.073,303.428,300.609,300.0,299.684,297.69,293.804,290.292
1984,290.822,292.878,299.071,303.217,305.173,299.89,299.265,299.099,299.407,298.359,293.443,291.371
1985,291.685,293.151,300.338,303.706,303.718,302.245,299.128,299.47,299.291,296.977,293.548,291.864
1986,290.76,293.448,298.609,302.865,302.459,301.816,299.426,299.852,299.472,297.181,294.559,291.484
1987,290.504,294.213,298.309,302.92,303.927,303.851,299.833,300.032,299.965,298.641,294.124,290.807
1988,291.285,294.703,298.522,302.603,304.781,300.84,299.944,299.971,299.965,298.329,294.687,292.27
1989,290.157,294.308,298.236,303.777,304.352,301.03,299.688,299.598,299.591,298.269,294.559,290.639
1990,291.648,294.498,297.247,302.057,301.759,300.882,298.731,299.951,299.54,297.3,294.804,291.511
1991,290.48,295.739,298.677,302.01,305.318,301.732,300.29,299.612,299.778,297.785,293.326,290.263
1992,289.826,292.921,299.82,303.215,302.606,302.373,300.137,299.434,299.33,298.058,294.678,290.691
1993,291.364,294.966,298.419,301.685,303.711,301.502,300.692,299.828,298.859,298.518,294.527,290.655
1994,291.949,293.555,300.233,301.41,304.406,301.06,299.385,299.38,299.303,298.18,294.192,290.899
1995,289.71,293.746,298.364,303.153,303.274,303.283,300.124,299.951,299.569,298.054,294.097,291.713
1996,291.798,294.305,300.042,302.832,305.567,301.291,300.308,299.374,300.26,297.858,294.306,290.508
1997,290.043,293.589,299.554,300.366,303.895,302.474,299.97,299.601,299.55,297.699,295.747,291.466
1998,290.236,293.626,296.283,301.814,304.368,303.974,300.385,300.211,300.044,299.183,295.639,291.086
1999,290.435,296.071,300.319,305.144,302.504,300.934,299.801,299.546,299.301,298.152,294.087,291.222
2000,291.315,293.161,298.534,303.42,303.101,300.902,299.986,300.188,299.37,298.893,295.437,290.64
2001,290.472,295.186,298.244,302.252,303.359,299.711,299.328,300.101,300.282,298.909,296.626,291.703
2002,291.749,295.272,299.634,303.465,304.624,301.854,301.258,299.473,299.36,298.152,294.428,292.236
2003,290.154,294.601,297.641,303.171,304.68,302.776,300.434,299.962,299.557,298.185,293.986,290.678
2004,290.731,294.094,300.252,302.624,305.103,301.55,300.025,299.571,299.809,297.492,293.979,291.566
2005,291.42,295.771,299.85,302.748,304.768,304.767,299.976,300.308,300.038,298.325,293.253,290.499
2006,291.576,296.834,298.685,303.216,302.539,301.812,299.907,299.249,299.671,298.734,295.337,292.252
2007,291.731,294.395,298.284,303.262,303.619,302.565,300.057,300.02,299.429,298.053,294.802,291.284
2008,291.462,292.695,299.314,302.836,304.014,300.176,299.714,299.877,299.62,298.441,295.202,292.619
2009,293.395,296.288,299.879,304.324,303.465,304.408,300.043,300.394,300.352,297.435,295.225,292.063
2010,290.443,295.75,302.185,306.697,304.368,303.713,300.813,300.77,300.308,298.799,296.676,290.936
2011,290.435,294.851,300.12,301.373,303.262,301.231,300.426,299.51,299.19,298.485,294.852,291.01
2012,291.143,294.743,299.435,303.003,305.814,304.49,299.86,299.845,299.989,298.053,294.254,291.365
2013,291.205,294.532,300.075,302.502,304.569,301.178,300.427,300.023,299.951,297.633,294.079,291.187
2014,291.209,293.905,298.481,303.494,304.087,303.513,300.213,300.025,299.96,298.372,294.458,290.693
2015,291.446,296.294,299.697,301.447,304.71,302.187,300.321,300.869,301.253,300.134,296.685,292.67
2016,292.166,297.468,300.916,306.836,304.569,303.243,300.307,300.313,300.187,298.785,294.644,291.708
2017,292.231,296.478,300.327,305.473,304.842,302.79,299.801,300.647,301.08,299.255,294.509,291.987
2018,290.939,296.782,301.055,301.628,303.133,302.433,300.281,300.378,300.426,298.366,295.457,290.25
2019,290.513,294.534,298.237,302.437,304.715,303.545,300.965,300.22,299.936,298.326,295.6,291.546
2020,291.59,293.463,297.717,301.282,302.564,301.077,301.161,300.622,301.278,299.669,295.922,292.342
2021,290.497,293.546,301.397,303.746,301.914,301.139,300.749,300.819,300.071,299.34,295.214,291.481
2022,290.497,293.546,300.803,305.384,303.518,303.073,300.758,300.354,300.524,298.599,294.623,292.636
2023,292.929,296.317,299.164,302.365,304.405,304.852,301.469,300.61,300.342,299.299,295.882,291.782
