Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,291.232,294.121,298.565,305.658,309.048,303.424,300.139,299.219,300.7,300.551,295.237,290.288
1981,289.256,292.984,296.674,302.908,306.541,306.316,299.831,299.358,300.189,298.435,293.256,289.989
1982,290.374,291.032,296.25,302.769,305.274,305.947,302.148,298.965,299.636,299.135,293.623,290.88
1983,288.545,290.907,297.261,301.568,306.163,305.618,301.189,300.022,299.941,297.19,292.095,289.927
1984,289.521,290.108,298.864,304.26,308.958,304.749,300.705,298.474,298.807,297.853,293.053,289.864
1985,289.95,292.592,299.979,304.253,307.939,305.897,300.819,298.878,299.383,296.528,293.095,291.245
1986,289.49,291.655,297.509,303.531,306.289,305.279,299.671,299.423,300.92,299.183,294.559,289.333
1987,289.674,293.583,298.807,304.418,305.378,306.661,302.347,300.825,300.621,298.422,293.021,289.098
1988,289.951,293.283,297.934,304.07,308.449,304.398,300.208,299.912,301.25,299.106,294.064,290.335
1989,288.282,292.281,296.982,302.557,307.272,303.396,300.993,299.424,300.752,298.763,294.139,289.227
1990,290.981,291.89,296.405,303.598,306.171,303.065,299.453,299.964,298.757,298.806,294.495,290.597
1991,289.15,293.856,298.988,302.721,308.186,306.193,302.003,298.758,300.521,299.197,293.81,289.921
1992,289.667,291.284,298.637,303.785,306.791,307.339,302.481,299.428,299.016,298.056,294.348,290.42
1993,290.215,292.85,296.857,303.904,308.614,305.293,301.018,299.792,298.75,298.289,293.757,289.232
1994,290.521,290.952,298.577,301.972,307.808,304.454,299.383,298.898,299.239,298.614,294.325,290.063
1995,288.184,292.471,296.337,302.825,307.022,307.861,301.753,299.533,300.495,300.29,294.513,291.183
1996,289.843,292.842,299.624,303.582,307.315,307.089,301.482,298.939,300.135,298.115,294.642,289.803
1997,289.328,292.642,298.954,302.378,306.063,304.445,300.34,299.537,299.884,297.684,295.061,288.856
1998,289.621,293.259,296.873,304.338,308.239,306.183,300.842,300.518,300.569,300.423,294.609,290.613
1999,289.222,293.356,299.127,305.618,307.965,304.09,301.055,299.503,299.1,297.668,295.314,290.037
2000,290.51,291.409,297.522,305.238,305.603,304.316,300.165,300.501,300.023,299.53,295.071,289.542
2001,288.912,292.794,298.448,303.306,307.023,302.309,299.466,300.128,302.305,300.202,295.214,291.527
2002,289.073,292.726,298.95,304.766,308.818,305.2,303.414,299.393,300.092,298.531,293.928,291.998
2003,288.793,292.549,297.645,304.798,307.592,306.3,300.912,299.794,298.723,297.954,295.55,290.862
2004,289.514,293.191,300.949,306.152,307.601,304.665,301.326,299.009,301.547,298.588,294.844,290.338
2005,288.891,293.538,299.439,303.041,307.264,307.25,300.211,300.214,299.847,298.536,293.928,288.977
2006,289.715,295.338,296.427,303.013,306.68,305.392,300.032,299.022,300.567,300.157,294.911,291.191
2007,289.815,293.293,297.328,304.375,306.796,305.319,300.352,299.895,300.274,298.063,294.294,290.19
2008,288.691,290.183,298.474,302.741,306.395,301.465,300.566,299.896,300.231,300.533,295.499,292.808
2009,291.462,294.015,299.266,303.572,307.444,307.187,301.207,300.601,301.122,297.882,293.669,290.996
2010,288.377,292.979,299.679,305.034,308.586,307.24,301.831,300.171,299.636,299.221,295.764,289.837
2011,287.859,292.638,298.304,302.365,307.919,303.356,300.23,299.923,299.862,299.327,295.25,290.333
2012,287.881,291.804,296.765,302.745,306.515,306.088,300.799,299.065,300.053,299.703,293.78,290.707
2013,288.041,291.737,297.118,302.6,307.746,302.665,299.429,299.019,301.271,298.724,293.816,290.74
2014,288.984,291.547,297.315,303.341,306.406,307.447,302.391,300.559,300.337,299.571,295.852,289.365
2015,287.526,293.555,296.617,303.195,308.528,304.654,300.89,300.226,301.114,300.458,296.831,290.674
2016,290.645,293.62,299.325,305.051,307.645,306.4,300.377,299.231,300.97,300.527,294.794,290.759
2017,289.79,293.427,297.817,304.275,307.584,305.065,300.549,300.303,300.717,299.749,293.761,290.187
2018,289.571,293.524,298.694,303.544,308.678,305.541,300.605,299.862,299.25,300.886,295.824,289.164
2019,288.533,292.487,297.553,304.892,307.914,307.797,301.785,299.725,299.586,298.562,296.274,289.33
2020,288.42,292.385,296.85,303.491,306.961,302.657,302.253,299.95,301.551,300.019,293.45,289.981
2021,287.841,292.12,298.317,302.701,303.957,303.164,301.821,299.788,300.12,298.696,294.081,290.366
2022,287.841,292.12,299.25,305.409,307.668,305.675,300.745,299.88,300.203,297.663,293.289,290.546
2023,288.196,293.056,296.977,301.111,303.852,304.348,301.413,300.06,300.413,299.377,295.142,290.921
