Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.269,291.062,294.098,297.209,299.042,301.409,301.991,301.576,300.973,297.84,294.413,291.966
1981,289.957,292.31,294.512,297.172,300.088,302.05,301.692,302.192,301.29,298.963,295.58,291.256
1982,291.235,291.013,295.167,295.955,299.874,301.025,301.488,302.084,300.816,298.665,294.549,290.38
1983,288.379,290.126,293.659,295.455,298.78,301.569,301.848,301.877,300.674,299.378,295.476,290.21
1984,288.8,292.352,296.335,297.334,298.861,301.749,301.035,301.906,299.59,298.736,294.191,290.774
1985,289.734,291.01,294.848,297.038,299.665,301.163,300.872,302.165,300.328,299.338,294.466,291.72
1986,290.486,292.725,296.388,296.455,300.172,302.617,301.71,301.991,300.336,297.609,295.067,291.374
1987,291.119,293.614,294.573,296.842,299.513,302.04,301.189,301.636,300.637,298.516,295.451,291.488
1988,290.639,293.279,295.206,297.394,299.27,302.25,301.401,301.1,300.994,298.631,295.555,292.546
1989,289.601,290.875,295.681,296.037,300.551,301.444,301.034,301.688,300.548,298.956,293.858,289.629
1990,291.375,291.33,293.431,294.994,300.007,301.128,301.6,301.974,300.115,298.13,296.132,292.011
1991,289.404,292.473,295.517,296.961,298.02,301.296,302.099,301.846,300.478,298.875,294.076,289.751
1992,289.283,289.491,293.916,296.928,298.68,301.208,301.336,302.024,300.977,298.104,294.617,289.402
1993,289.022,292.024,294.112,297.38,298.764,300.713,301.788,301.41,300.863,298.963,295.347,292.06
1994,290.705,291.526,294.063,297.48,300.502,301.794,302.836,302.544,301.84,297.948,294.675,290.199
1995,289.397,291.455,295.345,296.885,299.582,301.453,301.441,301.914,300.333,299.357,295.833,291.263
1996,289.784,292.457,294.831,297.861,298.612,301.558,301.175,301.687,301.371,299.0,295.461,291.276
1997,289.262,289.749,294.3,296.491,298.875,300.293,301.82,302.166,299.913,298.381,294.811,291.157
1998,289.496,292.007,294.098,297.761,301.151,300.726,301.838,301.606,301.725,300.505,296.498,292.438
1999,290.892,295.411,297.405,299.296,300.094,302.042,301.631,301.34,301.444,299.387,295.989,291.902
2000,289.789,291.102,293.793,296.656,299.865,301.506,302.062,301.456,300.447,299.459,294.972,291.281
2001,290.179,292.659,295.5,296.523,300.096,301.578,302.24,302.384,301.286,298.817,295.38,290.871
2002,289.927,293.36,295.452,296.833,299.66,301.427,301.473,301.492,301.245,299.105,295.381,291.363
2003,289.488,291.986,294.289,297.279,299.131,301.148,301.668,302.3,301.173,298.824,295.052,291.28
2004,290.209,292.166,295.84,296.458,299.265,301.216,300.626,302.452,300.879,297.865,294.699,291.053
2005,289.778,292.265,294.195,296.758,298.165,302.134,302.287,301.845,302.419,299.417,295.046,291.538
2006,290.004,293.022,295.632,296.89,300.354,301.191,302.825,303.214,301.524,299.593,294.72,291.115
2007,290.006,291.524,295.826,296.683,301.074,300.985,301.841,302.38,300.981,299.331,295.609,291.04
2008,290.062,290.423,294.397,297.159,300.428,301.287,301.976,301.41,301.659,299.098,294.438,292.226
2009,291.538,293.446,295.629,297.971,300.348,302.068,302.791,301.792,302.557,299.866,295.139,291.201
2010,290.354,292.582,294.818,296.499,299.022,300.49,301.915,302.323,301.152,299.742,295.541,291.001
2011,289.151,292.54,295.013,297.742,300.391,301.92,301.84,302.217,301.969,299.956,294.165,291.622
2012,289.336,292.439,294.625,296.212,300.499,301.056,302.061,302.45,300.672,298.707,294.752,290.865
2013,289.572,294.138,296.843,297.182,299.479,302.965,302.22,302.411,302.144,298.908,294.085,290.871
2014,290.363,291.75,296.045,299.136,299.425,302.251,302.807,301.732,301.222,300.305,296.505,292.609
2015,291.952,293.352,296.93,296.899,299.64,301.234,302.868,301.736,301.888,300.054,295.183,290.788
2016,290.002,293.269,295.676,296.889,299.485,302.329,301.744,303.833,301.728,300.705,296.445,292.928
2017,291.518,293.747,294.729,297.803,300.149,301.94,302.719,302.686,302.25,300.31,296.454,293.142
2018,291.138,293.038,295.747,298.429,300.033,302.668,302.834,302.956,301.905,298.761,294.254,291.715
2019,290.707,292.377,294.86,298.076,298.817,302.709,301.852,303.964,301.563,299.338,297.024,291.275
2020,289.992,292.535,296.26,297.442,299.324,301.224,301.777,303.241,301.977,301.175,295.598,291.627
2021,290.557,290.641,296.88,298.984,299.858,301.703,302.672,302.224,302.885,301.549,295.596,292.575
2022,290.557,290.641,297.86,296.827,300.059,300.983,303.372,303.526,301.86,299.462,295.531,292.638
2023,290.827,293.341,295.627,298.312,299.659,301.852,302.614,302.53,303.631,300.016,296.283,292.976
