Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,297.589,298.773,300.254,301.297,302.546,302.498,301.743,301.369,301.522,301.098,299.403,297.403
1981,296.311,298.21,299.887,301.527,302.158,303.031,301.792,301.754,301.056,301.556,299.768,297.076
1982,296.788,298.677,300.421,301.478,301.881,302.888,301.937,301.568,301.392,301.137,299.57,297.767
1983,297.28,298.77,300.263,301.181,302.44,302.924,301.881,301.598,301.088,301.147,299.593,297.388
1984,297.244,298.173,300.173,301.254,302.074,302.519,301.365,301.609,301.198,300.89,299.49,297.518
1985,297.187,298.779,300.374,301.782,302.622,302.873,301.407,301.462,301.028,300.42,298.946,297.876
1986,296.654,297.869,300.091,301.177,302.266,302.529,301.581,301.061,301.637,300.828,299.141,297.747
1987,296.951,297.733,299.563,301.004,301.96,303.409,302.294,301.63,301.601,301.008,299.511,297.783
1988,297.19,299.037,300.641,301.62,301.984,302.744,301.573,301.471,301.182,301.245,300.146,297.651
1989,296.737,298.166,299.873,301.447,301.975,302.071,301.269,301.11,301.023,301.104,299.497,297.151
1990,297.211,298.068,299.89,301.5,301.659,302.165,301.459,301.4,301.331,300.539,299.54,297.755
1991,296.99,299.331,300.667,301.534,302.041,301.878,301.712,301.421,301.483,300.232,298.506,296.974
1992,296.037,298.095,299.549,300.689,302.161,302.439,301.914,301.069,301.641,301.298,299.004,297.223
1993,297.483,298.399,300.032,301.179,302.229,303.08,301.725,301.945,301.52,300.801,299.431,297.366
1994,297.232,298.227,300.61,301.906,302.783,302.626,301.629,301.316,301.616,300.125,298.94,297.272
1995,296.641,298.359,300.675,301.788,301.789,302.689,301.624,301.772,301.596,300.448,299.45,297.461
1996,297.335,298.221,300.128,301.4,302.385,302.087,301.456,301.179,301.615,300.801,299.697,297.641
1997,296.528,298.314,300.302,301.214,302.721,302.966,302.078,301.767,301.499,301.174,300.133,298.304
1998,297.953,298.569,300.5,301.492,303.094,303.193,302.244,301.824,301.391,301.207,299.879,297.752
1999,296.814,298.702,300.647,301.901,302.401,302.333,301.514,301.21,301.225,300.703,298.991,297.3
2000,296.901,298.136,299.92,301.464,302.754,301.963,301.63,301.329,301.658,301.524,299.636,297.082
2001,296.773,298.673,300.063,301.441,302.904,302.32,301.728,301.402,301.657,300.761,299.273,297.359
2002,296.913,298.144,300.261,301.766,302.755,302.569,302.935,301.135,301.51,300.634,299.217,297.502
2003,296.418,298.244,300.055,301.398,302.25,302.616,301.334,301.39,301.284,300.384,299.57,297.299
2004,296.459,298.152,299.873,301.529,302.878,302.577,301.25,301.769,301.346,300.533,299.311,297.277
2005,297.287,298.659,300.279,301.932,302.917,303.416,301.828,301.779,301.229,300.095,299.028,297.259
2006,297.283,298.664,300.433,301.525,302.205,302.152,301.89,301.284,301.333,301.476,299.243,297.965
2007,297.19,298.102,299.895,301.232,303.076,302.307,301.542,301.493,301.11,300.713,299.589,297.903
2008,296.907,297.794,299.995,301.401,303.047,301.932,301.429,301.105,301.335,301.129,299.661,297.875
2009,297.37,298.941,300.006,301.504,302.389,303.197,301.633,301.826,301.827,301.454,299.602,297.897
2010,297.326,298.299,300.659,301.804,302.778,302.554,301.245,301.553,301.501,300.736,299.729,297.429
2011,296.632,298.042,299.845,300.926,302.643,302.494,301.263,301.229,301.756,301.512,299.454,297.579
2012,296.696,297.96,300.187,301.592,302.251,302.797,301.327,300.991,301.243,300.926,298.957,297.664
2013,297.187,298.064,299.972,301.358,302.614,301.973,301.254,301.228,301.384,300.404,299.181,297.64
2014,297.103,297.735,299.86,301.429,302.251,303.292,301.838,301.504,301.353,300.962,299.835,297.609
2015,296.71,297.938,300.002,301.354,302.757,302.006,302.224,301.771,301.47,301.503,299.538,298.391
2016,297.727,299.316,300.588,301.487,302.891,302.183,301.705,302.04,301.29,301.609,299.333,297.782
2017,296.942,298.134,300.118,301.279,302.401,302.354,301.853,301.86,301.861,301.366,299.509,297.382
2018,296.489,297.885,299.944,301.382,302.205,302.558,301.521,301.689,301.61,301.253,299.832,297.268
2019,296.183,298.039,300.16,301.433,302.182,302.578,301.678,301.349,300.942,300.678,299.995,297.826
2020,296.766,298.016,300.166,301.53,302.533,302.251,301.738,301.581,301.76,300.956,299.905,297.668
2021,296.862,297.936,300.052,301.353,302.893,302.588,301.702,301.749,301.362,301.389,299.608,297.616
2022,296.862,297.936,300.165,301.282,302.334,302.124,301.612,301.778,301.475,300.888,299.774,298.501
2023,297.38,298.603,300.01,301.599,302.587,303.495,302.034,302.351,301.788,301.984,300.083,297.925
