Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.228,297.16,299.967,303.692,303.726,300.912,299.577,299.027,300.036,301.04,299.348,295.347
1981,294.184,296.992,300.057,302.553,303.724,302.466,299.425,299.018,300.214,300.375,296.584,295.84
1982,295.428,296.317,298.968,301.543,303.085,302.715,300.517,299.246,300.013,301.409,298.584,296.987
1983,294.508,295.114,298.622,300.81,303.454,302.561,300.338,299.822,299.971,299.296,296.761,295.569
1984,294.273,295.495,301.309,303.293,303.992,301.689,299.51,298.262,299.528,299.734,296.904,295.744
1985,294.644,296.068,301.208,302.47,303.825,302.108,299.507,299.058,299.744,299.448,297.605,296.595
1986,295.432,296.676,300.345,303.025,303.461,302.066,299.657,298.77,299.916,300.791,298.329,294.907
1987,296.151,297.026,300.44,302.824,303.685,302.704,300.681,300.153,300.765,301.385,298.902,295.928
1988,296.082,297.334,299.561,303.294,303.939,302.605,299.661,299.799,300.271,300.051,297.756,296.286
1989,294.78,296.548,300.095,303.049,303.854,301.653,299.827,298.883,300.072,300.882,300.032,296.014
1990,296.69,296.783,299.058,302.506,303.363,301.839,299.606,298.892,299.273,300.058,298.329,296.243
1991,294.345,296.471,300.439,302.909,304.029,302.39,299.583,299.005,299.88,300.303,298.506,295.128
1992,294.912,295.075,299.695,301.926,303.831,302.623,300.496,299.448,300.045,300.218,298.731,296.943
1993,295.104,296.774,299.433,302.523,303.789,302.687,300.233,300.046,299.387,300.373,298.167,296.46
1994,295.945,295.79,301.827,302.165,303.773,301.749,299.004,298.902,299.379,301.27,298.518,295.645
1995,294.378,297.267,300.025,303.008,304.227,303.722,300.404,300.164,300.255,300.603,297.47,296.103
1996,295.47,297.463,301.6,302.547,303.397,302.705,300.134,299.164,299.807,299.352,296.957,296.129
1997,294.172,295.687,300.763,301.3,302.963,301.25,300.34,299.601,300.03,300.855,300.499,295.911
1998,296.099,296.464,300.313,303.416,304.964,302.928,300.248,300.067,300.309,300.632,298.484,296.113
1999,294.814,299.079,301.139,303.124,302.668,301.368,299.829,299.34,299.76,299.896,297.913,295.506
2000,295.359,295.708,299.286,302.894,302.33,301.783,299.71,299.958,300.234,300.401,297.87,294.501
2001,294.621,295.905,298.957,302.541,303.213,301.055,299.324,299.378,300.454,300.23,297.741,295.648
2002,293.993,297.603,300.378,303.161,304.001,302.019,300.287,299.049,299.696,301.709,298.51,296.113
2003,296.25,297.398,299.688,302.923,303.633,301.919,300.105,299.458,299.354,300.402,299.581,296.125
2004,294.858,297.074,301.498,302.701,303.904,301.827,300.009,298.804,300.563,299.355,299.209,296.133
2005,293.924,296.179,300.459,303.059,303.542,302.441,300.386,299.376,299.8,300.409,297.686,294.956
2006,295.526,299.028,299.935,302.224,303.66,301.923,299.735,298.893,300.522,300.876,298.671,297.244
2007,296.241,297.481,300.934,303.697,303.707,302.627,300.587,299.593,300.39,300.471,298.333,296.506
2008,294.286,294.941,300.929,302.85,303.069,301.577,300.003,299.334,299.702,300.277,299.186,297.248
2009,296.53,297.995,301.705,304.289,303.414,303.111,300.006,300.47,301.354,300.358,298.126,296.652
2010,296.041,297.59,301.367,304.146,304.969,302.758,300.374,299.846,300.429,301.002,299.586,294.249
2011,294.069,297.001,300.583,303.098,303.516,302.303,300.146,299.641,299.993,301.733,300.223,296.844
2012,293.776,296.616,299.91,303.434,303.325,302.728,300.545,299.761,300.178,300.518,296.983,296.578
2013,294.353,297.329,300.589,302.418,304.018,301.12,299.039,299.163,300.183,300.461,299.423,295.886
2014,295.31,296.454,300.334,303.494,304.46,303.864,300.729,300.078,300.437,302.407,300.096,295.859
2015,294.618,297.901,300.617,302.916,305.142,302.371,300.956,300.634,300.513,301.89,299.776,295.928
2016,295.407,297.743,301.653,303.438,304.942,303.646,300.314,300.003,300.234,300.127,297.765,296.483
2017,295.505,298.198,300.7,302.842,304.674,302.433,299.941,300.274,301.359,301.624,298.273,296.437
2018,296.511,298.887,302.061,303.748,304.828,303.171,299.752,299.663,300.418,301.8,299.629,295.315
2019,294.16,296.655,300.094,304.324,304.108,303.336,300.924,300.048,300.231,300.888,299.95,297.318
2020,294.871,298.303,299.907,304.581,305.252,302.224,301.568,299.847,301.17,301.575,299.016,296.295
2021,294.194,296.866,301.866,303.744,303.959,301.928,301.135,300.103,299.981,300.778,300.089,295.491
2022,294.194,296.866,301.893,303.766,304.272,302.825,299.93,300.382,300.545,300.118,297.787,297.105
2023,294.499,297.937,299.965,303.093,304.186,303.266,300.172,300.454,300.753,301.74,299.707,297.165
