Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.882,295.029,297.508,299.805,300.599,297.11,296.038,295.853,295.956,295.202,292.625,291.774
1981,290.781,294.632,295.83,298.562,298.967,298.388,296.304,295.854,296.23,295.25,292.727,291.059
1982,291.836,294.312,296.851,298.627,299.315,298.726,296.898,295.689,296.224,295.131,293.277,291.978
1983,291.942,294.479,297.682,299.498,299.29,298.965,296.838,296.301,296.082,295.272,292.765,290.765
1984,292.363,293.386,297.071,298.533,301.269,297.947,296.107,296.064,295.786,295.117,291.814,292.319
1985,292.306,294.393,297.995,299.364,299.962,297.682,295.68,295.964,295.811,294.524,292.403,291.796
1986,290.496,293.022,296.503,298.652,299.67,297.752,296.253,296.04,296.519,295.299,293.198,291.593
1987,291.949,293.059,295.466,299.227,298.874,299.308,296.642,296.538,296.972,295.467,293.749,291.83
1988,292.328,294.34,297.497,298.261,300.471,298.672,296.126,296.359,296.492,295.18,292.576,291.59
1989,292.142,294.75,296.361,299.762,300.581,297.108,296.63,295.963,296.097,295.478,292.479,290.487
1990,292.574,293.861,295.374,298.252,297.279,297.182,295.893,296.273,296.167,294.701,293.675,291.208
1991,292.249,294.702,297.204,298.791,299.693,297.191,296.454,295.895,296.437,295.012,292.357,290.251
1992,290.644,293.587,298.162,299.18,299.254,297.802,296.51,295.659,296.025,295.128,293.233,290.256
1993,292.594,293.503,296.148,298.402,299.905,298.394,296.587,296.179,296.045,295.619,292.593,290.718
1994,292.236,293.882,297.874,297.829,299.847,297.515,295.494,295.56,296.069,294.926,292.11,290.401
1995,290.931,294.035,296.296,297.989,297.961,299.115,296.523,296.647,296.645,295.466,293.556,291.211
1996,292.032,293.785,297.557,297.982,300.618,297.972,296.56,296.05,296.455,295.32,292.984,291.237
1997,290.569,293.827,297.151,295.945,299.219,298.634,296.492,296.201,296.271,294.963,294.278,292.772
1998,292.578,293.63,296.231,298.451,300.259,299.07,296.974,296.629,296.661,295.746,293.998,290.746
1999,291.028,294.583,297.959,300.056,298.858,297.848,296.153,295.778,296.024,295.5,292.921,290.67
2000,292.291,293.522,296.403,299.511,299.228,297.025,296.449,295.891,296.326,295.731,293.003,290.564
2001,291.941,295.02,296.324,297.508,300.404,297.008,296.254,295.878,296.509,295.845,293.53,290.787
2002,291.417,293.989,296.925,298.301,300.872,297.923,297.32,295.713,296.532,295.234,292.826,292.07
2003,291.845,294.078,296.02,298.505,301.682,299.487,296.246,296.349,296.358,295.601,293.171,290.887
2004,291.112,293.207,297.68,298.41,299.136,297.626,296.357,296.153,296.532,295.035,292.69,291.148
2005,292.414,295.2,297.123,297.775,299.551,299.275,296.343,296.204,296.065,295.483,292.458,291.309
2006,292.149,295.071,296.466,298.861,298.557,298.271,296.78,295.901,296.383,295.697,293.538,291.785
2007,292.059,293.366,296.967,298.174,299.837,297.762,296.907,296.512,296.27,295.176,293.046,292.297
2008,292.232,293.589,296.058,298.127,300.596,297.008,296.214,296.099,296.106,295.432,293.635,292.433
2009,292.849,295.655,297.047,299.563,299.713,299.558,296.319,296.839,297.089,295.593,293.893,291.285
2010,291.736,294.375,297.98,299.947,299.682,298.623,296.181,296.63,296.394,295.373,294.428,291.151
2011,291.48,293.546,296.966,296.795,299.215,297.543,296.676,296.21,296.391,295.764,293.172,291.964
2012,291.821,294.732,297.722,298.508,300.087,298.767,295.748,295.759,295.993,295.1,293.147,292.14
2013,292.24,293.646,296.788,298.446,300.258,297.118,296.037,296.319,296.468,295.435,293.306,290.949
2014,291.754,293.159,296.264,298.705,298.683,298.835,296.457,296.588,296.318,295.499,293.848,291.416
2015,291.273,294.085,296.809,297.383,299.878,297.137,297.772,296.744,296.913,296.302,293.759,293.391
2016,292.44,295.747,298.036,301.037,299.837,298.124,297.101,297.419,296.867,295.98,293.501,292.538
2017,292.169,295.349,297.735,300.27,300.096,297.716,297.209,297.059,297.416,296.402,294.329,291.689
2018,292.12,294.76,298.145,297.98,298.486,298.07,296.523,296.12,296.637,295.981,294.105,292.053
2019,291.316,294.959,297.84,299.16,300.676,299.358,296.885,296.934,296.463,296.004,294.376,292.451
2020,293.092,293.955,296.268,298.177,299.397,298.13,297.357,296.558,297.487,296.357,294.317,291.768
2021,291.921,293.686,298.276,298.123,298.412,297.627,296.879,297.13,296.639,296.858,294.821,292.098
2022,291.921,293.686,297.911,299.53,299.34,298.718,296.46,296.938,296.658,295.603,293.76,293.452
2023,292.556,295.304,296.342,298.324,298.741,299.805,297.182,297.261,297.057,296.705,294.74,292.462
