Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.162,0.035,0.39,0.792,2.239,2.102,1.518,2.322,4.389,2.203,1.601,0.034
1981,0.062,0.007,0.718,1.017,1.647,1.088,3.165,2.18,7.994,5.128,1.687,0.451
1982,0.003,0.0,0.035,0.79,2.271,3.532,2.124,0.704,3.27,2.936,2.494,0.017
1983,0.0,0.0,0.0,0.0,0.531,3.096,1.099,3.265,3.562,1.37,0.253,0.795
1984,0.025,0.357,0.847,0.651,0.348,0.84,3.213,0.447,3.376,2.267,0.309,0.363
1985,0.34,0.0,0.225,0.355,0.914,0.857,2.652,1.624,1.29,3.441,0.579,0.18
1986,0.671,0.164,0.076,0.089,0.614,2.883,1.209,1.422,4.377,1.445,1.152,0.123
1987,0.049,0.0,0.156,0.178,1.309,2.33,0.301,2.832,4.553,4.66,2.046,1.295
1988,0.0,0.014,0.46,1.222,3.454,0.492,3.603,7.693,6.253,0.627,0.179,0.467
1989,0.001,0.0,1.074,0.23,0.888,0.82,7.918,1.096,5.174,0.844,0.694,0.345
1990,0.027,0.004,0.023,0.158,3.114,1.915,1.302,1.254,2.317,2.66,0.784,0.043
1991,0.003,0.0,0.0,0.037,0.144,4.812,1.13,1.28,2.755,4.073,1.673,0.008
1992,0.011,0.0,0.0,1.084,1.134,2.55,2.112,2.525,1.957,2.577,2.4,0.012
1993,0.0,0.001,0.173,0.182,0.769,1.575,1.574,3.602,2.784,4.001,1.609,1.556
1994,0.197,0.204,0.0,0.68,1.091,0.92,2.696,1.551,1.735,5.933,0.768,0.13
1995,0.322,0.0,0.06,0.599,1.671,0.855,4.331,5.631,3.453,2.059,0.267,0.009
1996,0.029,0.0,0.0,2.207,0.55,4.608,1.292,2.392,6.261,5.449,0.263,0.78
1997,0.312,0.0,0.171,0.53,1.248,3.7,0.925,2.042,3.668,1.341,2.08,1.464
1998,0.0,0.0,0.0,0.361,1.162,0.683,4.088,6.556,4.015,3.547,1.3,0.137
1999,0.001,0.207,0.0,0.379,1.427,1.052,1.781,3.18,6.293,3.886,0.89,0.038
2000,0.008,0.608,0.004,0.199,1.444,2.792,1.616,2.969,3.213,3.666,0.336,0.22
2001,0.003,0.0,0.005,1.465,0.486,1.198,1.59,1.718,7.31,4.679,0.368,0.142
2002,0.094,0.217,0.086,0.171,2.256,1.878,0.732,1.244,1.848,4.987,0.374,0.021
2003,0.0,0.038,0.747,0.305,0.101,0.729,1.372,1.791,0.686,5.26,0.177,0.101
2004,0.063,0.003,0.41,1.447,5.767,0.444,3.4,0.789,3.494,1.665,0.222,0.001
2005,0.196,0.036,0.041,1.249,3.011,2.075,4.963,4.348,4.334,6.492,1.106,0.135
2006,0.004,0.0,1.623,0.631,3.631,2.175,1.301,0.902,4.076,1.472,3.015,0.015
2007,0.0,0.004,0.101,1.086,3.26,6.359,2.769,3.879,6.324,3.825,0.29,0.383
2008,0.0,0.724,2.793,0.127,2.891,2.203,3.096,4.753,4.006,2.259,1.994,0.0
2009,0.0,0.0,0.257,0.56,3.623,1.676,0.815,5.308,5.77,1.484,2.211,0.308
2010,0.825,0.0,0.104,1.317,2.212,1.97,5.826,4.484,2.4,2.88,4.591,0.221
2011,0.001,0.083,0.0,1.938,2.467,1.915,3.254,3.014,0.821,2.841,0.837,0.137
2012,0.003,0.0,0.091,2.284,0.999,0.884,2.843,2.832,2.565,2.548,1.142,0.241
2013,0.0,0.44,0.093,0.624,4.068,1.772,1.702,2.008,6.434,1.733,0.299,0.001
2014,0.0,0.081,0.415,0.783,2.683,2.195,1.226,3.573,3.15,3.489,0.817,0.264
2015,0.012,0.062,0.567,1.942,2.971,1.939,1.004,2.058,4.059,2.605,2.87,0.114
2016,0.303,0.0,0.145,0.049,3.047,3.239,2.673,1.259,1.716,0.461,0.026,0.787
2017,0.023,0.0,0.489,0.529,0.748,3.292,1.556,2.831,5.99,7.111,0.299,0.046
2018,0.001,0.037,0.514,0.573,1.587,1.607,0.855,1.076,4.817,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
