Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.302,0.811,2.949,1.581,5.844,11.254,10.67,7.326,7.105,2.6,0.002,0.052
1981,0.963,1.753,1.584,2.442,8.863,3.65,10.885,9.894,8.866,0.057,0.345,1.562
1982,0.419,1.077,3.008,3.008,1.4,10.182,6.193,10.78,3.661,1.311,0.185,0.0
1983,0.062,0.542,0.31,1.075,2.822,2.347,4.713,4.028,4.706,3.036,0.01,0.356
1984,1.034,0.083,0.024,1.592,2.418,11.872,6.18,9.556,3.711,1.477,0.0,0.003
1985,0.196,0.366,0.116,0.659,1.761,5.944,5.837,7.035,5.727,2.759,0.052,0.006
1986,0.181,0.263,0.122,1.467,4.934,4.644,8.433,3.362,6.328,5.77,1.292,1.432
1987,0.155,0.122,0.259,1.687,2.821,3.907,7.628,7.906,6.622,1.203,0.721,0.083
1988,0.011,1.036,0.834,0.874,1.683,9.79,4.956,6.608,4.498,0.811,0.837,0.021
1989,0.018,0.042,0.211,0.129,2.434,5.867,6.447,4.761,6.727,1.665,0.074,0.576
1990,0.0,1.526,1.462,1.32,3.438,6.015,11.822,5.052,9.195,2.882,0.388,0.016
1991,0.18,0.018,0.562,0.056,0.305,5.336,6.027,6.27,9.504,2.173,0.08,1.243
1992,0.167,0.617,0.003,0.385,3.21,4.888,5.552,6.235,3.966,0.796,0.138,0.019
1993,0.356,0.229,0.894,2.387,3.208,5.761,5.484,7.082,7.389,1.998,0.423,0.0
1994,0.44,1.079,0.253,1.015,1.861,7.6,10.386,6.804,2.933,2.421,0.254,0.0
1995,0.398,0.644,0.468,0.183,2.886,4.239,5.287,7.291,9.088,1.039,2.86,0.158
1996,0.454,0.363,0.16,0.66,0.563,6.282,5.323,9.894,2.351,2.077,0.0,0.002
1997,0.468,0.516,1.275,2.568,2.074,7.486,10.717,11.639,5.26,0.777,0.549,0.615
1998,1.262,1.435,2.967,0.835,2.727,3.604,8.451,7.143,7.403,4.634,2.137,0.0
1999,0.0,0.005,0.081,0.046,4.018,6.769,9.727,10.05,7.519,5.458,0.033,0.0
2000,0.21,1.201,0.14,1.55,5.59,6.34,7.677,5.903,7.002,2.329,0.005,0.001
2001,0.013,0.146,0.894,0.909,6.289,11.102,8.366,6.96,6.034,3.241,0.308,0.0
2002,0.671,0.046,0.755,1.308,3.764,7.835,5.864,8.93,6.81,1.674,1.024,0.039
2003,0.034,0.61,2.32,0.719,2.409,6.948,6.964,4.967,5.249,6.932,0.331,0.401
2004,0.241,0.012,0.259,2.571,1.843,7.623,7.72,8.431,7.528,4.267,0.0,0.006
2005,0.735,0.344,1.415,0.828,2.352,2.62,7.841,6.378,5.039,7.945,0.011,0.446
2006,0.0,0.001,0.171,1.659,4.862,8.721,10.991,7.519,9.938,0.961,0.216,0.015
2007,0.015,1.583,0.466,1.291,3.187,7.406,20.897,8.486,12.438,2.164,0.747,0.0
2008,1.204,0.257,0.175,1.311,4.116,11.193,9.264,7.905,7.022,1.859,0.003,0.0
2009,0.158,0.042,1.017,0.082,6.703,2.39,10.113,11.292,9.504,3.217,0.411,0.03
2010,0.0,0.808,0.483,1.054,4.713,4.516,6.246,3.914,8.683,2.395,0.23,1.55
2011,0.089,0.076,0.78,3.288,6.274,14.401,6.067,12.76,11.302,1.166,0.138,0.045
2012,1.451,0.317,0.69,2.111,1.742,3.97,9.634,8.6,7.989,2.004,1.847,0.5
2013,0.041,0.509,0.394,1.815,7.38,11.288,8.026,9.852,7.529,10.211,0.0,0.0
2014,0.041,1.115,0.55,0.356,3.535,4.962,7.632,11.083,6.647,2.422,0.0,0.181
2015,0.836,0.355,0.775,3.333,2.877,5.97,16.816,6.118,4.76,0.359,0.008,0.105
2016,0.592,1.089,0.551,0.088,3.968,4.586,10.741,13.64,10.55,0.899,0.105,0.0
2017,0.054,0.0,0.864,1.716,3.964,8.181,21.345,11.783,6.723,8.795,0.476,0.244
2018,0.0,0.06,0.263,4.246,1.816,6.945,10.586,10.313,5.748,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
