Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.669,2.329,4.178,1.135,4.315,13.769,13.595,8.31,10.72,5.13,0.007,0.122
1981,0.841,2.056,5.857,2.91,6.361,7.528,11.956,12.517,8.259,0.39,0.361,1.061
1982,1.33,1.464,3.645,1.8,0.949,9.313,4.894,12.453,4.352,0.93,0.329,0.0
1983,0.012,2.234,1.145,2.463,1.594,5.04,5.269,4.402,9.983,3.522,0.039,0.65
1984,0.792,0.27,0.031,1.424,2.184,10.502,8.908,16.45,4.2,1.521,0.0,0.0
1985,0.69,1.777,0.174,0.448,2.745,6.768,5.038,15.733,11.893,5.801,0.211,0.0
1986,0.847,0.866,0.369,2.399,2.984,7.625,11.915,6.952,9.933,6.526,1.907,0.44
1987,0.246,0.281,0.526,1.656,3.457,3.488,6.884,5.782,3.553,2.065,3.168,0.099
1988,0.007,1.075,0.463,3.242,1.961,9.868,7.052,7.127,7.6,2.005,0.546,0.017
1989,0.002,0.223,0.542,0.273,4.145,11.779,7.037,9.639,4.997,3.301,0.01,0.061
1990,0.0,3.785,3.47,2.568,5.266,8.446,8.855,9.466,10.253,6.401,2.612,0.003
1991,0.051,0.001,0.405,0.285,0.393,6.365,10.047,12.677,4.882,4.16,0.791,0.851
1992,0.866,1.421,0.007,0.339,5.672,8.259,10.985,10.138,8.777,3.515,0.159,0.012
1993,0.095,0.268,1.103,3.064,4.548,8.002,9.158,11.393,11.896,2.146,0.789,0.0
1994,0.207,1.261,0.615,1.815,1.638,11.675,14.892,10.607,6.893,3.684,0.681,0.0
1995,0.574,1.526,1.12,0.667,11.459,5.587,7.075,7.721,8.068,7.152,4.804,0.031
1996,1.294,0.347,0.106,0.403,0.876,6.668,10.058,10.86,2.757,4.294,0.105,0.014
1997,0.873,0.486,1.849,3.908,2.435,9.669,9.154,16.593,7.049,1.03,0.873,1.064
1998,1.082,1.621,2.13,1.336,2.475,5.869,7.385,6.236,10.853,5.361,2.665,0.0
1999,0.002,0.003,0.022,0.095,4.852,9.268,7.947,9.286,10.529,7.906,0.234,0.0
2000,0.109,2.926,0.006,1.498,5.08,9.631,7.972,6.066,9.133,2.38,0.004,0.0
2001,0.002,0.554,1.774,1.62,6.398,11.61,14.66,10.517,5.889,4.126,1.128,0.0
2002,1.058,0.026,1.16,0.978,2.655,6.345,5.297,8.907,11.811,1.897,1.623,0.016
2003,0.002,0.555,1.927,0.457,2.658,8.51,9.706,7.235,6.899,13.487,0.971,0.801
2004,0.195,0.071,0.169,3.356,2.368,7.563,8.245,10.207,6.505,7.094,0.0,0.003
2005,0.666,0.213,1.082,2.817,2.633,6.887,10.746,7.386,15.559,8.812,0.142,0.424
2006,0.002,0.0,0.329,1.752,3.668,10.897,11.522,13.832,12.166,1.46,0.673,0.0
2007,0.101,3.028,0.281,0.929,3.317,10.39,13.595,13.157,17.989,2.598,0.46,0.0
2008,2.257,0.846,0.299,1.867,3.507,18.088,10.208,8.582,9.508,0.823,0.033,0.0
2009,0.027,0.003,0.65,0.021,6.064,2.938,11.592,8.051,12.634,3.905,1.046,0.032
2010,0.028,0.165,0.669,0.194,5.162,5.574,5.89,6.502,10.931,6.081,0.452,1.176
2011,0.092,1.38,0.284,1.686,5.588,9.588,6.682,11.9,12.827,2.158,0.017,0.003
2012,2.474,0.19,0.104,3.268,0.883,6.228,9.043,7.791,6.248,1.664,2.216,0.694
2013,0.025,0.337,0.109,2.702,5.057,9.204,7.714,11.555,12.939,18.453,0.003,0.0
2014,0.012,2.054,1.268,0.66,9.151,7.132,13.428,14.369,7.595,4.079,0.0,0.822
2015,1.318,0.278,1.487,4.32,1.588,9.59,18.814,7.748,5.223,0.888,0.062,0.693
2016,0.159,1.716,0.688,0.486,6.233,6.903,10.707,13.363,9.959,3.409,2.124,0.0
2017,0.085,0.001,2.698,1.042,5.144,6.711,16.802,9.118,9.56,8.738,1.917,0.804
2018,0.0,0.071,0.522,5.476,4.271,7.461,13.012,9.759,10.677,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
