Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.044,0.062,0.353,0.564,4.784,2.196,4.352,4.062,5.322,2.63,2.031,0.164
1981,0.349,0.064,2.135,0.733,3.844,3.108,4.835,3.975,7.327,4.337,1.467,0.992
1982,0.008,0.0,0.095,2.568,2.945,4.751,2.166,2.595,4.22,3.994,1.297,0.057
1983,0.0,0.0,0.0,0.007,1.765,4.279,1.466,3.468,5.733,1.565,0.291,2.011
1984,0.164,1.333,2.042,1.344,1.331,1.11,3.236,1.389,3.27,5.561,0.446,0.487
1985,0.856,0.0,0.386,0.377,2.027,2.584,3.168,2.36,2.992,2.109,2.427,0.236
1986,0.758,0.433,0.108,0.266,1.76,3.572,1.818,2.819,9.164,2.578,2.4,0.446
1987,0.052,0.003,0.49,1.34,2.003,2.624,1.381,4.285,2.961,4.604,1.592,1.903
1988,0.001,0.001,0.611,2.077,3.024,0.987,6.475,6.809,8.409,0.647,1.026,0.736
1989,0.012,0.0,0.337,0.299,2.104,1.664,5.999,2.012,6.488,4.795,0.74,0.338
1990,0.127,0.026,0.119,0.817,4.528,1.838,1.476,3.229,2.818,3.023,0.55,0.022
1991,0.003,0.0,0.001,0.215,0.256,6.105,2.292,3.289,5.64,6.117,2.952,0.034
1992,0.024,0.0,0.0,0.632,2.346,5.001,3.087,3.155,4.275,3.882,2.318,0.115
1993,0.0,0.061,0.628,0.951,2.485,3.919,2.904,2.488,6.25,4.758,1.582,2.201
1994,0.073,0.246,0.009,0.59,1.886,1.631,5.113,1.889,2.268,5.587,1.154,0.355
1995,0.589,0.001,0.341,0.926,3.956,2.605,3.35,6.186,6.103,3.677,0.63,0.043
1996,0.197,0.0,0.04,2.667,2.494,6.757,1.666,7.377,7.723,3.62,0.282,1.384
1997,0.213,0.0,0.484,1.676,2.618,3.279,1.433,4.28,6.414,3.224,4.547,1.208
1998,0.001,0.005,0.011,1.881,3.131,2.578,6.553,9.875,6.016,5.127,1.842,0.934
1999,0.003,0.348,0.05,1.903,4.227,2.793,3.577,2.453,6.179,4.864,1.499,0.201
2000,0.022,1.663,0.04,1.542,1.98,2.455,3.986,6.028,7.144,6.07,0.652,0.498
2001,0.039,0.003,0.028,7.796,1.565,1.279,3.626,2.03,7.684,4.026,1.183,0.403
2002,0.171,0.333,0.036,0.273,4.569,4.272,1.26,1.432,2.681,5.657,1.07,0.152
2003,0.001,0.112,0.42,2.079,0.199,2.525,2.676,3.662,2.031,5.73,0.884,0.119
2004,0.163,0.005,0.189,1.522,7.476,1.382,7.128,2.106,7.222,4.019,0.856,0.029
2005,0.119,0.186,0.322,2.642,5.096,1.706,5.148,5.846,5.898,12.984,2.276,0.535
2006,0.064,0.0,2.12,1.004,4.723,4.211,1.678,1.634,2.474,2.275,2.143,0.075
2007,0.025,0.048,0.047,3.471,3.427,2.613,6.215,5.666,7.317,4.784,0.955,1.302
2008,0.089,0.64,3.063,0.669,3.634,1.813,7.091,8.383,3.587,5.089,2.423,0.044
2009,0.025,0.0,0.528,1.273,4.924,3.375,1.51,4.517,8.567,1.145,2.144,0.698
2010,0.148,0.0,0.125,3.375,2.743,3.204,3.899,5.101,4.84,4.04,4.74,0.461
2011,0.007,0.465,0.019,3.577,2.061,1.143,2.319,4.098,3.136,3.232,1.341,0.27
2012,0.008,0.0,0.081,1.508,1.687,1.023,1.765,3.32,2.163,3.726,0.853,0.514
2013,0.0,0.433,0.427,0.767,5.106,2.648,3.928,3.574,8.158,2.876,1.612,0.072
2014,0.005,0.018,0.194,0.318,3.168,3.233,2.342,2.558,5.133,4.414,0.559,0.211
2015,0.044,0.074,0.697,3.028,3.331,2.365,1.186,2.545,3.466,2.867,6.877,0.29
2016,0.089,0.0,0.729,0.166,3.56,4.578,4.504,1.456,1.165,0.788,0.061,1.929
2017,0.142,0.0,1.051,0.906,4.501,1.988,2.052,6.983,8.857,7.859,0.984,0.366
2018,0.0,0.225,0.785,1.233,5.254,1.957,1.925,2.006,4.128,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
