Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.358,0.277,0.501,0.052,0.546,6.146,10.891,5.319,1.955,1.872,0.043,0.497
1981,1.105,0.302,0.46,0.042,1.83,4.59,10.501,5.043,2.342,0.019,1.624,0.09
1982,2.18,0.808,1.54,3.859,3.119,2.586,6.877,13.616,2.11,0.835,0.268,0.377
1983,1.037,0.126,0.148,1.711,1.703,2.408,6.336,6.992,8.082,2.227,0.0,0.409
1984,0.09,0.432,0.013,0.233,0.097,2.473,6.6,10.005,3.956,0.083,0.063,0.027
1985,0.525,0.002,0.016,0.342,0.388,5.06,11.335,6.28,8.34,5.283,0.0,0.669
1986,0.716,1.459,0.157,0.16,0.241,2.474,5.877,4.415,2.447,0.228,0.016,0.819
1987,0.981,0.272,0.136,0.022,0.91,0.363,2.356,3.693,1.835,0.655,0.0,0.126
1988,0.618,0.769,0.979,0.191,0.241,2.594,10.891,13.277,3.11,0.106,0.0,0.234
1989,1.229,0.171,0.723,0.009,0.146,1.378,3.087,4.711,4.064,0.081,0.241,0.275
1990,0.004,3.601,0.31,0.16,1.419,2.677,8.895,8.46,7.021,0.09,0.37,0.169
1991,0.05,0.839,0.239,0.064,0.362,2.235,2.409,12.969,4.397,0.001,0.244,0.968
1992,0.4,0.367,0.034,0.028,0.172,0.548,3.589,6.998,3.32,2.161,0.328,0.0
1993,0.434,0.551,0.643,0.113,0.38,5.97,5.995,3.492,4.741,0.015,0.002,0.0
1994,0.719,1.343,0.011,0.694,0.179,2.449,11.957,12.376,0.622,0.003,0.0,0.005
1995,1.691,0.682,0.334,0.021,0.001,3.141,4.203,11.787,3.941,0.027,0.029,0.094
1996,1.221,2.718,0.136,0.253,0.359,5.449,7.791,12.025,6.741,0.772,0.0,0.006
1997,0.196,0.069,0.241,1.122,0.717,4.788,5.146,5.572,1.338,1.201,0.557,1.754
1998,0.048,0.327,0.595,0.514,1.526,2.395,7.193,8.692,4.382,4.867,0.303,0.0
1999,0.984,0.045,0.009,0.001,0.241,1.13,9.878,4.087,6.956,0.736,0.001,0.1
2000,0.539,0.463,0.206,0.576,2.494,7.14,7.687,11.623,0.957,0.0,0.008,0.041
2001,0.247,0.566,0.126,0.271,1.293,5.523,13.298,2.893,0.811,0.259,0.015,0.035
2002,1.467,1.865,0.065,0.598,1.899,1.909,0.524,10.56,8.022,0.099,0.01,1.2
2003,1.003,0.601,0.201,0.252,0.121,2.132,12.233,11.703,10.883,1.168,0.025,0.66
2004,0.978,0.001,0.0,2.306,0.363,5.942,8.593,7.882,1.968,2.208,0.001,0.02
2005,0.647,1.202,0.947,0.646,0.391,3.503,9.758,4.43,12.764,0.029,0.004,0.074
2006,0.043,0.004,1.033,0.227,1.491,3.485,11.72,3.828,3.603,0.681,0.039,0.187
2007,0.024,2.774,1.063,0.045,1.95,5.288,13.327,6.858,5.887,0.032,0.009,0.04
2008,0.033,0.108,0.013,0.545,1.434,8.193,14.725,10.645,9.046,0.44,0.045,0.0
2009,0.039,0.215,0.096,0.291,0.803,2.161,7.188,11.395,7.046,2.873,0.654,0.114
2010,0.222,0.974,0.066,0.135,0.304,0.349,16.348,10.541,15.403,0.178,0.553,0.331
2011,0.074,1.304,0.071,0.611,1.617,9.685,9.374,12.247,7.672,0.065,0.0,0.085
2012,1.229,0.06,0.065,0.557,0.061,0.679,7.842,10.402,5.417,0.12,0.02,0.193
2013,0.964,2.903,0.331,0.076,0.655,11.932,15.083,11.186,4.112,2.211,0.049,0.401
2014,1.188,1.861,0.738,0.423,0.7,1.387,7.152,3.666,3.66,0.65,0.0,0.87
2015,1.626,0.521,3.1,1.08,0.297,8.477,9.382,8.444,3.86,0.351,0.025,0.035
2016,0.025,0.225,0.6,0.096,2.623,3.662,15.227,7.602,3.712,0.375,0.0,0.042
2017,0.872,0.068,0.4,0.229,0.849,3.087,11.0,6.969,6.685,0.0,0.0,0.078
2018,0.16,0.391,0.104,0.866,0.411,2.4,13.748,16.97,5.184,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
