Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.486,0.195,0.32,0.784,0.696,14.281,8.824,13.398,7.818,0.407,0.026,0.894
1981,1.343,0.1,1.453,0.114,2.003,8.002,14.931,13.242,13.302,1.124,0.09,0.372
1982,2.293,0.847,0.236,0.887,0.828,4.833,12.975,6.022,7.434,1.67,0.761,0.0
1983,0.119,0.708,0.054,0.168,0.433,5.862,12.552,7.565,8.777,2.189,0.018,0.169
1984,0.715,0.693,0.014,0.094,0.219,3.489,9.152,4.911,3.336,1.656,0.007,0.0
1985,0.652,0.105,0.072,0.68,0.498,6.126,7.635,8.046,2.195,6.618,0.0,0.147
1986,1.26,1.127,0.028,0.088,0.549,6.574,6.904,10.455,3.49,0.51,0.521,0.587
1987,1.297,0.073,0.462,0.013,0.506,3.693,7.43,8.831,1.761,2.544,2.135,0.246
1988,0.001,0.123,0.136,0.638,0.22,5.218,11.885,8.264,7.684,1.317,0.257,0.053
1989,0.0,0.0,1.629,0.015,0.087,6.642,10.381,7.862,3.451,0.929,0.016,1.61
1990,0.071,0.188,0.387,0.027,3.383,8.648,8.828,12.16,3.824,4.996,0.063,0.0
1991,0.0,0.0,0.011,0.005,0.001,7.295,10.724,8.069,1.536,1.033,0.445,0.168
1992,0.01,0.001,0.002,0.213,0.298,3.34,7.577,12.751,3.354,1.464,0.862,0.0
1993,0.0,0.193,1.679,0.086,0.598,5.44,11.933,6.305,9.074,3.347,0.001,0.162
1994,0.403,1.035,0.004,0.414,0.269,5.133,15.3,13.764,6.862,3.379,0.551,0.0
1995,2.419,0.022,1.636,0.209,0.426,5.178,12.282,7.222,8.813,3.892,0.042,0.003
1996,0.151,0.562,0.177,1.408,0.058,2.205,8.059,8.193,7.109,2.428,0.452,0.0
1997,1.181,0.0,0.115,1.208,0.586,5.501,8.073,8.69,4.073,1.789,2.487,1.655
1998,0.179,1.873,0.644,0.309,0.376,4.392,8.745,9.423,7.067,3.027,1.935,0.0
1999,0.007,0.421,0.0,0.003,1.393,5.335,7.089,11.151,7.015,3.021,0.001,0.0
2000,0.001,0.808,0.001,0.024,1.252,4.896,9.264,7.565,2.674,0.308,0.002,0.168
2001,0.162,0.0,0.512,1.5,0.89,6.493,6.485,8.703,3.352,4.451,0.063,0.0
2002,0.845,0.306,0.069,0.185,1.181,9.301,4.122,13.62,2.509,1.145,0.116,0.0
2003,0.001,0.822,0.944,0.316,0.002,7.723,12.855,10.846,4.778,2.352,0.05,0.217
2004,1.4,0.476,0.067,0.199,0.48,3.687,9.99,5.784,2.734,1.399,0.359,0.0
2005,2.859,0.025,0.318,0.196,0.411,7.214,12.728,5.61,10.648,4.427,0.003,0.143
2006,0.0,0.0,2.296,0.597,1.868,4.302,11.223,12.764,11.195,0.461,0.619,0.0
2007,0.0,0.097,0.101,0.289,0.617,9.519,6.384,7.57,9.01,0.448,0.489,0.0
2008,0.119,0.121,2.068,0.153,0.337,6.907,8.897,7.938,8.086,1.297,0.11,0.0
2009,0.003,0.0,0.237,0.087,0.856,5.698,11.048,7.916,2.935,2.171,2.356,0.159
2010,0.394,0.32,0.138,0.039,0.243,4.516,15.089,17.106,9.862,2.222,1.523,0.403
2011,0.0,0.431,0.092,1.21,0.436,4.34,8.908,10.864,5.56,0.265,0.0,0.126
2012,0.24,0.007,0.007,0.182,0.102,4.431,15.683,9.457,9.747,1.312,0.57,0.019
2013,0.287,0.793,0.177,0.858,0.43,12.585,21.351,7.295,4.756,5.396,0.084,0.0
2014,0.05,0.738,1.743,0.521,1.227,2.735,11.508,6.287,6.681,0.478,0.087,0.103
2015,0.867,0.388,1.208,1.667,0.688,11.183,4.876,10.732,6.118,0.352,0.0,0.006
2016,0.018,0.38,0.701,0.365,0.821,7.22,18.265,4.605,9.104,2.634,0.0,0.0
2017,0.002,0.0,0.595,0.001,1.252,7.25,12.66,6.743,4.23,1.884,0.089,0.0
2018,0.0,0.713,0.158,0.411,0.629,6.512,11.778,11.481,3.277,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
