Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.894,0.798,1.12,0.271,0.349,4.358,16.515,4.496,5.366,1.086,0.339,1.627
1981,1.816,0.828,1.549,0.276,1.244,3.325,14.929,6.721,3.692,0.003,2.731,0.112
1982,1.238,2.716,2.956,7.726,3.992,2.698,7.453,7.524,0.364,0.246,0.017,0.267
1983,0.734,0.517,0.371,2.628,0.584,2.092,5.75,5.86,4.143,0.483,0.0,0.123
1984,0.071,0.867,0.045,1.022,0.035,2.688,7.742,7.888,4.492,0.004,0.002,0.057
1985,0.569,0.003,0.412,0.508,1.086,1.629,10.972,9.981,4.915,2.404,0.0,0.673
1986,0.288,1.282,1.142,0.298,0.921,3.93,5.444,5.117,2.664,0.28,0.061,0.248
1987,0.923,0.584,0.332,0.073,2.01,2.561,1.911,4.526,1.234,0.411,0.0,0.133
1988,0.101,2.102,1.031,0.058,0.05,2.54,9.58,8.245,7.477,0.005,0.0,0.5
1989,1.697,0.097,0.829,0.052,0.639,1.2,7.326,5.967,3.294,0.03,0.464,1.381
1990,0.038,3.032,1.002,0.139,0.7,1.473,10.115,6.076,10.049,0.022,0.383,0.143
1991,0.029,0.569,0.331,0.743,0.225,6.962,3.542,12.768,4.962,0.014,0.083,0.659
1992,0.544,0.879,0.092,0.008,0.307,1.915,5.678,8.097,3.737,0.419,0.291,0.001
1993,1.441,1.405,2.425,0.291,0.726,4.509,10.482,12.044,8.646,0.0,0.019,0.0
1994,1.152,1.491,0.036,1.842,0.219,4.114,13.065,13.067,1.381,0.001,0.001,0.057
1995,1.344,1.939,0.869,0.396,0.0,2.043,8.217,11.966,5.998,0.054,0.056,0.181
1996,1.145,2.392,0.971,0.362,2.362,6.046,6.883,14.658,6.138,1.113,0.0,0.005
1997,0.644,0.425,1.245,2.565,3.793,5.399,11.129,8.224,2.946,0.667,1.585,1.445
1998,0.078,0.761,2.121,1.255,1.818,3.182,13.009,14.77,5.037,4.622,0.065,0.0
1999,1.085,0.047,0.042,0.005,0.135,4.764,5.573,3.342,5.39,1.167,0.01,0.038
2000,1.041,0.834,0.661,0.18,0.898,3.879,7.563,5.351,3.612,0.003,0.011,0.072
2001,0.692,0.139,0.337,1.665,3.046,9.165,14.032,10.485,2.24,0.061,0.024,0.247
2002,1.03,3.179,0.737,1.397,0.927,2.812,3.293,9.095,5.823,0.312,0.001,0.34
2003,1.655,0.983,0.846,0.465,0.702,2.876,10.209,9.885,7.165,0.696,0.161,0.587
2004,2.552,0.029,0.0,1.439,1.563,6.879,11.724,10.628,1.385,1.595,0.001,0.195
2005,1.32,2.117,1.472,0.227,0.389,2.367,12.865,8.33,8.335,0.099,0.007,0.017
2006,0.427,0.052,2.902,0.352,3.801,3.565,11.408,8.418,3.167,0.368,0.096,0.606
2007,0.035,4.16,1.894,0.417,0.624,3.13,15.853,15.822,4.602,0.221,0.004,0.139
2008,0.332,0.459,0.063,1.932,2.221,10.167,14.113,12.651,4.897,0.695,0.24,0.002
2009,0.17,0.888,0.336,0.817,2.282,2.23,8.157,8.27,6.301,2.645,0.112,0.008
2010,0.374,1.33,0.046,0.082,0.743,3.131,17.841,17.178,16.685,0.457,0.59,0.831
2011,0.271,1.291,0.307,0.757,2.915,9.451,14.859,14.268,8.036,0.607,0.001,0.203
2012,0.979,0.09,0.507,1.444,0.06,1.613,10.927,17.64,8.33,0.049,0.146,0.48
2013,2.614,4.97,0.478,0.088,0.368,21.327,14.556,14.397,4.51,0.662,0.256,0.198
2014,2.43,3.35,1.525,0.787,1.71,1.278,8.635,12.28,3.91,1.113,0.015,0.841
2015,0.937,1.017,4.827,1.969,0.133,3.949,13.994,11.149,2.19,0.57,0.121,0.391
2016,0.264,1.022,1.896,0.484,1.906,4.337,13.151,8.277,2.251,0.369,0.0,0.14
2017,2.69,0.594,1.01,1.679,2.183,8.566,9.647,12.199,6.284,0.0,0.043,0.643
2018,0.531,0.781,0.646,1.392,1.028,6.586,13.431,14.534,9.043,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
