Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.21,0.284,0.79,0.054,0.364,3.37,9.28,3.603,1.899,0.528,0.106,0.604
1981,1.022,0.412,0.587,0.022,0.413,6.456,6.616,2.349,2.42,0.007,1.157,0.057
1982,1.302,0.729,1.577,5.273,3.454,3.199,7.734,8.972,0.194,0.76,0.238,0.336
1983,1.148,0.237,0.23,4.604,1.826,1.604,7.453,5.108,3.746,1.22,0.0,0.165
1984,0.032,0.243,0.002,0.744,0.068,0.801,4.688,8.795,4.142,0.019,0.001,0.006
1985,0.097,0.0,0.029,0.454,0.3,2.463,12.177,4.656,2.968,2.524,0.0,0.804
1986,0.967,1.205,0.287,0.15,0.581,1.156,1.921,3.93,2.271,0.14,0.002,0.287
1987,1.122,0.466,0.371,0.099,1.575,0.708,1.277,3.78,1.139,0.072,0.0,0.21
1988,0.03,0.661,1.219,0.145,0.061,2.157,7.001,11.077,4.912,0.03,0.005,0.115
1989,1.696,0.098,0.939,0.013,0.107,0.652,1.667,3.7,3.527,0.086,0.202,0.267
1990,0.0,3.677,0.156,0.163,1.331,2.199,5.596,8.71,7.869,0.025,0.745,0.035
1991,0.007,1.103,0.101,0.112,0.465,1.857,3.133,11.273,4.012,0.011,0.263,0.806
1992,0.542,0.678,0.049,0.013,0.108,0.387,2.921,5.659,3.403,0.542,0.546,0.0
1993,0.326,0.539,0.506,0.176,0.509,3.935,9.354,4.056,6.531,0.019,0.002,0.0
1994,0.871,0.493,0.02,0.477,0.354,2.067,12.583,8.212,0.491,0.002,0.005,0.008
1995,1.85,0.951,0.801,0.054,0.005,1.409,2.29,12.402,5.524,0.029,0.022,0.045
1996,0.516,1.402,0.193,0.101,0.53,5.053,5.527,9.693,4.838,0.66,0.001,0.025
1997,0.242,0.089,0.423,0.543,1.609,3.181,2.985,5.049,2.036,1.338,0.569,1.468
1998,0.012,0.724,0.744,0.269,0.511,4.547,4.0,6.704,5.813,2.499,0.346,0.0
1999,1.338,0.04,0.013,0.0,0.451,1.854,4.244,2.656,3.204,0.404,0.003,0.011
2000,0.51,1.149,0.405,0.134,0.728,4.684,6.02,4.958,0.967,0.001,0.018,0.109
2001,0.347,0.355,0.113,0.907,1.46,3.819,4.766,3.071,1.272,0.183,0.002,0.036
2002,0.783,1.045,0.115,0.168,3.11,1.433,0.382,4.374,5.988,0.06,0.0,0.865
2003,0.925,0.578,0.147,0.08,0.269,3.999,15.781,5.807,3.589,0.33,0.023,0.724
2004,0.612,0.003,0.0,2.512,0.389,2.664,2.12,8.172,0.66,2.319,0.001,0.043
2005,0.308,1.362,0.924,0.259,0.188,2.177,6.828,3.452,7.208,0.008,0.043,0.013
2006,0.059,0.004,0.854,0.087,1.74,3.301,7.648,2.951,3.277,0.195,0.024,0.145
2007,0.047,2.831,1.271,0.043,1.748,4.659,5.655,6.329,2.865,0.021,0.035,0.04
2008,0.07,0.105,0.045,0.997,3.693,3.984,6.475,7.962,5.365,0.1,0.1,0.005
2009,0.147,0.194,0.236,0.211,1.649,0.866,4.695,6.136,5.786,1.136,0.484,0.063
2010,0.217,0.822,0.022,0.049,0.184,0.475,9.295,10.425,9.193,0.148,0.847,0.304
2011,0.027,1.424,0.126,0.348,0.99,3.754,4.696,6.881,6.878,0.04,0.0,0.057
2012,0.605,0.046,0.126,0.626,0.104,0.499,4.566,11.113,2.768,0.178,0.037,0.142
2013,0.982,2.873,0.376,0.238,0.122,5.465,10.103,10.193,3.542,2.129,0.054,0.23
2014,0.841,1.887,0.711,0.369,1.416,1.212,3.673,5.275,2.175,0.225,0.002,0.751
2015,1.011,0.183,2.782,1.191,0.207,3.168,7.061,6.58,1.467,0.337,0.041,0.045
2016,0.004,0.101,0.711,0.006,1.447,2.431,10.463,5.216,1.009,0.154,0.0,0.003
2017,0.88,0.018,0.447,0.333,0.731,4.667,4.883,4.777,4.577,0.0,0.005,0.156
2018,0.099,0.105,0.041,0.683,0.38,1.691,11.669,6.137,5.715,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
