Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.645,0.415,2.046,2.171,3.55,10.961,11.494,8.58,8.464,2.237,0.0,0.122
1981,1.383,2.048,1.125,1.358,4.687,6.569,13.727,9.831,8.03,0.098,0.195,0.41
1982,1.041,1.53,2.412,1.54,0.593,7.863,6.909,11.972,4.584,1.315,0.323,0.003
1983,0.034,0.916,0.149,1.275,1.645,4.726,5.281,4.506,6.85,2.039,0.001,0.548
1984,1.767,0.395,0.02,0.888,1.717,11.508,10.5,13.39,4.771,1.436,0.0,0.0
1985,0.551,0.351,0.017,0.245,1.912,6.694,10.252,9.163,7.419,3.596,0.01,0.016
1986,0.454,0.644,0.227,1.138,3.127,4.2,8.573,4.596,3.935,2.869,0.535,1.887
1987,0.329,0.496,0.227,0.685,1.274,2.522,10.068,9.189,9.396,0.364,1.52,0.15
1988,0.087,1.014,1.013,1.288,0.689,7.496,9.17,9.211,4.527,0.908,0.089,0.095
1989,0.039,0.01,0.174,0.035,1.925,5.83,6.609,6.428,4.935,1.902,0.113,0.548
1990,0.0,1.022,0.836,0.717,2.613,8.034,15.352,8.012,7.721,3.221,0.388,0.0
1991,0.217,0.0,1.048,0.107,0.313,5.371,6.441,12.896,10.003,1.01,0.102,1.884
1992,0.073,0.476,0.018,0.424,2.215,4.632,6.663,9.834,3.927,0.521,0.182,0.021
1993,0.063,0.112,0.92,2.138,2.253,7.466,5.815,8.157,10.714,1.616,0.67,0.0
1994,0.722,1.157,0.044,1.004,1.271,9.165,18.756,12.106,4.756,4.256,0.223,0.0
1995,0.657,0.816,0.885,0.168,1.392,5.51,7.955,8.688,11.414,0.746,2.717,0.753
1996,0.564,0.983,0.263,0.166,0.329,9.328,8.805,11.904,4.003,0.656,0.001,0.0
1997,0.49,0.326,0.474,1.276,0.916,11.525,11.121,14.412,4.709,1.626,0.993,1.213
1998,1.893,1.63,2.337,0.963,2.032,4.991,7.156,8.743,10.164,4.233,0.956,0.0
1999,0.0,0.018,0.011,0.002,3.635,7.352,12.622,10.864,5.285,5.209,0.022,0.0
2000,0.338,0.782,0.085,0.314,3.302,6.576,8.174,5.561,7.952,0.457,0.0,0.004
2001,0.072,0.21,0.994,0.397,3.107,12.665,11.706,7.383,3.805,2.007,0.07,0.0
2002,0.986,0.147,0.761,0.437,1.827,7.48,7.212,9.131,8.987,1.508,0.186,0.126
2003,0.049,0.816,1.358,1.046,1.288,4.337,10.707,8.275,7.598,7.658,0.396,0.423
2004,0.42,0.034,0.157,1.949,1.457,8.135,7.257,13.578,4.714,2.908,0.0,0.046
2005,0.78,1.149,0.71,0.204,0.9,4.536,8.776,5.625,5.193,2.855,0.06,0.682
2006,0.0,0.0,0.629,0.678,4.038,10.59,15.484,9.89,9.806,0.624,0.234,0.004
2007,0.004,2.123,0.775,1.285,1.867,5.502,17.157,11.059,11.629,0.694,0.361,0.0
2008,0.992,0.327,0.396,0.578,2.221,14.289,12.146,9.353,5.902,0.505,0.011,0.0
2009,0.242,0.0,0.618,0.055,4.331,2.798,10.316,9.089,9.154,2.69,0.628,0.162
2010,0.003,0.457,0.218,0.514,2.133,2.824,5.745,4.916,9.281,2.17,0.275,0.948
2011,0.319,0.107,0.332,1.744,3.251,15.362,6.768,14.198,12.366,1.618,0.058,0.028
2012,1.737,0.478,0.431,1.283,1.126,4.36,10.895,11.954,8.556,1.645,1.641,0.388
2013,0.007,0.673,0.345,1.317,4.023,9.787,8.363,9.154,7.733,10.078,0.0,0.0
2014,0.411,1.895,0.781,0.149,2.596,5.449,9.187,9.484,5.196,2.699,0.0,0.21
2015,0.849,0.117,0.682,2.78,2.631,6.62,16.053,7.074,3.82,0.644,0.001,0.142
2016,0.466,0.464,0.521,0.082,2.901,4.153,12.187,15.182,11.471,0.938,0.009,0.0
2017,0.04,0.0,0.478,1.079,3.588,7.198,23.264,10.952,6.584,6.133,0.314,0.051
2018,0.0,0.122,0.144,3.262,2.135,5.875,11.724,11.405,5.783,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
