Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.063,0.18,0.681,0.009,0.299,5.598,9.178,7.164,0.901,0.447,0.023,0.547
1981,0.375,0.052,0.567,0.001,0.682,6.111,10.38,3.935,2.005,0.149,0.862,0.166
1982,1.719,0.548,0.898,0.738,1.112,1.261,8.707,12.71,0.459,0.261,1.267,0.417
1983,0.46,0.084,0.027,1.461,1.198,1.198,7.234,6.79,4.015,2.47,0.0,0.16
1984,0.096,0.068,0.0,0.347,0.003,0.43,5.807,8.566,4.006,0.044,0.027,0.044
1985,0.721,0.0,0.051,0.335,0.032,1.168,8.658,6.678,3.069,5.048,0.0,0.177
1986,0.478,0.585,0.045,0.019,0.4,3.46,5.458,3.617,1.357,0.149,0.008,0.13
1987,0.929,0.349,0.111,0.004,2.828,0.278,3.946,2.356,2.047,0.75,0.0,0.05
1988,0.125,0.104,0.653,0.165,0.252,1.687,9.126,7.679,0.854,0.259,0.0,0.068
1989,0.39,0.046,0.313,0.0,0.031,0.915,2.884,4.331,3.295,0.041,0.041,0.056
1990,0.0,2.356,0.051,0.038,1.659,1.642,8.27,3.867,6.104,0.131,0.091,0.006
1991,0.002,0.249,0.028,0.004,0.021,0.347,4.166,9.968,2.002,0.005,0.194,0.609
1992,0.123,0.282,0.081,0.0,0.1,0.246,4.733,6.993,4.429,1.976,0.317,0.0
1993,0.046,0.541,0.358,0.035,0.17,2.249,4.467,3.23,10.592,0.173,0.0,0.0
1994,0.598,0.331,0.005,0.524,0.126,3.452,10.933,6.059,0.836,0.033,0.0,0.0
1995,1.039,0.3,0.336,0.002,0.014,2.354,4.345,11.098,5.671,0.003,0.004,0.129
1996,0.729,1.747,0.07,0.038,0.304,3.144,7.716,7.589,4.522,0.894,0.0,0.002
1997,0.079,0.017,0.08,0.139,2.479,1.842,3.612,4.369,2.244,1.039,0.329,1.512
1998,0.028,0.084,0.386,0.188,0.338,2.283,7.156,5.84,4.385,1.538,0.204,0.0
1999,0.495,0.065,0.001,0.002,0.238,0.551,5.869,6.297,3.22,0.353,0.0,0.005
2000,0.203,0.1,0.061,0.097,0.655,1.961,4.664,3.28,0.85,0.002,0.004,0.035
2001,0.059,0.13,0.051,0.534,0.876,2.698,5.899,3.426,0.792,0.444,0.016,0.001
2002,0.697,0.922,0.017,0.168,1.176,0.814,0.376,5.1,4.929,0.058,0.005,0.488
2003,0.389,0.388,0.07,0.044,0.35,1.726,5.497,3.948,4.337,0.313,0.004,0.472
2004,0.482,0.0,0.0,0.565,0.195,1.516,4.254,7.148,2.693,1.893,0.001,0.004
2005,0.175,0.184,0.394,0.065,0.574,1.474,8.759,1.517,2.989,0.016,0.001,0.026
2006,0.003,0.0,0.45,0.06,0.677,4.121,6.076,2.017,1.214,0.43,0.017,0.02
2007,0.059,1.512,0.703,0.004,0.589,3.038,4.086,4.27,1.581,0.005,0.008,0.095
2008,0.003,0.009,0.03,0.242,1.012,4.628,7.97,5.979,3.999,0.04,0.034,0.0
2009,0.019,0.029,0.151,0.094,0.417,0.858,3.42,3.187,4.325,3.896,0.828,0.16
2010,0.08,0.456,0.008,0.022,0.264,1.233,4.346,4.916,5.9,0.047,1.634,0.106
2011,0.0,0.586,0.027,0.231,0.773,4.849,5.325,7.111,3.809,0.0,0.0,0.113
2012,0.817,0.084,0.01,0.331,0.114,0.482,7.92,10.819,4.019,0.055,0.001,0.017
2013,0.43,1.658,0.168,0.082,0.224,5.992,6.731,11.486,3.154,3.902,0.046,0.478
2014,1.43,1.959,0.389,0.305,0.387,0.632,4.601,6.094,2.147,0.209,0.0,0.876
2015,1.167,0.186,2.48,1.076,0.748,1.937,4.924,4.999,2.253,0.722,0.003,0.211
2016,0.098,0.023,0.241,0.0,1.008,2.025,13.276,6.663,1.073,0.383,0.0,0.0
2017,0.621,0.005,0.398,0.157,1.014,2.314,4.166,5.378,2.323,0.003,0.0,0.157
2018,0.02,0.151,0.015,0.728,0.906,2.608,11.298,8.526,3.788,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
