Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.232,0.362,0.461,0.917,1.637,7.404,12.198,11.339,9.122,1.078,0.0,0.218
1981,1.703,0.596,0.429,0.377,1.355,2.794,18.122,6.476,6.762,0.014,0.534,0.439
1982,1.227,1.547,1.236,1.35,0.997,4.239,4.977,7.519,3.242,1.58,0.71,0.017
1983,0.01,0.183,0.023,0.584,0.305,3.351,6.509,4.708,2.372,1.503,0.0,0.319
1984,0.869,1.373,0.009,0.08,0.12,9.055,12.404,11.281,6.549,0.324,0.0,0.01
1985,0.438,0.04,0.005,0.033,0.247,2.258,13.798,8.989,8.248,4.975,0.0,0.1
1986,0.152,0.465,0.025,0.742,1.52,2.222,10.23,5.683,3.093,2.088,0.143,0.776
1987,0.108,0.136,0.164,0.397,0.445,1.684,12.174,13.797,11.97,0.515,0.563,0.043
1988,0.076,0.562,1.311,0.483,0.361,6.684,8.158,14.176,3.989,0.526,0.018,0.686
1989,0.083,0.038,0.199,0.016,1.587,2.421,9.43,3.976,4.505,1.118,0.093,0.454
1990,0.0,1.223,0.231,0.135,0.69,8.215,16.956,4.536,3.726,0.874,0.04,0.0
1991,0.22,0.0,0.137,0.006,0.336,3.983,2.807,8.858,5.864,0.105,0.009,0.79
1992,0.008,0.223,0.032,0.084,1.19,3.43,6.45,9.26,1.649,0.564,0.08,0.009
1993,0.088,0.085,0.895,0.315,0.399,3.979,5.548,7.879,11.489,0.986,1.365,0.0
1994,0.989,1.007,0.002,0.818,1.054,3.93,6.817,12.941,4.628,2.467,0.164,0.0
1995,0.518,0.932,0.299,0.011,0.102,4.14,7.319,7.26,10.518,0.393,1.925,1.36
1996,0.677,1.109,0.049,0.086,0.05,6.976,6.397,9.826,4.566,0.777,0.0,0.0
1997,0.271,0.043,0.088,0.653,1.117,5.003,18.847,9.967,4.0,1.063,1.008,0.897
1998,0.289,0.592,0.85,0.198,0.557,3.212,7.463,9.088,8.025,2.251,0.788,0.0
1999,0.002,0.024,0.001,0.001,2.824,4.129,11.092,7.251,2.795,2.782,0.054,0.002
2000,0.096,0.265,0.231,0.497,1.382,7.254,7.839,5.61,8.214,0.048,0.001,0.009
2001,0.223,0.08,0.297,0.22,2.003,10.028,7.396,5.523,5.529,3.295,0.009,0.0
2002,0.455,0.325,0.232,0.198,3.193,3.044,7.438,9.105,4.183,2.538,0.049,0.252
2003,0.148,1.395,0.171,0.483,0.743,5.622,9.722,7.291,5.059,4.619,0.025,0.297
2004,0.638,0.01,0.068,0.849,0.994,8.639,6.757,7.175,3.245,0.817,0.017,0.016
2005,0.714,0.798,0.453,0.182,0.249,2.522,9.443,6.168,3.613,1.292,0.01,0.045
2006,0.0,0.0,0.282,0.409,1.511,9.281,10.776,6.689,7.028,0.272,0.113,0.017
2007,0.0,1.813,0.733,0.904,1.754,2.887,14.089,8.681,9.039,1.37,0.035,0.0
2008,1.748,0.3,0.088,0.678,1.634,14.154,10.468,10.851,4.061,0.138,0.002,0.0
2009,0.139,0.012,0.072,0.034,2.026,2.468,6.203,7.217,6.254,1.61,0.293,0.109
2010,0.012,0.211,0.011,0.033,1.495,2.387,7.218,6.521,3.796,2.57,0.059,0.162
2011,0.114,0.174,0.183,1.195,1.282,10.714,3.89,9.122,9.119,0.362,0.002,0.016
2012,0.668,0.121,0.266,0.39,0.75,3.164,9.701,10.995,5.88,1.146,0.736,0.033
2013,0.135,0.798,0.076,0.852,2.859,3.562,3.246,5.418,6.978,6.712,0.0,0.0
2014,1.08,1.599,0.268,0.01,2.737,2.871,8.099,10.773,6.498,1.433,0.0,0.235
2015,0.756,0.091,0.758,0.807,0.912,4.851,12.184,7.668,3.229,0.246,0.01,0.048
2016,0.653,0.197,0.415,0.018,1.904,2.593,10.36,6.299,12.173,2.273,0.0,0.0
2017,0.076,0.0,0.339,0.243,1.381,2.276,13.687,9.25,3.643,1.622,0.041,0.001
2018,0.0,0.08,0.116,0.73,0.92,2.739,8.024,7.374,2.56,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
