Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.257,0.125,0.881,0.02,1.374,10.114,15.94,18.14,8.145,0.619,0.0,0.344
1981,1.465,0.101,0.584,1.034,2.096,3.509,20.655,8.961,6.415,0.073,1.309,0.077
1982,1.673,0.634,1.194,1.63,0.673,4.753,10.197,4.263,5.676,0.107,0.45,0.125
1983,0.182,0.02,0.057,0.72,1.151,2.682,4.937,4.216,2.592,2.696,0.0,0.502
1984,0.138,0.869,0.033,0.057,0.452,4.995,7.668,6.612,7.675,0.62,0.107,0.156
1985,1.033,0.003,0.0,0.037,0.47,1.291,9.317,5.72,8.493,2.987,0.0,0.114
1986,0.072,0.58,0.041,0.223,0.659,3.327,9.035,3.371,2.035,0.813,0.025,1.144
1987,0.624,0.08,0.116,0.157,0.64,0.402,9.954,7.556,9.419,3.551,0.0,0.157
1988,0.239,0.144,0.736,0.489,0.671,3.204,13.437,12.999,2.891,0.479,0.0,0.54
1989,0.693,0.357,0.169,0.026,0.778,4.668,9.083,6.298,3.555,0.292,0.032,0.295
1990,0.0,1.139,0.089,0.196,0.63,5.58,20.539,5.212,5.064,0.454,0.0,0.036
1991,0.197,0.005,0.144,0.011,0.41,2.253,6.41,7.929,8.18,0.02,0.067,0.698
1992,0.043,0.132,0.004,0.002,0.768,2.997,6.69,7.592,3.752,2.531,0.062,0.003
1993,0.108,0.1,0.927,0.288,0.844,4.665,4.749,8.292,6.177,0.041,0.044,0.0
1994,0.887,0.537,0.017,0.154,0.271,3.394,8.379,5.578,6.643,0.323,0.019,0.0
1995,0.686,0.541,0.118,0.038,0.055,4.247,6.47,8.849,4.394,0.07,1.466,0.336
1996,1.738,1.184,0.01,1.087,0.109,5.143,5.36,12.548,2.358,2.541,0.0,0.0
1997,0.205,0.003,0.065,0.736,0.677,2.284,5.851,4.697,5.163,0.748,0.278,1.306
1998,0.165,0.273,0.469,0.479,0.951,1.148,14.125,15.465,2.973,1.955,0.112,0.0
1999,0.255,0.149,0.0,0.05,1.632,3.175,5.111,6.376,1.805,2.626,0.002,0.024
2000,0.06,0.13,0.028,0.063,1.761,7.044,8.148,10.344,6.435,0.04,0.033,0.013
2001,0.022,0.016,0.063,0.264,2.021,4.655,6.645,7.398,7.235,2.786,0.093,0.0
2002,0.595,0.75,0.107,0.02,1.553,2.643,4.493,2.215,4.353,0.56,0.013,0.543
2003,0.216,0.899,0.011,0.402,0.106,3.687,6.762,4.007,4.305,0.557,0.0,0.118
2004,1.189,0.0,0.064,0.974,1.579,9.046,10.83,5.29,3.11,1.072,0.126,0.002
2005,1.097,0.266,0.362,0.352,0.586,3.186,15.009,10.012,3.02,6.318,0.0,0.039
2006,0.0,0.0,1.111,0.431,3.41,8.678,11.053,6.706,4.79,0.956,0.069,0.171
2007,0.0,3.174,0.978,0.832,1.93,3.025,13.861,13.583,10.245,1.036,0.013,0.012
2008,0.206,0.095,0.08,0.613,2.158,16.626,19.588,14.425,6.736,1.003,0.006,0.073
2009,0.008,0.062,0.194,0.013,3.456,2.7,12.571,10.179,4.244,2.471,0.103,0.168
2010,0.031,0.559,0.0,0.0,0.992,3.472,13.173,11.479,11.005,1.179,0.172,0.098
2011,0.074,0.586,0.305,0.473,3.287,6.925,12.333,11.846,5.576,0.05,0.0,0.053
2012,0.889,0.346,0.533,0.466,0.06,1.572,11.798,8.167,14.702,0.57,0.042,0.0
2013,0.489,1.922,0.116,0.995,1.588,19.927,8.278,9.778,5.644,6.36,0.037,0.024
2014,0.822,1.165,0.088,0.097,2.001,7.19,7.326,11.422,6.867,4.073,0.0,0.51
2015,1.223,0.297,2.31,1.322,1.077,5.807,8.813,10.347,1.415,0.456,0.005,0.023
2016,0.13,0.077,0.41,0.011,4.029,3.853,15.736,5.064,8.541,2.282,0.0,0.0
2017,0.482,0.01,0.598,0.357,2.084,4.451,15.027,13.571,4.751,0.35,0.0,0.001
2018,0.098,0.121,0.204,1.392,2.397,5.905,14.004,12.734,3.764,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
