Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.186,0.123,0.08,0.212,0.175,13.39,8.1,12.299,1.132,0.062,0.169,0.86
1981,0.213,0.045,0.298,0.267,0.546,4.448,8.043,9.272,5.404,1.45,1.052,0.68
1982,2.455,0.367,0.015,0.514,0.705,2.845,8.88,5.674,3.523,1.279,1.444,0.0
1983,0.075,0.003,0.008,0.147,0.287,2.297,7.071,7.073,4.058,2.06,0.0,0.005
1984,0.368,0.161,0.0,0.0,0.0,1.817,5.96,16.592,0.952,0.233,0.0,0.0
1985,0.035,0.001,0.03,0.105,0.216,1.192,5.697,7.039,3.59,5.735,0.0,0.009
1986,0.058,0.577,0.038,0.0,0.269,3.16,14.088,5.174,2.936,0.502,0.003,0.05
1987,0.299,0.352,0.132,0.0,6.008,3.58,3.944,11.991,0.811,2.336,0.434,0.299
1988,0.07,0.0,0.009,0.287,0.126,4.765,9.831,9.631,5.115,2.367,0.053,0.003
1989,0.039,0.0,0.738,0.023,0.232,5.33,3.129,6.54,5.44,0.006,0.0,0.178
1990,0.059,0.323,0.024,0.0,1.832,4.204,7.248,13.768,9.892,0.597,0.001,0.077
1991,0.0,0.026,0.018,0.001,0.011,6.126,10.474,6.545,0.465,0.06,0.097,0.036
1992,0.004,0.0,0.001,0.0,0.369,2.928,4.991,7.646,3.668,2.232,0.085,0.0
1993,0.0,0.056,0.147,0.011,0.168,3.696,12.329,6.651,6.114,0.649,0.066,0.073
1994,1.044,0.13,0.0,0.3,0.14,9.245,7.54,12.668,6.745,0.107,0.118,0.0
1995,0.662,0.007,0.63,0.111,0.487,2.804,13.558,6.268,5.094,1.649,0.005,0.184
1996,0.485,0.123,0.097,0.077,0.297,1.855,14.861,8.95,5.526,1.753,0.027,0.0
1997,0.264,0.0,0.0,0.402,0.311,5.749,12.496,8.274,2.137,1.524,1.317,0.96
1998,0.057,0.038,0.299,0.082,0.23,5.225,7.872,6.26,8.015,0.834,0.164,0.0
1999,0.012,1.373,0.0,0.0,0.129,6.161,6.123,2.319,8.558,2.787,0.0,0.0
2000,0.0,0.059,0.0,0.002,2.0,3.308,8.735,5.838,0.763,0.45,0.0,0.191
2001,0.0,0.011,0.114,0.056,0.992,6.28,5.502,3.505,0.355,1.844,0.0,0.0
2002,0.001,0.623,0.221,0.571,0.158,5.018,1.183,11.359,2.601,0.013,0.144,0.027
2003,0.086,0.549,0.005,0.052,0.109,6.667,12.597,6.122,10.063,1.716,0.006,0.031
2004,0.386,0.0,0.002,0.008,0.348,1.945,8.244,10.682,3.695,0.928,0.312,0.0
2005,0.157,0.006,0.2,0.079,0.116,2.478,13.509,2.8,7.208,0.09,0.0,0.0
2006,0.0,0.005,1.219,0.096,1.58,3.094,9.958,16.713,6.903,0.488,0.23,0.011
2007,0.067,0.335,0.003,0.215,1.067,4.63,11.002,8.804,4.627,0.001,0.009,0.016
2008,0.01,0.0,0.084,0.053,0.142,4.446,5.343,4.972,3.817,0.4,0.223,0.002
2009,0.187,0.0,0.204,0.027,0.455,3.034,13.009,4.74,3.163,2.39,3.737,1.183
2010,0.087,0.142,0.032,0.003,0.115,3.214,4.872,10.938,5.406,0.682,2.858,0.034
2011,0.0,0.037,0.004,0.042,0.027,4.103,8.347,17.197,3.766,0.08,0.0,0.014
2012,0.016,0.0,0.0,0.073,0.674,1.383,11.527,8.383,7.742,0.078,0.0,0.006
2013,0.025,0.576,0.313,0.576,0.257,10.966,17.626,10.449,3.651,2.791,0.017,0.232
2014,0.971,0.804,0.071,0.165,0.224,0.353,11.941,6.591,5.864,0.481,0.025,0.614
2015,1.376,0.149,1.459,0.293,0.157,7.555,16.932,9.969,1.26,0.129,0.0,0.003
2016,0.325,0.002,0.074,0.0,0.504,4.055,14.535,14.094,3.526,1.232,0.0,0.0
2017,0.016,0.018,0.009,0.098,0.367,4.481,9.906,5.884,6.124,0.243,0.0,0.061
2018,0.0,0.117,0.027,0.09,0.043,4.228,10.637,6.6,2.719,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
