Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.84,0.784,0.939,0.669,0.16,2.986,15.478,7.307,1.744,0.45,0.503,1.011
1981,2.58,1.335,2.184,0.118,0.719,0.452,14.788,2.689,1.433,0.029,1.666,0.034
1982,0.852,3.011,5.719,7.838,2.74,1.054,2.273,4.639,0.189,0.156,1.342,0.548
1983,0.621,0.445,1.069,1.846,1.896,0.285,1.378,3.632,1.824,0.22,0.005,0.048
1984,0.032,1.573,1.077,0.737,0.02,1.642,7.836,7.261,4.616,0.116,0.107,0.445
1985,0.128,0.163,0.566,0.871,0.516,1.308,9.705,4.098,1.124,2.836,0.027,1.402
1986,0.089,1.474,1.066,0.447,0.683,1.433,4.88,5.937,1.409,0.43,0.455,0.594
1987,0.739,1.269,0.791,0.071,2.618,1.188,1.813,3.019,0.117,1.071,0.0,0.136
1988,0.27,0.577,0.918,0.342,0.013,0.954,6.545,4.891,8.034,0.087,0.044,1.248
1989,1.032,0.262,0.879,0.172,0.4,0.972,6.39,2.037,0.672,0.036,0.359,1.183
1990,0.199,2.418,2.952,0.864,0.228,0.959,4.529,6.024,6.212,0.114,0.067,0.266
1991,0.006,0.202,0.027,1.243,0.025,1.725,2.77,4.602,1.506,0.108,0.011,0.533
1992,1.498,1.63,1.257,0.13,1.077,0.797,3.201,6.348,4.31,0.22,0.471,0.14
1993,0.329,1.003,1.605,0.573,0.583,1.729,13.2,0.899,2.513,0.001,0.057,0.0
1994,0.813,0.811,0.258,0.483,1.702,1.687,4.811,5.872,2.952,0.216,0.006,0.528
1995,1.416,3.826,0.803,0.626,0.038,1.63,4.76,10.529,2.326,0.122,0.162,0.077
1996,1.228,2.027,0.962,0.384,0.226,7.767,3.636,10.557,1.417,0.813,0.025,0.014
1997,0.811,0.415,0.727,1.131,0.713,2.328,5.215,6.555,0.429,1.093,0.901,0.226
1998,0.015,0.809,0.337,0.449,0.088,0.963,3.453,2.217,0.805,0.725,0.0,0.0
1999,1.252,0.052,0.142,0.018,0.226,2.004,1.519,4.562,2.03,0.034,0.116,0.0
2000,1.348,0.656,0.082,0.019,0.628,2.145,4.433,2.73,1.62,0.0,0.093,0.143
2001,0.188,0.159,0.542,0.498,0.952,2.928,9.444,1.353,0.933,0.014,0.039,0.216
2002,0.067,0.62,0.423,0.239,0.361,1.046,2.352,4.723,3.72,0.101,0.014,0.257
2003,0.663,3.438,0.766,0.157,0.241,2.042,5.186,4.426,1.958,0.027,0.345,0.728
2004,1.187,0.374,0.002,1.061,0.758,2.045,4.39,5.299,0.17,0.733,0.03,0.629
2005,1.626,1.908,2.114,0.452,0.146,3.095,5.068,2.98,3.499,0.133,0.072,0.0
2006,0.465,0.221,1.539,0.026,0.702,2.937,9.076,3.626,6.112,1.446,0.36,0.661
2007,0.025,3.779,2.162,0.099,0.67,3.986,2.808,5.169,1.387,0.044,0.307,0.101
2008,0.852,0.247,0.012,1.583,1.446,6.593,7.229,11.881,2.98,0.547,0.027,0.311
2009,0.933,1.084,1.167,0.676,0.515,0.557,3.78,4.38,1.615,0.055,0.299,0.0
2010,0.178,0.54,0.086,0.042,0.379,1.598,9.25,4.846,4.998,0.18,0.021,0.683
2011,0.039,1.143,0.222,0.893,0.486,4.002,4.903,8.852,3.285,0.041,0.104,0.043
2012,1.194,0.277,0.161,1.471,0.052,0.26,3.717,4.08,4.649,0.288,0.033,0.718
2013,0.568,3.218,0.465,0.212,0.173,3.662,6.433,11.93,0.853,1.246,0.38,0.123
2014,0.83,0.588,1.614,1.95,0.872,2.261,3.855,1.692,12.568,0.225,0.249,0.136
2015,0.927,2.357,4.374,1.495,0.675,2.738,7.433,4.704,3.287,0.423,0.085,0.3
2016,0.498,0.339,1.626,0.142,2.158,3.162,8.769,6.814,1.757,0.06,0.053,0.014
2017,2.542,0.494,0.993,1.079,1.084,5.445,6.935,7.139,1.705,0.0,0.157,0.781
2018,0.502,1.09,0.33,0.896,0.35,4.6,10.442,5.452,8.49,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
