Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.227,0.004,0.101,0.099,0.183,9.058,6.181,8.301,1.519,0.068,0.188,0.506
1981,0.392,0.065,0.359,0.063,0.402,3.578,5.953,5.045,7.985,2.266,0.495,0.587
1982,1.266,0.236,0.141,0.743,1.296,1.643,6.747,4.094,2.353,0.706,0.886,0.0
1983,0.003,0.001,0.054,0.035,0.005,1.473,4.448,5.698,8.915,1.073,0.0,0.009
1984,0.151,0.616,0.004,0.002,0.0,1.866,3.076,4.338,2.22,1.723,0.001,0.0
1985,0.085,0.0,0.001,0.068,0.115,2.368,6.983,2.109,0.917,2.649,0.092,0.001
1986,0.008,0.198,0.003,0.0,0.063,3.818,3.647,4.223,1.462,0.317,0.133,0.449
1987,0.144,0.241,0.101,0.01,2.553,3.232,4.037,6.794,0.518,2.937,0.901,0.241
1988,0.002,0.0,0.0,0.155,0.53,3.785,6.262,5.361,9.724,1.835,0.366,0.025
1989,0.008,0.0,1.048,0.441,0.096,5.045,6.299,4.128,4.504,0.495,0.015,0.17
1990,0.077,0.077,0.004,0.0,3.534,3.445,4.349,7.545,4.55,4.468,0.018,0.029
1991,0.0,0.0,0.0,0.003,0.115,10.333,6.066,2.156,1.464,0.022,0.266,0.004
1992,0.0,0.0,0.0,0.001,0.121,6.411,2.191,5.679,2.928,1.178,0.448,0.0
1993,0.005,0.104,0.505,0.035,0.133,3.917,7.729,6.227,6.002,4.137,0.093,0.745
1994,0.555,0.067,0.0,0.541,0.884,5.454,6.868,6.355,4.673,1.123,0.898,0.0
1995,0.644,0.084,0.303,0.082,0.335,2.69,7.46,2.596,4.957,1.389,0.003,0.014
1996,0.293,0.073,0.037,0.037,0.166,1.317,9.033,4.486,4.899,2.418,0.032,0.0
1997,0.465,0.0,0.001,0.195,0.055,4.355,6.249,5.076,3.37,0.659,2.244,1.118
1998,0.075,0.038,0.083,0.05,0.56,5.958,5.752,7.832,6.211,2.814,1.167,0.0
1999,0.001,0.542,0.0,0.0,0.804,5.729,3.601,2.83,5.925,3.158,0.0,0.0
2000,0.0,0.213,0.0,0.018,3.304,2.946,4.866,7.696,1.512,0.328,0.011,0.419
2001,0.004,0.001,0.156,0.056,0.556,4.698,2.442,5.995,2.604,3.234,0.02,0.0
2002,0.006,0.18,0.131,0.571,0.041,6.846,1.544,7.677,2.909,0.258,0.052,0.004
2003,0.025,0.742,0.012,0.177,0.038,7.034,8.014,4.374,4.584,0.934,0.002,0.103
2004,0.235,0.0,0.017,0.0,0.902,2.667,6.113,5.345,6.018,1.512,0.374,0.001
2005,0.305,0.016,0.24,0.129,0.302,5.684,10.868,4.253,9.255,2.033,0.0,0.0
2006,0.0,0.0,1.163,0.005,2.1,4.92,7.81,11.795,7.974,1.347,1.099,0.014
2007,0.021,0.048,0.0,0.517,0.265,5.631,7.107,7.975,6.292,0.084,0.113,0.0
2008,0.059,0.002,0.419,0.033,0.001,2.595,3.199,5.368,8.928,0.572,0.113,0.035
2009,0.011,0.0,0.175,0.065,0.789,1.766,8.217,4.428,4.246,1.704,3.967,0.386
2010,0.182,0.045,0.194,0.005,0.204,4.572,8.058,8.003,4.254,2.196,2.897,0.001
2011,0.0,0.107,0.092,0.255,0.211,2.963,7.244,8.473,3.804,1.056,0.0,0.0
2012,0.051,0.0,0.0,0.11,0.408,3.652,6.282,3.862,5.427,1.463,0.006,0.036
2013,0.136,0.393,0.065,0.116,0.089,8.249,9.591,4.012,5.243,2.444,0.931,0.654
2014,0.344,0.493,1.14,0.33,0.455,1.104,7.872,5.494,4.123,0.498,0.864,0.583
2015,0.639,0.296,1.682,0.929,0.251,7.1,4.081,5.256,6.746,0.619,0.067,0.0
2016,0.001,0.042,0.199,0.02,0.283,3.079,9.197,3.599,5.07,1.595,0.0,0.0
2017,0.0,0.0,0.042,0.0,0.082,4.724,6.951,5.515,4.929,1.634,0.028,0.047
2018,0.0,0.038,0.051,0.019,0.001,3.954,4.251,5.73,1.325,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
