Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.077,0.162,0.291,0.003,0.105,6.877,9.494,9.867,1.243,0.461,0.006,0.708
1981,0.411,0.104,1.049,0.059,0.625,2.265,8.867,5.583,2.379,0.679,1.128,0.312
1982,1.618,0.442,0.374,0.695,0.481,1.631,8.598,13.88,1.353,0.337,1.562,0.285
1983,0.416,0.076,0.0,1.114,0.844,1.787,7.784,8.562,7.874,1.985,0.0,0.15
1984,0.675,0.187,0.0,0.044,0.002,1.056,6.119,10.001,4.617,0.072,0.006,0.095
1985,0.166,0.016,0.077,0.605,0.091,1.715,8.019,10.909,3.901,5.524,0.0,0.025
1986,0.361,0.836,0.123,0.001,0.233,4.196,8.851,4.611,2.009,0.182,0.003,0.068
1987,0.679,0.61,0.124,0.001,3.492,0.46,4.958,5.424,2.897,2.625,0.014,0.181
1988,0.227,0.031,0.225,0.161,0.299,2.615,6.455,5.848,2.004,0.465,0.005,0.029
1989,0.362,0.014,0.144,0.0,0.098,2.063,2.825,7.141,3.4,0.011,0.014,0.15
1990,0.014,1.132,0.018,0.014,1.134,2.423,8.895,6.107,9.888,0.378,0.004,0.0
1991,0.001,0.051,0.135,0.001,0.0,0.495,6.97,9.778,0.81,0.022,0.151,0.497
1992,0.073,0.094,0.031,0.001,0.124,0.153,5.084,9.515,4.841,2.667,0.158,0.0
1993,0.003,0.478,0.23,0.07,0.06,1.901,3.964,3.419,10.483,0.349,0.001,0.002
1994,0.359,0.196,0.0,0.394,0.082,4.099,8.992,7.636,1.713,0.123,0.015,0.0
1995,0.645,0.092,0.653,0.046,0.023,2.207,8.087,11.634,8.085,0.081,0.012,0.263
1996,0.915,1.361,0.067,0.056,0.163,2.472,13.024,8.997,5.128,1.516,0.0,0.0
1997,0.08,0.003,0.016,0.127,2.729,1.954,4.118,10.051,4.105,1.279,1.096,2.241
1998,0.025,0.049,0.296,0.194,0.176,2.543,8.423,6.297,4.409,0.52,0.13,0.0
1999,0.164,0.293,0.0,0.005,0.318,1.314,8.617,5.77,6.035,0.699,0.0,0.009
2000,0.069,0.014,0.007,0.024,0.447,0.545,4.716,3.21,0.99,0.012,0.005,0.03
2001,0.012,0.013,0.075,0.969,1.497,5.94,9.711,7.288,0.482,1.006,0.038,0.0
2002,0.203,0.963,0.032,0.227,0.555,1.601,0.82,9.202,3.979,0.124,0.02,0.175
2003,0.452,0.931,0.04,0.084,0.189,1.282,5.243,6.708,6.747,0.535,0.001,0.383
2004,0.642,0.0,0.0,0.068,0.357,1.407,5.91,9.193,2.106,1.48,0.016,0.048
2005,0.205,0.019,0.631,0.032,0.85,2.838,11.277,1.871,3.8,0.037,0.0,0.039
2006,0.0,0.001,1.184,0.071,0.359,4.156,6.521,5.287,2.233,0.543,0.034,0.005
2007,0.062,1.514,0.249,0.005,0.778,2.911,5.998,5.721,3.007,0.024,0.0,0.154
2008,0.003,0.021,0.102,0.199,0.544,9.298,8.201,7.881,5.032,0.006,0.29,0.0
2009,0.178,0.027,0.157,0.142,0.337,1.416,3.601,3.714,5.303,3.158,0.836,0.36
2010,0.063,0.41,0.004,0.027,0.118,2.967,6.402,7.762,6.978,0.573,2.254,0.039
2011,0.0,0.194,0.003,0.193,0.461,9.646,11.956,7.467,5.056,0.012,0.0,0.368
2012,0.404,0.011,0.003,0.219,0.226,1.006,8.76,9.542,4.143,0.014,0.0,0.001
2013,0.222,1.816,0.256,0.26,0.056,6.982,9.936,12.326,1.202,3.045,0.107,0.639
2014,1.295,2.143,0.364,0.469,0.353,0.841,7.656,7.385,4.42,0.377,0.0,1.323
2015,1.177,0.482,2.624,0.381,0.726,3.396,9.412,6.44,3.283,0.472,0.015,0.131
2016,0.227,0.016,0.35,0.0,0.915,2.763,11.258,9.759,0.574,0.99,0.0,0.0
2017,0.4,0.042,0.128,0.161,0.609,2.922,4.984,4.467,3.694,0.008,0.0,0.079
2018,0.0,0.122,0.008,0.395,0.204,2.366,10.638,9.482,5.193,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
