Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.126,0.039,0.393,0.288,1.578,1.95,2.181,3.391,3.455,2.097,4.191,0.374
1981,0.352,0.029,0.85,0.707,1.155,2.0,2.873,2.956,8.021,7.001,2.677,1.189
1982,0.038,0.0,0.025,0.409,1.485,4.053,2.876,0.722,3.186,3.763,4.551,0.044
1983,0.003,0.0,0.001,0.0,0.577,2.516,2.138,4.767,5.286,2.956,0.615,1.439
1984,0.22,2.69,0.668,0.28,0.23,0.717,3.854,0.375,3.928,2.469,3.13,0.715
1985,1.064,0.0,0.194,0.177,0.341,0.957,3.579,1.762,1.199,3.881,3.184,1.287
1986,2.099,0.182,0.022,0.116,0.4,2.122,1.297,1.347,3.699,2.534,2.551,0.256
1987,0.225,0.001,0.492,0.182,0.66,2.226,0.574,3.262,2.58,5.308,5.241,1.951
1988,0.0,0.032,0.369,0.857,2.072,0.623,4.422,7.019,4.752,0.676,1.748,1.298
1989,0.018,0.0,1.143,0.078,0.373,0.73,8.875,0.955,4.625,1.167,2.137,0.779
1990,0.044,0.03,0.115,0.873,5.036,1.813,1.925,1.913,2.564,4.974,2.329,0.02
1991,0.007,0.0,0.0,0.017,0.025,7.775,1.523,2.003,3.42,5.507,5.699,0.125
1992,0.154,0.0,0.0,0.089,0.87,1.422,3.211,3.397,1.705,2.695,5.087,0.177
1993,0.0,0.007,0.244,0.297,0.67,1.124,2.014,4.68,2.698,5.841,4.432,2.861
1994,0.145,0.411,0.0,0.365,0.794,0.75,2.026,2.669,0.946,7.896,4.036,1.619
1995,1.059,0.0,0.084,0.163,3.899,0.865,5.073,5.46,3.741,3.692,0.9,0.077
1996,0.039,0.003,0.0,1.636,0.694,7.08,1.814,3.067,5.09,8.194,1.455,3.018
1997,0.805,0.0,0.184,1.157,0.889,2.049,1.398,2.197,5.775,1.537,5.554,3.812
1998,0.008,0.001,0.0,0.355,0.646,0.785,4.033,6.362,5.536,3.999,3.836,0.42
1999,0.014,0.235,0.0,0.361,1.244,1.13,1.468,3.727,4.53,3.388,2.461,0.23
2000,0.003,1.664,0.005,0.22,1.552,3.104,2.695,4.558,2.955,3.708,1.803,1.012
2001,0.006,0.0,0.009,1.924,0.477,1.153,1.489,1.944,7.036,6.829,1.969,1.659
2002,1.277,0.063,0.098,0.048,2.422,1.464,1.17,1.933,2.205,7.378,1.557,0.185
2003,0.004,0.009,0.99,0.158,0.149,0.896,3.973,2.159,1.968,6.036,0.732,0.867
2004,0.167,0.005,0.095,1.331,5.703,0.523,3.486,0.55,4.763,4.115,1.971,0.018
2005,0.115,0.049,0.05,1.034,3.1,1.751,3.507,3.814,3.612,10.972,3.175,1.115
2006,0.014,0.0,1.547,0.67,2.765,2.245,1.541,0.981,4.702,3.511,5.21,0.209
2007,0.0,0.095,0.006,0.626,2.109,7.056,4.095,4.967,5.056,6.74,0.786,0.904
2008,0.066,0.551,2.187,0.04,1.416,1.88,3.356,4.31,3.642,3.904,4.159,0.01
2009,0.027,0.0,0.136,0.318,2.899,1.663,0.753,5.482,4.936,1.045,5.513,1.119
2010,0.78,0.0,0.009,0.622,2.817,2.586,5.548,5.087,1.824,4.22,4.802,1.043
2011,0.012,0.142,0.0,1.796,1.73,1.583,3.268,3.963,1.517,4.696,2.345,0.673
2012,0.229,0.0,0.128,1.558,0.887,1.39,2.98,2.285,2.322,4.121,1.425,1.305
2013,0.0,0.557,0.076,0.48,1.454,2.316,2.951,3.59,6.419,3.531,1.217,0.024
2014,0.001,0.056,0.343,0.248,1.376,2.051,1.506,3.208,3.043,3.957,1.511,1.497
2015,0.01,0.063,0.568,1.307,1.839,2.332,1.462,3.503,4.676,3.111,13.18,0.925
2016,0.29,0.0,0.17,0.004,3.039,3.373,3.252,1.433,1.646,0.432,0.092,2.423
2017,0.094,0.0,0.583,0.297,0.603,3.952,3.462,4.404,6.399,6.505,1.964,0.083
2018,0.0,0.152,0.336,0.381,1.254,1.467,1.008,1.57,3.801,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
